pair,source_url,provenance,raw_spread_pips,markup,marked_up_pips,pip_size,median_price,cost_frac_roundtrip,cost_bp_roundtrip,fetch_date,crisis_multiplier,swap,group,entry_hour_ny,bp_2004_2015,bp_2021_2026,old_flat_bp
AUDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.4,1.0,2.4,0.0001,0.94114,0.000244683834571207,2.447,2026-09-16,2.0,EXCLUDED,cross,22,3.239,2.211,4.463
AUDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.8,1.0,2.8,0.0001,0.7534,0.0003959746222928168,3.96,2026-09-16,2.0,EXCLUDED,cross,22,3.339,2.832,5.575
AUDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.8,1.0,1.8,0.01,86.38,0.0002180513051866145,2.181,2026-09-16,2.0,EXCLUDED,cross,22,2.94,2.04,2.084
AUDNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",3.2,1.0,3.2,0.0001,1.10043,0.00029717691230249837,2.972,2026-09-16,2.0,EXCLUDED,cross,22,5.251,2.445,3.817
AUDUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.4,1.0,1.4,0.0001,0.7575,0.0001959919648000412,1.96,2026-09-16,2.0,EXCLUDED,major,22,2.165,1.963,2.178
CADCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.5,1.0,2.5,0.0001,0.76892,0.00033846455154676623,3.385,2026-09-16,2.0,EXCLUDED,cross,22,4.614,2.635,5.462
CADJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.0,1.0,2.0,0.01,90.785,0.00023989341327779504,2.399,2026-09-16,2.0,EXCLUDED,cross,22,3.169,2.084,4.626
CHFJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.7,1.0,2.7,0.01,111.4125,0.00024143897724474868,2.414,2026-09-16,2.0,EXCLUDED,cross,22,3.095,2.013,3.77
EURAUD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.7,1.0,2.7,0.0001,1.5873,0.00017581755411749808,1.758,2026-09-16,2.0,EXCLUDED,cross,22,3.169,1.666,2.646
EURCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.7,1.0,2.7,0.0001,1.4678,0.00017892876756237566,1.789,2026-09-16,2.0,EXCLUDED,cross,22,3.432,1.457,2.861
EURCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.2,1.0,2.2,0.0001,1.14958,0.00020138405939302894,2.014,2026-09-16,2.0,EXCLUDED,cross,22,1.94,1.759,3.654
EURGBP,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.8,1.0,1.8,0.0001,0.85094,0.0002091623502050827,2.092,2026-09-16,2.0,EXCLUDED,cross,22,2.338,1.727,1.939
EURJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.8,1.0,1.8,0.01,132.988,0.00014471036587581772,1.447,2026-09-16,2.0,EXCLUDED,cross,22,1.698,1.375,1.354
EURNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",4.4,1.0,4.4,0.0001,1.73629,0.0002669090753709126,2.669,2026-09-16,2.0,EXCLUDED,cross,22,4.049,2.76,2.419
EURUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.4,1.0,1.4,0.0001,1.1912,0.00012281725628709934,1.228,2026-09-16,2.0,EXCLUDED,major,22,0.981,1.385,1.385
GBPAUD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",4.25,1.0,4.25,0.0001,1.86022,0.00023948773001592998,2.395,2026-09-16,2.0,EXCLUDED,cross,22,2.827,1.839,2.258
GBPCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",4.2,1.0,4.2,0.0001,1.73759,0.000244798374222166,2.448,2026-09-16,2.0,EXCLUDED,cross,22,2.946,1.786,2.417
GBPCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",3.4,1.0,3.4,0.0001,1.4094,0.0002660552768988081,2.661,2026-09-16,2.0,EXCLUDED,cross,22,2.955,2.008,2.98
GBPJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.9,1.0,2.9,0.01,157.892,0.0002035408555650152,2.035,2026-09-16,2.0,EXCLUDED,cross,22,2.608,1.726,2.66
GBPNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",6.0,1.0,6.0,0.0001,2.0508,0.0003142292567743302,3.142,2026-09-16,2.0,EXCLUDED,cross,22,4.181,3.211,2.048
GBPUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.1,1.0,2.1,0.0001,1.45992,0.00015924826253473583,1.592,2026-09-16,2.0,EXCLUDED,major,22,1.658,1.467,1.336
NZDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.9,1.0,2.9,0.0001,0.83112,0.0003277417364579885,3.277,2026-09-16,2.0,EXCLUDED,cross,22,4.993,3.085,5.053
NZDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",3.1,1.0,3.1,0.0001,0.69062,0.0004533157856497838,4.533,2026-09-16,2.0,EXCLUDED,cross,22,4.979,3.374,6.081
NZDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",2.2,1.0,2.2,0.01,78.0835,0.0002873796483593591,2.874,2026-09-16,2.0,EXCLUDED,cross,22,5.345,2.81,5.379
NZDUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.8,1.0,1.8,0.0001,0.69298,0.0002559853303212362,2.56,2026-09-16,2.0,EXCLUDED,major,22,4.077,2.515,3.03
USDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.9,1.0,1.9,0.0001,1.25145,0.0001429802706181368,1.43,2026-09-16,2.0,EXCLUDED,major,22,2.943,1.423,1.438
USDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.9,1.0,1.9,0.0001,0.96501,0.00019101334192879753,1.91,2026-09-16,2.0,EXCLUDED,major,22,2.438,1.806,2.176
USDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 22:00 NY, 2016-2020, n=1038",1.4,1.0,1.4,0.01,110.091,0.0001261818288444006,1.262,2026-09-16,2.0,EXCLUDED,major,22,1.445,1.187,1.908
