signal,batch,family,in_1999,in_2002,to_1999,si_1999,ao_1999,mo_1999,dec_1999,tsb_1999,to_2002,si_2002,ao_2002,mo_2002,dec_2002,tsb_2002,fails_in_other
zb_cx3_m120,trend-duration,cx_m,True,False,-14.11,-0.02234,0.893,-0.964,1.038,6.0,-14.53,-0.00699,0.893,-0.971,3.875,5.0,effect >= 0.0221
zc_cx2_s150_ch,trend-duration,cx_s,True,False,-13.85,-0.02218,0.893,-0.98,1.103,5.0,-13.8,-0.01893,0.893,-0.967,1.516,5.0,effect >= 0.0221
zd_cx3_x375,trend-duration,cx_x,True,False,-15.95,-0.02835,0.893,-0.984,1.449,5.0,-15.95,-0.02075,0.893,-0.984,2.221,4.0,effect >= 0.0221
ze_xsctop_r10_pd,trend-nonmomentum,cross-sectional,False,True,-18.2,-0.01906,0.893,-0.989,1.527,5.0,-18.21,-0.03143,0.893,-0.99,1.048,6.0,effect >= 0.0221
zz_coex3_D120,regime-v5,zz_coex3,True,False,-14.11,-0.02234,0.893,-0.964,1.038,6.0,-14.53,-0.00699,0.893,-0.971,3.875,6.0,effect >= 0.0221
zz_paneldisp_D30,multi-timeframe,zz_paneldisp,False,True,-26.11,-0.02542,0.964,-0.943,1.692,,-25.57,-0.02233,0.893,-0.951,2.165,,monotonic >= 0.95
zz_paneldisp_D40,multi-timeframe,zz_paneldisp,True,False,-24.91,-0.02341,0.893,-0.959,1.737,6.0,-24.54,-0.02115,0.893,-0.963,2.17,6.0,effect >= 0.0221
zz_paneldisp_D90,multi-timeframe,zz_paneldisp,False,True,-20.06,-0.02635,0.929,-0.946,1.246,,-20.41,-0.02531,0.929,-0.959,1.514,,monotonic >= 0.95
zz_panelvol_D40,multi-timeframe,zz_panelvol,True,True,-25.58,-0.02555,0.964,-0.969,1.636,6.0,-24.84,-0.02697,0.964,-0.974,1.707,6.0,
zz_panelvol_D60,multi-timeframe,zz_panelvol,True,True,-21.86,-0.02802,0.929,-0.951,1.269,6.0,-21.81,-0.02993,0.929,-0.958,1.361,6.0,
