pair,group,era,hour_ny,n,spread_pips_median,spread_pips_mean,spread_bp_median,spread_bp_p90
EURGBP,cross,2004-2015,17,3264,2.3999999999990695,4.067800245098042,3.037067432922693,12.688971249734504
EURGBP,cross,2004-2015,18,2500,2.00000000000089,3.241799999999989,2.940095558824104,7.879875604492836
EURGBP,cross,2004-2015,19,2319,1.9999999999997797,2.217378180250136,2.546570406305028,3.5918695941581595
EURGBP,cross,2004-2015,20,2302,1.80000000000069,2.02150304083404,2.3718743584975783,3.07338530279564
EURGBP,cross,2004-2015,21,2307,1.80000000000069,2.0245340268747114,2.3644772071352063,3.0653850045639675
EURGBP,cross,2004-2015,22,2301,1.7999999999995797,1.9990004345936552,2.3383334697358613,3.028284174186572
EURGBP,cross,2004-2015,23,2307,1.7999999999995797,1.9963589076722976,2.323987032152105,3.0118585247567173
EURGBP,cross,2016-2020,17,1295,6.500000000000394,7.362857142857145,7.515000645820062,12.997127136357765
EURGBP,cross,2016-2020,18,1041,4.299999999999304,5.105475504322758,4.945016130171379,9.37098632387128
EURGBP,cross,2016-2020,19,1038,2.1999999999999797,2.3661849710982903,2.5710626779515886,3.2645157283703816
EURGBP,cross,2016-2020,20,1038,1.9000000000002348,2.0496146435452802,2.2262320455915146,2.8122742462986334
EURGBP,cross,2016-2020,21,1038,1.80000000000069,1.9448940269749448,2.126278570265873,2.641353535667345
EURGBP,cross,2016-2020,22,1038,1.80000000000069,1.9215799614643316,2.091623502050827,2.586018281466543
EURGBP,cross,2016-2020,23,1038,1.7999999999995797,1.8836223506743708,2.0572604535793517,2.5653194606409615
EURGBP,cross,2021-2026,17,1474,2.9000000000001247,4.259701492537297,3.377257831635297,10.681696836433378
EURGBP,cross,2021-2026,18,1181,5.199999999999649,5.560457239627427,6.008643202144218,10.13097908676402
EURGBP,cross,2021-2026,19,1181,1.60000000000049,1.7332768839965886,1.9038779614232557,2.583493823101108
EURGBP,cross,2021-2026,20,1180,1.4999999999998348,1.5666949152541965,1.762808273288032,2.2316793263816406
EURGBP,cross,2021-2026,21,1180,1.4999999999998348,1.5249999999999853,1.7342243560086528,2.1152457124662414
EURGBP,cross,2021-2026,22,1180,1.4999999999998348,1.5022881355931914,1.7267081496942274,2.0465779321693107
EURGBP,cross,2021-2026,23,1180,1.4999999999998348,1.5032203389830348,1.7326518349437028,2.032126776544947
EURAUD,cross,2004-2015,17,2957,8.00000000000134,11.812275955360157,5.484260173303236,17.776829713901858
EURAUD,cross,2004-2015,18,2481,7.999999999999119,9.59044740024183,5.1344868813854525,8.632232251154441
EURAUD,cross,2004-2015,19,2313,5.1000000000001044,6.747427583225261,3.5132096683526206,6.203858895665941
EURAUD,cross,2004-2015,20,2300,4.100000000000215,6.369608695652104,3.1655712582681694,6.1474685534906754
EURAUD,cross,2004-2015,21,2307,4.300000000001525,6.468227134807076,3.189769539150767,6.243834266295083
EURAUD,cross,2004-2015,22,2300,4.20000000000087,6.417869565217376,3.1687560676328372,6.224014747146972
EURAUD,cross,2004-2015,23,2306,4.199999999998649,6.400910667823027,3.147900529311874,6.200785327712987
EURAUD,cross,2016-2020,17,1295,8.999999999999009,11.162702702702713,5.728762205445513,12.667383729485433
EURAUD,cross,2016-2020,18,1040,6.800000000000139,7.858557692307676,4.443965425467188,7.660052502245477
EURAUD,cross,2016-2020,19,1038,3.2999999999994145,3.5342003853564257,2.14322837616745,3.087476744820607
EURAUD,cross,2016-2020,20,1038,2.80000000000058,3.0892100192678136,1.8322482074454587,2.6076461980643217
EURAUD,cross,2016-2020,21,1038,2.6999999999999247,3.0016377649325254,1.761300843359121,2.479380388536216
EURAUD,cross,2016-2020,22,1038,2.6999999999999247,3.003371868978775,1.7581755411749806,2.4914470686946135
EURAUD,cross,2016-2020,23,1038,2.6999999999999247,2.8583815028902135,1.7314036455463495,2.404554738385663
EURAUD,cross,2021-2026,17,1474,5.399999999999849,7.777069199457249,3.306830116442188,11.645060437027436
EURAUD,cross,2021-2026,18,1181,10.200000000000209,11.15453005927182,6.282933537232669,10.788691663660746
EURAUD,cross,2021-2026,19,1181,2.900000000001235,3.1924640135478177,1.8408408961211455,2.604632004869635
EURAUD,cross,2021-2026,20,1180,2.6999999999999247,2.895423728813597,1.6874186752858589,2.293668860191282
EURAUD,cross,2021-2026,21,1180,2.6999999999999247,2.8725423728813686,1.6727640695301014,2.2927947642863975
EURAUD,cross,2021-2026,22,1180,2.6999999999999247,2.8718644067797214,1.6657645191815105,2.2998649810211123
EURAUD,cross,2021-2026,23,1180,2.5999999999992696,2.796101694915253,1.6359575108599722,2.260421928479189
EURNZD,cross,2004-2015,17,2956,10.00000000000334,17.543606224627876,6.277404813181042,21.033277560381933
EURNZD,cross,2004-2015,18,2496,10.000000000001119,14.151121794871793,5.753127631981986,12.146064990667988
EURNZD,cross,2004-2015,19,2313,7.999999999999119,9.66398616515348,4.418104128403645,7.515450896531056
EURNZD,cross,2004-2015,20,2300,7.0000000000014495,8.892217391304301,4.042282297138888,7.160054126518125
EURNZD,cross,2004-2015,21,2307,7.300000000001194,9.210533159947968,4.144218814753211,7.30284160491212
EURNZD,cross,2004-2015,22,2299,7.099999999999884,8.883645063070881,4.0489928130373105,7.089581950786859
EURNZD,cross,2004-2015,23,2305,6.999999999999229,8.94086767895879,4.0271804627648,6.880774989118523
