# FIELD CONTAMINATED -- gate 2 selected the 3,485 with sight of 2016-2020; structure comparisons valid, levels not.
# l2tune.crosses_label() applies its bars to the STITCHED W2+W3 blind book and requires n_w3 >= MIN_TRADES_BLIND, so membership of this field depends on
# performance in the very years this walk-forward trades. Every structure and every null draw is drawn from the same field, so relative
# statements hold; no absolute level here is an out-of-sample number. See FIXES.md, fourth contamination.
structure,kind,budget,step,slice,share_risk_pct,return_contrib,n_members,share_return_pct
ALLPASS,real,team1,1,A-chop,9.03225806451613,181.9193115234375,56,38.80167321269031
ALLPASS,real,team1,1,A-trend,78.38709677419355,91.63115692138672,486,19.544061469836475
ALLPASS,real,team1,1,B,12.580645161290322,195.29351806640625,78,41.65426531747321
ALLPASS,real,team1,2,A-chop,7.478260869565218,113.42988586425781,43,68.45801490302975
ALLPASS,real,team1,2,A-trend,79.65217391304348,-32.01810073852539,458,-19.323792850745992
ALLPASS,real,team1,2,B,12.869565217391305,84.28084564208984,74,50.865777947716246
SLICE_BALANCED,real,team1,1,A-chop,33.33333432674408,-28.162852507399272,56,188.91144968203483
SLICE_BALANCED,real,team1,1,A-trend,33.33333134651184,-12.511769943558921,486,83.92674703334224
SLICE_BALANCED,real,team1,1,B,33.33333432674408,25.766657605629124,78,-172.8381967153771
SLICE_BALANCED,real,team1,2,A-chop,33.33333134651184,2.8411104014479016,43,-6.205899695593011
SLICE_BALANCED,real,team1,2,A-trend,33.33333134651184,-31.224439692822866,458,68.20422771533227
SLICE_BALANCED,real,team1,2,B,33.33333730697632,-17.39746867198007,74,38.001671980260745
PER_SLICE_CUT,real,team1,1,A-chop,33.333333333333336,189.50100708007812,56,53.91558800782434
PER_SLICE_CUT,real,team1,1,A-trend,33.333333333333336,29.76589584350586,56,8.468798143664257
PER_SLICE_CUT,real,team1,1,B,33.333333333333336,132.21031188964844,56,37.61561384851141
PER_SLICE_CUT,real,team1,2,A-chop,33.333333333333336,141.11404418945312,43,61.755527778072015
PER_SLICE_CUT,real,team1,2,A-trend,33.333333333333336,29.2364444732666,43,12.794701400357285
PER_SLICE_CUT,real,team1,2,B,33.333333333333336,58.15382385253906,43,25.449770821570702
NO_CUT,real,team1,1,A-chop,19.45480631276901,342.2990417480469,678,33.551770950729356
NO_CUT,real,team1,1,A-trend,51.76470588235294,206.51303100585938,1804,20.242177364170196
NO_CUT,real,team1,1,B,28.78048780487805,471.39947509765625,1003,46.20605168510045
NO_CUT,real,team1,2,A-chop,19.45480631276901,282.43170166015625,678,35.274216100379064
NO_CUT,real,team1,2,A-trend,51.76470588235294,142.37745666503906,1804,17.782186435530203
NO_CUT,real,team1,2,B,28.78048780487805,375.865478515625,1003,46.94359746409073
NO_CUT_SLICE_BALANCED,real,team1,1,A-chop,33.3333283662796,24.960304923174178,678,46.67107137865725
NO_CUT_SLICE_BALANCED,real,team1,1,A-trend,33.33333730697632,-6.687425842136939,1804,-12.504227403411047
NO_CUT_SLICE_BALANCED,real,team1,1,B,33.33334028720856,35.20844068696911,1003,65.83315602475379
NO_CUT_SLICE_BALANCED,real,team1,2,A-chop,33.3333283662796,-24.56920115101973,678,44.316125880661524
NO_CUT_SLICE_BALANCED,real,team1,2,A-trend,33.33333730697632,-20.11966223177753,1804,36.290373409346195
NO_CUT_SLICE_BALANCED,real,team1,2,B,33.33334028720856,-10.75190600481099,1003,19.39350070999228
