structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,90,90,6,1.5443792400491816,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.82068757721056
ALLPASS,2,2012-2016,2017-2017,False,90,90,6,1.062289824767825,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.261991169471835
ALLPASS,3,2013-2017,2018-2018,False,90,90,6,0.9736620481591829,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.2030230265034287
ALLPASS,4,2014-2018,2019-2019,False,90,90,6,1.0339236365580327,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,2.6315272266441867
ALLPASS,5,2015-2019,2020-2020,False,90,90,6,1.103942897139569,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.2358885577162653
