mode,slice,n,mean,p50,p95,p99,max
A,trend,3959,-0.0009336796673819,-0.0077235779351314,0.0972206958204911,0.2041085319296507,0.4870384693950138
A,chop,3161,0.0250093036383974,0.0278866659366685,0.1099192404755819,0.1508887579651657,0.2495977906406911
B,trend,3977,-0.0010560238806724,-0.0098342030531756,0.0897542708738921,0.1949560642091871,0.5013419569019028
B,chop,3208,0.0207386927294809,0.0212491569770025,0.092979270256209,0.1326883355138458,0.2256728776625332
C,trend,4064,-0.0018631481569082,-0.008291554538747,0.0968595076648677,0.2052029150332869,0.4983878209473501
C,chop,3277,0.0297076722514871,0.0325582625848469,0.1182288098064842,0.1634364755383159,0.2457601652512281
