# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
book,budget,slice,passers,median_year_pct,worst_year_pct,max_dd_pct,profit_factor
ALWAYS_ON,team1,A-trend,2960,1.80096032695103,1.1656685043891255,1.052498524161333,1.3329715681651286
ALWAYS_ON,team2,A-trend,2960,2.701440490426545,1.7485027565836886,1.578747786241994,1.3329715681651286
ALWAYS_ON,team1,A-chop,930,8.053794457639121,6.500389208794031,2.0118712174988147,1.6871710038654668
ALWAYS_ON,team2,A-chop,930,12.080691686458682,9.750583813191048,3.0178068262482256,1.6871710038654668
ALWAYS_ON,team1,B-chop,917,11.200287005164482,10.221435207961358,2.3288242833521338,1.921256260826503
ALWAYS_ON,team2,B-chop,917,16.800430507746725,15.332152811942038,3.4932364250282006,1.9212562608265031
ALWAYS_ON,team1,B-trend,3428,3.0181880393664633,1.2980732835220017,1.309740960195006,1.4303934503118945
ALWAYS_ON,team2,B-trend,3428,4.527282059049695,1.9471099252830024,1.9646114402925023,1.430393450311895
5pm TIRx ACTi,team1,A-trend,2960,0.600275511933785,-0.2169652616281629,0.964823371322664,1.1214699131151384
5pm TIRx ACTi,team2,A-trend,2960,0.9004132679006775,-0.3254478924422441,1.4472350569839958,1.1214699131151389
5pm TIRx ACTi,team1,A-chop,930,5.801565935130238,4.854448803831861,2.4712372221757057,1.547322086914642
5pm TIRx ACTi,team2,A-chop,930,8.702348902695357,7.281673205747791,3.706855833263567,1.5473220869146411
5pm TIRx ACTi,team1,B-chop,917,8.281717363054348,5.772978035972631,1.7002341264311411,1.6571340531832643
5pm TIRx ACTi,team2,B-chop,917,12.422576044581524,8.659467053958949,2.550351189646719,1.657134053183264
5pm TIRx ACTi,team1,B-trend,3428,1.0643333166289497,-0.1619178774628103,0.825671819206444,1.2006006763470547
5pm TIRx ACTi,team2,B-trend,3428,1.5964999749434243,-0.2428768161942155,1.2385077288096658,1.2006006763470547
5pm TIRi ACTi,team1,A-trend,2960,0.8997626383422974,0.0930347222148559,1.044917690448298,1.1630327863486578
5pm TIRi ACTi,team2,A-trend,2960,1.349643957513446,0.139552083322284,1.5673765356724467,1.1630327863486576
5pm TIRi ACTi,team1,A-chop,930,5.801565935130238,4.854448803831861,2.4712372221757057,1.547322086914642
5pm TIRi ACTi,team2,A-chop,930,8.702348902695357,7.281673205747791,3.706855833263567,1.5473220869146411
5pm TIRi ACTi,team1,B-chop,917,8.281717363054348,5.772978035972631,1.7002341264311411,1.6571340531832643
5pm TIRi ACTi,team2,B-chop,917,12.422576044581524,8.659467053958949,2.550351189646719,1.657134053183264
5pm TIRi ACTi,team1,B-trend,3428,1.4799726236026458,-0.1642658003626454,0.8594418359343003,1.2334867994365275
5pm TIRi ACTi,team2,B-trend,3428,2.219958935403969,-0.246398700543968,1.2891627539014503,1.2334867994365275
5pm TIRx ACTw,team1,A-trend,2960,0.2833954122318544,-0.1358353754490434,0.8656175948251318,1.124198819372166
5pm TIRx ACTw,team2,A-trend,2960,0.4250931183477814,-0.2037530631735652,1.298426392237698,1.124198819372166
5pm TIRx ACTw,team1,A-chop,930,5.801565935130238,4.854448803831861,2.4712372221757057,1.547322086914642
5pm TIRx ACTw,team2,A-chop,930,8.702348902695357,7.281673205747791,3.706855833263567,1.5473220869146411
5pm TIRx ACTw,team1,B-chop,917,8.281717363054348,5.772978035972631,1.7002341264311411,1.6571340531832643
5pm TIRx ACTw,team2,B-chop,917,12.422576044581524,8.659467053958949,2.550351189646719,1.657134053183264
5pm TIRx ACTw,team1,B-trend,3428,0.54484768825939,-0.2236560753025219,0.8242473894759197,1.166748362049005
5pm TIRx ACTw,team2,B-trend,3428,0.8172715323890851,-0.3354841129537828,1.2363710842138795,1.166748362049005
5pm TIRi ACTw,team1,A-trend,2960,0.5546898624424768,-0.1414459645756299,1.242121237820106,1.0768783339186243
5pm TIRi ACTw,team2,A-trend,2960,0.8320347936637151,-0.2121689468634446,1.8631818567301597,1.0768783339186243
5pm TIRi ACTw,team1,A-chop,930,5.801565935130238,4.854448803831861,2.4712372221757057,1.547322086914642
5pm TIRi ACTw,team2,A-chop,930,8.702348902695357,7.281673205747791,3.706855833263567,1.5473220869146411
5pm TIRi ACTw,team1,B-chop,917,8.281717363054348,5.772978035972631,1.7002341264311411,1.6571340531832643
5pm TIRi ACTw,team2,B-chop,917,12.422576044581524,8.659467053958949,2.550351189646719,1.657134053183264
5pm TIRi ACTw,team1,B-trend,3428,1.1065351658998672,-0.3905246233216808,1.0884627489430154,1.162424156428462
5pm TIRi ACTw,team2,B-trend,3428,1.659802748849801,-0.5857869349825211,1.6326941234145234,1.162424156428462
