budget,draw,median_year_pct,total_return_pct,max_dd_pct,trades
team1,0,-1.4219395658275338,-5.553052084236947,6.513498361584419,123041
team2,0,-2.132909348741301,-8.329578126355422,9.77024754237662,123041
team1,1,-1.1594271154889433,-4.529693599140272,5.648188160581478,118668
team2,1,-1.739140673233415,-6.7945403987104065,8.472282240872211,118668
team1,2,-1.6858175165235205,-4.961537779488944,6.510133235664307,113769
team2,2,-2.5287262747852806,-7.442306669233416,9.765199853496455,113769
team1,3,-1.1188899174821445,-3.773267977654432,5.466264902546151,115524
team2,3,-1.678334876223217,-5.65990196648165,8.199397353819222,115524
team1,4,-0.9772822562417197,-1.861768501303695,4.693702166930556,117192
team2,4,-1.4659233843625799,-2.7926527519555404,7.040553250395831,117192
team1,5,-0.3627801572912354,-3.1690959058632306,4.5009916097566585,120339
team2,5,-0.544170235936853,-4.753643858794845,6.751487414634991,120339
team1,6,-1.247349618402813,-4.185890496839681,5.816556564846071,118859
team2,6,-1.8710244276042196,-6.278835745259524,8.724834847269111,118859
team1,7,-1.0124590742094477,-1.7026996215313432,3.879159481594412,116056
team2,7,-1.5186886113141713,-2.5540494322970155,5.818739222391614,116056
team1,8,-1.3579006152345436,-4.646359182988181,6.01715997787762,118841
team2,8,-2.0368509228518157,-6.969538774482272,9.02573996681642,118841
team1,9,-0.5322013266387338,-4.129137557110959,6.253727553719375,114202
team2,9,-0.7983019899581005,-6.193706335666438,9.38059133057906,114202
team1,10,-0.20104142857500032,-0.08353799009027663,5.165066093805827,118957
team2,10,-0.30156214286250066,-0.12530698513541427,7.747599140708742,118957
team1,11,-0.46697730881813637,-0.06168903756220412,3.78189345325462,118790
team2,11,-0.7004659632272049,-0.09253355634330662,5.672840179881931,118790
team1,12,-0.23507049675006722,-0.7555551157721121,4.978645374245985,121199
team2,12,-0.3526057451251009,-1.1333326736581713,7.4679680613689765,121199
team1,13,-1.0004001402428702,-2.760240276482138,4.285381723479216,115709
team2,13,-1.5006002103643057,-4.140360414723204,6.428072585218825,115709
team1,14,-1.147146042458979,-5.593242225786017,5.943400853837243,111651
team2,14,-1.7207190636884688,-8.389863338679028,8.915101280755861,111651
team1,15,-0.5520372025323745,-2.236020848838251,4.533257908288778,114223
team2,15,-0.8280558037985614,-3.3540312732573754,6.799886862433164,114223
team1,16,-1.6675905234040334,-4.972670209319331,6.132540810374119,115037
team2,16,-2.5013857851060495,-7.459005313978999,9.198811215561182,115037
team1,17,0.3151564497449959,-1.2731937474353328,4.98625810079608,115730
team2,17,0.4727346746174935,-1.9097906211530002,7.47938715119412,115730
team1,18,-1.3799230021279425,-3.740389835911105,5.18272895280117,121254
team2,18,-2.069884503191914,-5.6105847538666564,7.7740934292017565,121254
team1,19,-0.5708032879965655,-0.6590766591466629,3.4588730199875934,118968
team2,19,-0.8562049319948479,-0.9886149887199925,5.188309529981387,118968
team1,20,-0.34952675825864205,-1.5439038396430507,4.824895413159366,118777
team2,20,-0.5242901373879626,-2.3158557594645766,7.237343119739055,118777
team1,21,-0.08513859738713561,-0.9411240060604054,5.598583535093191,127701
team2,21,-0.12770789608070343,-1.4116860090906083,8.39787530263979,127701
team1,22,-1.8119712069791278,-4.935024489074873,6.254281920111339,114226
team2,22,-2.7179568104686913,-7.402536733612311,9.381422880167017,114226
team1,23,-0.342550659836617,-2.2552099297737325,4.976276050662588,121215
team2,23,-0.5138259897549257,-3.3828148946605987,7.464414075993884,121215
team1,24,0.022364609780038916,-3.2167185496292117,5.228305062453021,118692
team2,24,0.03354691467005885,-4.825077824443815,7.842457593679533,118692
