structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,250,250,6,1.469929958321336,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.63716165943574
SLICE_BALANCED,1,2011-2015,2016-2016,False,250,250,6,1.5041061227271268,DIP95,2.0,19,0.5,fitted,net,False,5.4,3.6,19.482007019563962
ALLPASS,2,2012-2016,2017-2017,False,250,250,6,1.0430500180244067,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.562123059268776
SLICE_BALANCED,2,2012-2016,2017-2017,False,250,250,6,0.9618226413694548,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,8.323491827529667
ALLPASS,3,2013-2017,2018-2018,False,250,250,6,1.1076455403995207,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.078627309445241
SLICE_BALANCED,3,2013-2017,2018-2018,False,250,250,6,1.1362015628807984,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,8.814800863172607
ALLPASS,4,2014-2018,2019-2019,False,250,250,6,1.1636836887732422,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.820504479463512
SLICE_BALANCED,4,2014-2018,2019-2019,False,250,250,6,1.1617890710780057,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,9.916748471139673
ALLPASS,5,2015-2019,2020-2020,False,250,250,6,1.1101275787956404,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.3192345244963795
SLICE_BALANCED,5,2015-2019,2020-2020,False,250,250,6,1.0849179244130118,actual maxDD,2.0,0,0.5,fitted,net,False,5.4,3.6,7.969470545162175
