Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2025-01-03,range,broken,broken,drifting,drifting,broken,range,range,broken,broken,drifting,broken,range,drifting,trending,trending,range,range,trending,broken,broken,range,broken,trending,range,drifting,range,range
2025-01-06,range,broken,broken,drifting,drifting,range,range,range,broken,broken,drifting,range,range,drifting,trending,broken,range,range,trending,broken,broken,range,broken,trending,range,drifting,range,range
2025-01-07,range,broken,broken,range,range,range,range,range,broken,broken,drifting,range,range,range,broken,broken,range,drifting,broken,broken,broken,range,broken,trending,range,drifting,drifting,range
2025-01-08,range,broken,broken,range,range,range,range,range,broken,broken,range,range,range,range,broken,broken,range,drifting,broken,broken,broken,drifting,broken,broken,range,drifting,drifting,range
2025-01-09,drifting,broken,broken,range,range,range,range,drifting,broken,broken,drifting,drifting,range,range,broken,broken,range,drifting,broken,range,broken,range,broken,broken,drifting,drifting,drifting,range
2025-01-10,drifting,broken,broken,range,range,range,range,drifting,broken,broken,drifting,drifting,drifting,range,broken,broken,range,range,broken,drifting,range,range,broken,broken,range,broken,drifting,range
2025-01-13,drifting,broken,broken,drifting,drifting,range,drifting,drifting,broken,broken,drifting,drifting,drifting,range,broken,broken,range,drifting,broken,drifting,range,drifting,broken,broken,range,broken,range,drifting
2025-01-14,trending,broken,broken,drifting,drifting,range,drifting,drifting,broken,trending,trending,broken,drifting,range,broken,broken,range,drifting,broken,drifting,range,drifting,broken,broken,range,broken,range,drifting
2025-01-15,trending,broken,broken,range,drifting,range,range,drifting,broken,trending,trending,broken,broken,range,broken,broken,range,range,broken,drifting,range,range,broken,broken,range,broken,range,range
2025-01-16,trending,range,drifting,range,drifting,range,drifting,broken,broken,trending,trending,broken,broken,range,broken,broken,drifting,range,broken,drifting,drifting,drifting,drifting,broken,drifting,broken,range,drifting
2025-01-17,trending,range,range,range,range,range,drifting,broken,broken,broken,trending,broken,broken,range,broken,range,range,drifting,broken,range,range,drifting,range,broken,drifting,broken,drifting,drifting
2025-01-21,trending,range,range,range,range,range,drifting,broken,broken,broken,broken,broken,broken,drifting,range,range,drifting,range,range,range,range,drifting,range,broken,drifting,broken,drifting,broken
