cell,net,retdd,pf,trades,win,avg,expo,retexp,sharpe,data_pct
BASELINE,363783.1301136323,7.436967636349168,1.039558698591583,2219,0.49780809614438765,163.94012172763962,0.6066628612941726,599646.2835018226,0.1729637369515486,1.0
all 3 aligned,246253.24519019682,4.235670742248688,1.0416837001483241,1960,0.4948494584478818,125.63941081132491,0.5966208872641043,412746.60416169546,0.1802217329566854,0.6564916195319391
2 of 3,222403.64345301068,5.010863941592252,1.1023032627735236,946,0.49638865004299226,235.09898885096266,0.62756313403842,354392.46091755753,0.44480025095041215,0.24041305588708423
daily alone,-54393.55049897485,-0.8265480448312919,0.9240176541370951,628,0.46254618743701714,-86.61393391556506,0.6475962584294105,-83992.99685716741,-0.3631287355921972,0.06422364413646652
aligned trend,116721.01122914265,3.4983640070925817,1.0499648225718514,822,0.49501012981166054,141.996364025721,0.5949468797428801,196187.2819294158,0.22498870061299409,0.2906180270873333
aligned mid,37173.57723624617,0.8147559698238771,1.0246311773921717,645,0.4930178432893716,57.63345307945143,0.6161873655699833,60328.366521861426,0.103936653484341,0.16284832131181567
aligned chop,92358.65672480797,2.6856692628082626,1.0447823267282283,564,0.49660385626643294,163.75648355462405,0.5833226837060703,158332.01640302822,0.1926167331943587,0.2030252711327902
