# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
budget,structure,members_step1,members_step2,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,calmar,expectancy_pct_per_day,identity_null_mean,identity_p,randomentry_null_mean,randomentry_p
team1,ALLPASS,2323,2142,2.8480301776916295,0.4415152095048092,3.197902673152452,0.708148972376949,4.568731220540337,1.2341338286246346,1.8437957260371944,4.7033721501154275,0.0116056530645717,4.648666094863704,1.0,-0.582112850198049,0.0
team1,STABLE,1888,40,1.2416314535558854,-2.0674265352687087,2.6258718429467476,0.3804168347762403,4.8294494813390365,1.058477094091009,0.4888901499387844,1.0280680611494968,0.0020830053814855855,3.372130973452724,1.0,,
team1,PICKED,22,30,3.0423920351223845,2.0158816017896664,4.315399014753223,1.6894243537672426,10.758946950631604,1.1972336673826898,1.455858938683366,5.904239110799954,0.019659836143220342,2.089296880829261,0.32,,
team1,FAMILY_CAP,3,3,-0.4187090691213684,-0.9662703998205928,2.7639368008133993,0.536373282188205,5.3139397930004915,1.0518146340650243,0.2196812870863588,0.6198821455211684,0.0013220023720471638,-0.2828270781468061,0.72,,
team1,SLICE_BALANCED,2323,2142,-0.9444280017830972,-1.7006593275601871,4.057633442019025,0.3096835737741663,5.648070069819114,0.8923121706154415,-0.9665767982448918,-0.8442310531866069,-0.002643194563426634,,,,
team1,NO_CUT,8235,8235,5.091258669796249,3.9266497830348186,1.8580732248721965,0.6385527721948022,3.0407998878806497,1.4934861695363433,3.9239188870044854,15.033778779110234,0.02155390572385536,,,0.0632831580532258,0.0
team1,NO_CUT_SLICE_BALANCED,8235,8235,4.603961173743923,2.801470837467242,2.645420469192338,0.6212713342214178,3.371028805792397,1.4558690620756751,3.712257477763089,10.884728458968173,0.02221811995907004,,,0.0002094634224469,0.0
team2,ALLPASS,2323,2142,4.272045266537443,0.6622728142572135,4.796854009728687,1.0622234585654236,6.853096830810492,1.2341338286246344,1.8437957260371944,4.7033721501154195,0.01740847959685755,6.972999142295557,1.0,-0.8731692752970737,0.0
team2,STABLE,1888,40,1.8624471803338285,-3.101139802903063,3.9388077644201234,0.5706252521643604,7.244174222008563,1.058477094091009,0.4888901499387846,1.0280680611494966,0.003124508072228379,5.058196460179087,1.0,,
team2,PICKED,22,30,4.550047198556062,3.023822402684499,6.869701085599476,2.410806787876962,15.567156278305776,1.1931539128304796,1.493303080670083,5.318061607787667,0.02818942407430851,3.1249836364470287,0.32,,
team2,FAMILY_CAP,3,3,-0.6280636036820527,-1.4494055997308892,4.145905201220093,0.8045599232823075,7.970909689500738,1.0518146340650243,0.2196812870863587,0.6198821455211689,0.0019830035580707447,-0.4242406172202091,0.72,,
team2,SLICE_BALANCED,2323,2142,-1.416642002674646,-2.550988991340281,6.08645016302853,0.4645253606612494,8.472105104728675,0.8923121706154417,-0.9665767982448922,-0.844231053186608,-0.0039647918451399524,,,,
team2,NO_CUT,8235,8235,7.636888004694375,5.889974674552228,2.787109837308293,0.9578291582922032,4.561199831820977,1.4934861695363433,3.923918887004485,15.033778779110245,0.03233085858578304,,,0.0949247370798387,0.0
team2,NO_CUT_SLICE_BALANCED,8235,8235,6.905941760615885,4.202206256200863,3.968130703788532,0.9319070013321266,5.056543208688598,1.4558690620756751,3.712257477763088,10.884728458968102,0.03332717993860506,,,0.0003141951336704,0.0
