block,days,mean_observed,mean_expected,mean_kappa,excess_over_chance,min_kappa,max_kappa,share_leg_kappa,no_leg_kappa,n_share_leg,n_no_leg,neff_equicorr,neff_eigen,negative_eigenvalues,pairwise_is_oos_spearman,pairwise_is_oos_pearson
is,4051,0.29718770856761473,0.26549103177478944,0.04314173373797479,0.031696676792825285,-0.09895317498680335,0.3835668280022331,0.07983967522921619,0.013783380544981658,168,210,12.934060063692515,22.97934759604562,0,0.364544795169852,0.4940212321231584
oos,2658,0.30274085221414043,0.2688581488677286,0.046426662911508335,0.03388270334641186,-0.18380955673494154,0.31510023087828587,0.07664487544809524,0.022252092882238797,168,210,12.425006771522963,23.155313073258966,0,0.364544795169852,0.4940212321231584
