band,L,lag,churn,cost
fast,7,2.0,144.9448146605581,1.0
fast,8,2.0,131.72115785089545,0.7817869415807558
fast,9,2.0,119.07017909204498,0.5730240549828178
fast,10,2.0,110.08433985839234,0.4247422680412371
fast,11,3.0,102.71761765930862,0.8031786941580754
fast,12,3.0,95.71532694710537,0.6876288659793813
fast,13,4.0,89.77509371095377,1.0896048109965635
fast,14,4.0,84.34506455643482,1.0
medium,20,7.0,64.93648479800083,1.0
medium,21,7.0,63.42149104539775,0.8392265193370165
medium,22,7.0,62.59891711786756,0.7519337016574588
medium,23,7.0,60.96418159100375,0.5784530386740333
medium,24,7.0,59.230528946272386,0.3944751381215469
medium,25,7.0,58.28821324448147,0.2944751381215472
medium,26,7.0,57.60099958350687,0.2215469613259665
medium,27,8.0,57.15847563515202,1.1745856353591162
medium,28,8.0,56.59100374843815,1.1143646408839776
medium,29,8.0,56.42440649729279,1.096685082872928
medium,30,8.0,56.231778425655975,1.0762430939226517
medium,31,8.0,55.51332778009163,1.0
slow,62,7.0,69.67358246885806,1.154525200761639
slow,65,6.0,70.09482129832239,1.0
slow,68,6.0,63.49553832040697,0.8097873138241279
slow,71,7.0,56.58281709530067,0.7772069899597441
slow,74,8.0,51.20821334668837,0.7889601880608625
slow,77,9.0,47.12845243314336,0.8380349458917218
slow,80,10.0,42.63784461152882,0.8752677666132795
slow,83,11.0,39.09922898514386,0.9399400823949937
slow,86,11.0,37.28207700990844,0.8875638834115546
slow,89,12.0,35.40058974841583,1.0
