si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,source,group,scorable,was_independent
-0.0019178074252649557,-1.1814207876012524,0.021553549384691322,0.4642857142857143,28,-0.026435738609402737,-14.794831558751888,-0.6249667613776279,0.8571428571428571,28,12.52291453986619,True,zz_coex3_D120,ext-panel,panel,True,False
-0.004161136975133928,-2.6488667834085753,-0.19878809762521635,0.6071428571428571,28,-0.028628898527442215,-15.560732847063186,-0.8991722825694349,0.8214285714285714,28,5.874486759594439,True,cx4_m375,ext-panel,panel,True,True
-0.0019178074252649557,-1.1814207876012524,0.021553549384691322,0.4642857142857143,28,-0.026435738609402737,-14.794831558751888,-0.6249667613776279,0.8571428571428571,28,12.52291453986619,True,zb_cx3_m120,ext-panel,panel,True,False
0.014855914117149621,6.415686113185256,0.596994602903389,0.7857142857142857,28,-0.04715109293030767,-15.726495980210933,-0.7229235588928945,0.7857142857142857,28,2.4512570756681007,False,zd_cx3_x375,ext-panel,panel,True,True
0.0057669088617375575,3.5734098096954603,0.08693088121586179,0.6071428571428571,28,-0.0013028287055475984,-0.7076998025258006,0.0682090073423031,0.4642857142857143,28,0.1980460792953701,False,ra_cx2.5_m10,ext-panel,panel,True,True
-0.00624124167924886,-3.7921072155260256,-0.3420992176023483,0.5357142857142857,28,-0.01973477092353057,-10.917623203407251,-0.34927478702373704,0.7857142857142857,28,2.8790386407607946,True,ra_cx2.5_m120,ext-panel,panel,True,True
-0.004903009919286272,-3.1881217695317585,0.1636376450752022,0.6785714285714286,28,-0.014593368033017196,-8.00418806238375,-0.2340929476384685,0.6785714285714286,28,2.5106280879476355,True,rc_cx3_s30,ext-panel,panel,True,True
-0.011581709123981487,-7.382546032848235,-0.3381657071319745,0.6428571428571429,28,-0.0055619108006501605,-2.9770060689953173,-0.3049166679307425,0.5714285714285714,28,0.4032492389142298,True,cx1.5_x150_ch,ext-panel,panel,True,True
-0.0027499399578249095,-1.5029084848349583,-0.3615449353962992,0.6071428571428571,28,-0.023046069608069597,-12.822065643695002,-0.822413891234198,0.75,28,8.531501267758864,True,za_cx4_m750_ch,ext-panel,panel,True,True
-0.0016359562246854586,-0.9902532129238807,0.21724717726073361,0.5357142857142857,28,-0.019106416959532163,-10.359090100549972,-0.9166997551376654,0.8214285714285714,28,10.461051744495839,True,zb_cx2_s90_ch,ext-panel,panel,True,False
-0.003158089534464642,-1.8316309169544267,-0.2820296577404077,0.5,28,-0.01630932508510416,-8.790880818089347,-0.888100577572847,0.7857142857142857,28,4.799482655985368,True,zc_cx2_s150_ch,ext-panel,panel,True,False
0.005807889467281141,3.5540470414421743,0.10875891230902328,0.5714285714285714,28,-0.0010658526121990197,-0.5870482146229018,-0.3839390726975012,0.39285714285714285,28,0.16517739010699398,False,ra_cx2_x25_ch,ext-panel,panel,True,False
0.0007521869409186921,0.45491285951841703,0.1395190963388665,0.5,28,-0.01611172551467993,-8.76100159188965,-0.9450900218510558,0.75,28,19.25863692040775,False,ra_cx2_m75_ch,ext-panel,panel,True,False
0.011073296673004052,6.165615078520483,0.8054422525543032,0.7142857142857143,28,-0.004852693821812526,-2.6203011306001174,-0.6149569715743164,0.5,28,0.42498616881365414,False,rb_dts_60_750_ch,ext-panel,panel,True,True
-0.0035039668741639607,-2.172919652378147,0.010593443125180313,0.6071428571428571,28,0.04284660727841613,23.491560438440704,0.8434143749591926,0.9642857142857143,28,10.811058021740665,False,rb_pdm_50_ch,ext-panel,panel,True,False
0.006223993723186438,3.698334987020588,0.18884099487647568,0.6785714285714286,28,-0.00583715021445641,-3.1168983526428726,-0.5195540585535385,0.5714285714285714,28,0.8427842160274059,False,rc_ats_60_500_ch,ext-panel,panel,True,True
0.0029835300416553856,1.722181570601195,0.5530678161478879,0.5357142857142857,28,-0.012310369934735804,-6.69108993239493,-0.8509586120581639,0.6071428571428571,28,3.8852407008740335,False,rc_ats_120_750_ch,ext-panel,panel,True,False
-0.008472017477881066,-5.214021445774466,-0.7872637765648482,0.6428571428571429,28,-0.005715759313497298,-3.100261448765519,-0.45346022375285794,0.5,28,0.5946008241446773,True,rc_cx1.5_x180_ch,ext-panel,panel,True,True
