    null round: 504 trials, best 8.117%, members 2
    null round: 502 trials, best 10.453%, members 3
    null round: 500 trials, best 11.232%, members 4
    null round: 498 trials, best 12.662%, members 5
    null round: 496 trials, best 14.674%, members 6
    null round: 494 trials, best 15.706%, members 7
    null round: 492 trials, best 16.313%, members 8
    null round: 490 trials, best 16.740%, members 9
    null round: 488 trials, best 17.360%, members 10
    null round: 486 trials, best 18.287%, members 11
    null round: 484 trials, best 18.996%, members 12
    null round: 482 trials, best 19.352%, members 13
    null round: 480 trials, best 19.693%, members 14
    null round: 478 trials, best 20.168%, members 15
    null round: 476 trials, best 20.466%, members 16
    null round: 474 trials, best 20.770%, members 17
    null round: 472 trials, best 20.836%, members 18
    null round: 470 trials, best 20.993%, members 19
    null round: 468 trials, best 21.201%, members 20
    null round: 466 trials, best 21.613%, members 21
    null round: 464 trials, best 21.703%, members 22
    null round: 462 trials, best 21.877%, members 23
    null round: 460 trials, best 22.154%, members 24
    null round: 458 trials, best 22.730%, members 25
    null round: 456 trials, best 22.767%, members 26
    null round: 454 trials, best 22.847%, members 27
    null round: 452 trials, best 23.082%, members 28
    null round: 450 trials, best 23.082%, members 29
    null round: 508 trials, best 3.348%, members 0
    null round: 506 trials, best 6.579%, members 1
    null round: 504 trials, best 8.172%, members 2
    null round: 502 trials, best 10.432%, members 3
    null round: 500 trials, best 11.356%, members 4
    null round: 498 trials, best 12.664%, members 5
    null round: 496 trials, best 14.456%, members 6
    null round: 494 trials, best 15.689%, members 7
    null round: 492 trials, best 16.362%, members 8
    null round: 490 trials, best 16.830%, members 9
    null round: 488 trials, best 17.850%, members 10
    null round: 486 trials, best 18.528%, members 11
    null round: 484 trials, best 19.031%, members 12
    null round: 482 trials, best 19.377%, members 13
    null round: 480 trials, best 19.920%, members 14
    null round: 478 trials, best 20.344%, members 15
    null round: 476 trials, best 20.381%, members 16
    null round: 474 trials, best 21.027%, members 17
    null round: 472 trials, best 21.193%, members 18
    null round: 470 trials, best 21.394%, members 19
    null round: 468 trials, best 21.703%, members 20
    null round: 466 trials, best 21.703%, members 21
    null round: 508 trials, best 3.377%, members 0
    null round: 506 trials, best 6.560%, members 1
    null round: 504 trials, best 8.144%, members 2
    null round: 502 trials, best 10.347%, members 3
    null round: 500 trials, best 11.185%, members 4
    null round: 498 trials, best 12.619%, members 5
    null round: 496 trials, best 14.730%, members 6
    null round: 494 trials, best 15.710%, members 7
    null round: 492 trials, best 16.289%, members 8
    null round: 490 trials, best 16.700%, members 9
    null round: 488 trials, best 17.067%, members 10
    null round: 486 trials, best 17.660%, members 11
    null round: 484 trials, best 18.120%, members 12
    null round: 482 trials, best 19.153%, members 13
    null round: 480 trials, best 19.515%, members 14
    null round: 478 trials, best 20.109%, members 15
    null round: 476 trials, best 20.289%, members 16
    null round: 474 trials, best 20.812%, members 17
    null round: 472 trials, best 21.138%, members 18
    null round: 470 trials, best 21.621%, members 19
    null round: 468 trials, best 21.939%, members 20
    null round: 466 trials, best 22.333%, members 21
    null round: 464 trials, best 22.686%, members 22
    null round: 462 trials, best 22.686%, members 23
    null round: 508 trials, best 3.364%, members 0
    null round: 506 trials, best 6.457%, members 1
    null round: 504 trials, best 8.078%, members 2
    null round: 502 trials, best 10.346%, members 3
    null round: 500 trials, best 11.272%, members 4
    null round: 498 trials, best 12.788%, members 5
    null round: 496 trials, best 14.627%, members 6
    null round: 494 trials, best 15.600%, members 7
    null round: 492 trials, best 16.245%, members 8
    null round: 490 trials, best 16.714%, members 9
    null round: 488 trials, best 18.083%, members 10
    null round: 486 trials, best 18.431%, members 11
    null round: 484 trials, best 18.906%, members 12
    null round: 482 trials, best 19.427%, members 13
    null round: 480 trials, best 19.933%, members 14
    null round: 478 trials, best 20.279%, members 15
    null round: 476 trials, best 20.829%, members 16
    null round: 474 trials, best 21.200%, members 17
    null round: 472 trials, best 21.398%, members 18
    null round: 470 trials, best 21.566%, members 19
    null round: 468 trials, best 22.097%, members 20
    null round: 466 trials, best 22.369%, members 21
    null round: 464 trials, best 22.428%, members 22
    null round: 462 trials, best 22.827%, members 23
    null round: 460 trials, best 22.827%, members 24
    null round: 508 trials, best 3.399%, members 0
    null round: 506 trials, best 6.457%, members 1
    null round: 504 trials, best 8.219%, members 2
    null round: 502 trials, best 10.407%, members 3
    null round: 500 trials, best 11.319%, members 4
    null round: 498 trials, best 12.676%, members 5
    null round: 496 trials, best 14.596%, members 6
    null round: 494 trials, best 15.565%, members 7
    null round: 492 trials, best 16.379%, members 8
    null round: 490 trials, best 17.262%, members 9
    null round: 488 trials, best 18.118%, members 10
    null round: 486 trials, best 18.498%, members 11
    null round: 484 trials, best 18.989%, members 12
    null round: 482 trials, best 19.238%, members 13
    null round: 480 trials, best 19.496%, members 14
    null round: 478 trials, best 19.950%, members 15
    null round: 476 trials, best 20.373%, members 16
    null round: 474 trials, best 20.472%, members 17
    null round: 472 trials, best 20.504%, members 18
    null round: 470 trials, best 20.871%, members 19
    null round: 468 trials, best 21.137%, members 20
    null round: 466 trials, best 21.686%, members 21
    null round: 464 trials, best 21.850%, members 22
    null round: 462 trials, best 21.850%, members 23
    null round: 508 trials, best 3.389%, members 0
    null round: 506 trials, best 6.574%, members 1
    null round: 504 trials, best 8.150%, members 2
    null round: 502 trials, best 10.408%, members 3
    null round: 500 trials, best 11.312%, members 4
    null round: 498 trials, best 11.990%, members 5
    null round: 496 trials, best 12.708%, members 6
    null round: 494 trials, best 13.495%, members 7
    null round: 492 trials, best 14.233%, members 8
    null round: 490 trials, best 14.732%, members 9
    null round: 488 trials, best 15.244%, members 10
    null round: 486 trials, best 15.751%, members 11
    null round: 484 trials, best 16.095%, members 12
    null round: 482 trials, best 16.237%, members 13
    null round: 480 trials, best 16.860%, members 14
    null round: 478 trials, best 17.179%, members 15
    null round: 476 trials, best 17.421%, members 16
    null round: 474 trials, best 17.667%, members 17
    null round: 472 trials, best 18.031%, members 18
    null round: 470 trials, best 18.397%, members 19
    null round: 468 trials, best 18.857%, members 20
    null round: 466 trials, best 19.126%, members 21
    null round: 464 trials, best 19.603%, members 22
    null round: 462 trials, best 19.831%, members 23
    null round: 460 trials, best 19.971%, members 24
    null round: 458 trials, best 20.212%, members 25
    null round: 456 trials, best 20.706%, members 26
    null round: 454 trials, best 20.720%, members 27
    null round: 452 trials, best 20.927%, members 28
    null round: 450 trials, best 20.927%, members 29
    null round: 508 trials, best 3.374%, members 0
    null round: 506 trials, best 6.629%, members 1
    null round: 504 trials, best 8.073%, members 2
    null round: 502 trials, best 10.364%, members 3
    null round: 500 trials, best 11.186%, members 4
    null round: 498 trials, best 12.550%, members 5
    null round: 496 trials, best 14.440%, members 6
    null round: 494 trials, best 15.691%, members 7
    null round: 492 trials, best 16.269%, members 8
    null round: 490 trials, best 16.795%, members 9
    null round: 488 trials, best 18.027%, members 10
    null round: 486 trials, best 18.594%, members 11
