slice,n_controls,floor_expectancy_R,pf_floor,null_exp_only_pct,null_pf_only_pct,null_joint_pct
trend,4097,0.0789746052852731,1.05,5.003661215523554,29.50939711984379,5.003661215523554
chop,3311,0.0948921307658818,1.05,5.013591060102688,51.55542132286318,5.013591060102688
