mode,slice,n,mean,p50,p95,p99,max
B,trend,3977,-0.001056023880672449,-0.009834203053175691,0.08975427087389212,0.19495606420918718,0.5013419569019028
B,chop,3208,0.02073869272948098,0.021249156977002595,0.09297927025620908,0.13268833551384582,0.22567287766253324
