X,Y,kind,is_excess,null,holdout_lift,surrogate,sd,excess,p
0.98,0.75,activity only,0.061185989145661535,sign,0.901129161708134,0.9842033803643808,0.1702402300758776,-0.08307421865624687,0.7064676616915423
0.98,0.75,activity only,0.061185989145661535,iid,0.901129161708134,0.969208235498877,0.15488110018095283,-0.06807907379074307,0.6766169154228856
