view,total_R,years,avg_annual_R,max_dd_R,sortino,sharpe,calmar,worst_month_R,worst_month,best_month_R,n_trades,pct_days_2plus,max_simultaneous,mean_simultaneous_when_live,mean_pairwise_corr,max_pairwise_corr
excl,81.39,10.15,8.02,1.75,6.08,2.91,46.57,-1.2,2014-11-30,6.01,3171,95.8,14,5.49,0.0615,0.6325
allin,94.51,10.15,9.31,1.26,6.64,2.74,74.77,-0.97,2014-11-30,11.24,3171,96.5,15,5.7,0.0535,0.5997
