book,suffix,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
always-on (no routing),_modec2,ALL (book),team1,-0.7203250532359577,-1.351565824766697,6.569120170450369,1.0387216060477076,3.2176297080912386,-0.2238682255526751,FIT,0.76,n/a (no state read)
always-on (no routing),_modec2,ALL (book),team2,-1.0804875798539364,-2.027348737150046,9.853680255675554,1.0387216060477078,4.8264445621368575,-0.2238682255526751,FIT,0.76,n/a (no state read)
always-on (no routing),_modec2,C-trend,team1,-0.7203250532359577,-1.351565824766697,6.569120170450369,1.0387216060477076,,,,book-level,book-level
always-on (no routing),_modec2,C-trend,team2,-1.0804875798539364,-2.027348737150046,9.853680255675554,1.0387216060477078,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_modec2_routed,ALL (book),team1,1.3307857434105368,-3.9974688129077913,6.910723009394418,1.0867990856605716,5.148631948620128,0.258473659933528,ok,0.08,0.0
routed: chop RANGING + trend TRENDING,_modec2_routed,ALL (book),team2,1.996178615115805,-5.81682364461503,10.289819795608343,1.0885934850092156,7.751220688893666,0.2575308709731396,ok,0.08,0.0
routed: chop RANGING + trend TRENDING,_modec2_routed,C-trend,team1,1.3307857434105368,-3.9974688129077913,6.910723009394418,1.0867990856605716,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_modec2_routed,C-trend,team2,1.996178615115805,-5.81682364461503,10.289819795608343,1.0885934850092156,,,,book-level,book-level
chop RANGING + trend UNGATED,_modec2_tgalways,ALL (book),team1,-0.4840673454589977,-1.1388961736958338,6.370381391290168,1.0464904698143402,2.8868380989568214,-0.1676808081595981,FIT,0.4,0.0
chop RANGING + trend UNGATED,_modec2_tgalways,ALL (book),team2,-0.7261010181884965,-1.7083442605437504,9.555572086935252,1.04649046981434,4.330257148435232,-0.1676808081595981,FIT,0.4,1.0
chop RANGING + trend UNGATED,_modec2_tgalways,C-trend,team1,-0.4840673454589977,-1.1388961736958338,6.370381391290168,1.0464904698143402,,,,book-level,book-level
chop RANGING + trend UNGATED,_modec2_tgalways,C-trend,team2,-0.7261010181884965,-1.7083442605437504,9.555572086935252,1.04649046981434,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_modec2_tgnotrang,ALL (book),team1,-1.503521723223147,-2.008985310738637,8.014065367194231,1.0049691333067412,3.430900613560999,-0.4382294600083481,FIT,1.0,1.0
chop RANGING + trend NOT-RANGING,_modec2_tgnotrang,ALL (book),team2,-2.2552825848347204,-3.0134779661079554,12.021098050791338,1.0049691333067414,5.146350920341499,-0.4382294600083481,FIT,1.0,1.0
chop RANGING + trend NOT-RANGING,_modec2_tgnotrang,C-trend,team1,-1.503521723223147,-2.008985310738637,8.014065367194231,1.0049691333067412,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_modec2_tgnotrang,C-trend,team2,-2.2552825848347204,-3.0134779661079554,12.021098050791338,1.0049691333067414,,,,book-level,book-level
