target,n,eff,eff_max,t,agree_pooled,agree_dir,mono,held,pass_old,pass_dir
eff_abs,121,0.023688689321972017,0.04690028890613479,12.862093365049885,0.858913813459268,0.7488193624557261,0.9442453329548207,0.9752066115702479,11,3
signed,121,0.007577694585537365,0.04423844143025601,2.400174237967698,0.5802833530106257,0.4793388429752066,0.36293384155608666,0.33884297520661155,0,0
range_vol,121,0.14217192172135906,0.29908531374433744,20.40555708483317,0.8654073199527745,0.8096221959858323,0.742460563415243,0.9504132231404959,9,3
path_vol,121,0.17301075071325434,0.4693274900716,14.12398030132164,0.8108028335301063,0.7544273907910272,0.5940291896935909,0.8677685950413223,1,0
