,team1|ALLPASS,team1|STABLE,team1|PICKED,team1|FAMILY_CAP,team2|ALLPASS,team2|STABLE,team2|PICKED,team2|FAMILY_CAP
2016-01-04,-0.0030019221420494588,-0.003056289637990116,0.0,0.0,-0.004502883213074188,-0.004584434456985174,0.0,0.0
2016-01-05,0.005658360089932286,0.004655085491931471,-0.004259934384330563,0.0,0.008487540134898428,0.006982628237897207,-0.006389901576495845,0.0
2016-01-06,0.082103852263559,0.09770720671769438,0.2926785010546744,0.0,0.12315577839533849,0.14656081007654156,0.4390177515820116,0.0
2016-01-07,0.1378291514289304,0.07607912268469053,0.49069792248833943,0.0,0.2067437271433956,0.1141186840270358,0.7360468837325091,0.0
2016-01-08,0.06912014758905366,0.028553601659027896,6.30914863186863e-05,0.0,0.10368022138358049,0.04283040248854185,9.463722947802946e-05,0.0
2016-01-11,0.01443922631570681,0.011699642102723742,0.0452549454007489,-0.0014314026969009337,0.021658839473560215,0.017549463154085617,0.06788241810112335,-0.0021471040453514005
2016-01-12,-0.004660704062900073,-0.011316103823710514,0.08020296382758701,0.0013322188008144987,-0.00699105609435011,-0.016974155735565773,0.12030444574138052,0.001998328201221748
2016-01-13,0.09176744591756814,0.09707228092553469,0.037396051163220236,-0.01922868962098015,0.1376511688763522,0.14560842138830205,0.05609407674483036,-0.028843034431470224
2016-01-14,0.0008800591932351173,-0.0015001213035162463,0.19877865534792674,0.016692507081252247,0.001320088789852676,-0.0022501819552743696,0.29816798302189007,0.025038760621878375
2016-01-15,0.04573170736057324,0.04928929765159089,-0.27389370015519765,-0.09918272050146806,0.06859756104085986,0.07393394647738634,-0.4108405502327964,-0.1487740807522021
2016-01-18,0.012666817649615013,0.01739943540037308,-0.0011299085459769112,-0.003322817011961249,0.019000226474422517,0.02609915310055962,-0.0016948628189653668,-0.0049842255179418735
2016-01-19,-0.03000659821417163,-0.02821042975896016,0.05362470347339557,0.02679899509637701,-0.04500989732125744,-0.042315644638440245,0.08043705521009335,0.040198492644565514
2016-01-20,-0.06345313188456397,-0.07003735226981948,-0.15465606393622786,-0.01578258343439085,-0.09517969782684595,-0.10505602840472923,-0.2319840959043418,-0.023673875151586272
2016-01-21,-0.0840710336324241,-0.05898982286088136,-0.2661200085382239,0.009458760920461544,-0.12610655044863614,-0.08848473429132205,-0.39918001280733584,0.014188141380692316
2016-01-22,0.01940972542174166,0.017816270385432865,-0.05106154839382457,0.09983670892268656,0.02911458813261249,0.026724405578149302,-0.07659232259073685,0.14975506338402986
2016-01-25,-0.05305537640447823,-0.04400641831333485,-0.21550482179045977,-0.03199180797606277,-0.07958306460671734,-0.06600962747000227,-0.3232572326856897,-0.04798771196409416
2016-01-26,-0.13952990439585883,-0.14664940139313765,-0.04409661783186174,-0.04392405501803352,-0.20929485659378824,-0.21997410208970647,-0.06614492674779261,-0.06588608252705028
2016-01-27,0.19479425187972824,0.18494030132864409,-0.05095584991616877,0.0455584464554848,0.29219137781959237,0.27741045199296616,-0.07643377487425317,0.0683376696832272
2016-01-28,-0.09631075220113075,-0.08614063697945841,0.026301298457926475,-0.01183835724088112,-0.1444661283016961,-0.12921095546918762,0.03945194768688971,-0.01775753586132168
2016-01-29,0.052436958141874636,0.08879526311637369,0.08992351297123807,-0.0387416675139119,0.07865543721281196,0.13319289467456055,0.1348852694568571,-0.05811250127086785
2016-02-01,-0.12531319027642163,-0.12840245811869302,-0.07220055544804717,-0.07962209782923675,-0.1879697854146324,-0.19260368717803958,-0.10830083317207075,-0.11943314674385513
2016-02-02,-0.08962217980237208,-0.08527426979770297,-0.1778331835474157,0.028078704403889054,-0.13443326970355812,-0.12791140469655446,-0.26674977532112354,0.042118056605833586
2016-02-03,0.07715983297969185,0.06862238865528418,-0.008794897754682151,-0.02716125399408095,0.11573974946953776,0.10293358298292628,-0.013192346632023226,-0.04074188099112143
2016-02-04,0.03422831308193077,-0.04633822269237622,0.11405171081954842,0.13440655070359128,0.05134246962289615,-0.06950733403856434,0.17107756622932263,0.20160982605538694
2016-02-05,-0.26465358361451163,-0.1975420152196477,-0.3523080002313238,0.025312551089903643,-0.3969803754217674,-0.2963130228294716,-0.5284620003469858,0.037968826634855464
2016-02-08,0.13470856209012283,0.08852934489754706,-0.02489597230769797,0.06842281398759174,0.20206284313518422,0.1327940173463206,-0.03734395846154696,0.10263422098138762
2016-02-09,0.00719285169281248,-5.6816111928335564e-05,-0.11736164366818495,0.12774450251953232,0.01078927753921872,-8.522416789250335e-05,-0.17604246550227742,0.19161675377929846
2016-02-10,0.03394969977230571,-0.06461094100053845,-0.01679092827289213,0.11539971359038911,0.050924549658458565,-0.09691641150080767,-0.025186392409338197,0.17309957038558368
2016-02-11,0.207891998740793,0.20452851891674667,0.39261130589614884,-0.010521618799538673,0.31183799811118945,0.30679277837512003,0.5889169588442233,-0.015782428199308012
2016-02-12,-0.20786704307754045,-0.0719710601415714,-0.4059405514418057,-0.004356845446627013,-0.31180056461631067,-0.1079565902123571,-0.6089108271627085,-0.0065352681699405194
2016-02-15,-0.03124349368331062,0.025464321738672028,-0.1221826498555739,-0.1338597805374831,-0.04686524052496593,0.038196482608008044,-0.18327397478336083,-0.20078967080622467
2016-02-16,0.15864245477308953,0.1754161607810161,0.00012104999460161676,0.016621459606828932,0.23796368215963426,0.2631242411715242,0.00018157499190242515,0.0249321894102434
2016-02-17,0.16257645675290036,0.16758711385332747,-0.2746695034143557,-0.024984819386852646,0.24386468512935053,0.25138067077999127,-0.41200425512153355,-0.03747722908027897
2016-02-18,0.017932472947127395,0.014681149253754616,0.004011295214201968,-0.08542957663068854,0.026898709420691093,0.022021723880631925,0.006016942821302952,-0.12814436494603282
2016-02-19,-0.024734364284842825,-0.06300398780030239,-0.08567536121716764,0.027923687203681758,-0.03710154642726424,-0.09450598170045359,-0.12851304182575143,0.04188553080552264
2016-02-22,0.451280176205615,0.34232151947165956,0.17566438749358898,-0.05777443907560865,0.6769202643084224,0.5134822792074893,0.26349658124038344,-0.08666165861341298
2016-02-23,0.15093953943877028,0.1651685967994623,-0.2142981462663184,0.06397699720119497,0.2264093091581554,0.24775289519919347,-0.3214472193994776,0.09596549580179246
2016-02-24,0.1970813550914267,0.19614802243493257,0.15169318589811423,-0.013776904776517858,0.29562203263714004,0.29422203365239885,0.22753977884717133,-0.020665357164776788
2016-02-25,0.015496436795140527,-0.01126077576953166,0.39175094371987074,-0.06557683612708859,0.02324465519271079,-0.016891163654297492,0.5876264155798061,-0.09836525419063288
2016-02-26,-0.042180272180975156,-0.02819984125681897,-0.294400426641987,-0.15206280837898936,-0.06327040827146273,-0.04229976188522846,-0.44160063996298055,-0.22809421256848406
2016-02-29,0.05254224668472104,0.03888308089007032,0.06187399563187286,-0.0036372870598805293,0.07881337002708155,0.05832462133510549,0.0928109934478093,-0.005455930589820794
2016-03-01,-0.10306798103146876,-0.08040347575495015,0.28590947300461556,-0.12159163798700293,-0.15460197154720312,-0.12060521363242523,0.42886420950692333,-0.1823874569805044
2016-03-02,-0.04997696772898428,-0.06902057307970914,0.3459106668163083,0.0,-0.07496545159347641,-0.10353085961956372,0.5188660002244624,0.0
2016-03-03,-0.09716207561509584,-0.08784912691677133,-0.06405871856461971,-0.002060517652354682,-0.14574311342264373,-0.131773690375157,-0.09608807784692956,-0.0030907764785320234
2016-03-04,0.11481884404535492,0.10869329844405733,0.43807900754417056,0.05768829542967355,0.17222826606803238,0.163039947666086,0.6571185113162559,0.08653244314451033
2016-03-07,0.009730455706308521,0.012666804738177665,-0.12775300153850477,0.023723265885273737,0.01459568355946278,0.0190002071072665,-0.19162950230775716,0.03558489882791061
2016-03-08,-0.03847597773893101,-0.05680799790767056,-0.2915257789479939,-0.029157669243692372,-0.05771396660839651,-0.08521199686150585,-0.4372886684219908,-0.04373650386553856
2016-03-09,0.044577383385891935,0.07646948952804415,-0.2629870078495332,0.04440640690190654,0.06686607507883789,0.11470423429206623,-0.3944805117742998,0.06660961035285981
2016-03-10,-0.17563251053076215,-0.19955168855997302,-0.2437259433557665,-0.13491573284554145,-0.2634487657961432,-0.29932753283995955,-0.36558891503364976,-0.20237359926831217
2016-03-11,0.026119509823334643,0.0515061635859998,-0.2887540554058516,-0.03337906516163959,0.03917926473500196,0.07725924537899971,-0.43313108310877735,-0.050068597742459385
2016-03-14,-0.0807620726528966,-0.04664945984655541,-0.24667473754071523,-0.05028819625947829,-0.1211431089793449,-0.06997418976983313,-0.37001210631107284,-0.07543229438921745
2016-03-15,-0.012383589356310985,-0.018784227695651454,-0.1634437412328087,0.006148775081903112,-0.018575384034466475,-0.028176341543477184,-0.24516561184921304,0.009223162622854669
2016-03-16,0.22765496965046775,0.13004138779789354,0.20008984257073315,-0.04407314913182247,0.34148245447570164,0.19506208169684033,0.3001347638560997,-0.0661097236977337
2016-03-17,0.14134028042226776,-0.030224578093732694,0.4915568278384239,-0.0021002857607797416,0.21201042063340161,-0.04533686714059904,0.7373352417576359,-0.0031504286411696125
2016-03-18,-0.15300340270991394,-0.0759529974889649,-0.07697569557203393,-0.0612055686619554,-0.2295051040648709,-0.11392949623344738,-0.1154635433580509,-0.0918083529929331
