state,signal,lead,hit,base,lift,n_changes,sign_lift,sign_sd,iid_lift,iid_sd,excess,p_sign
product M=5,mas,1,0.09034267912772585,0.05194313820874547,1.7392610890135858,4173,1.6799234757531436,0.07009304611322068,1.6575940455582236,0.07424605512909574,0.05933761326044218,0.19672131147540983
product M=5,mas,2,0.14330218068535824,0.10388627641749094,1.379413967148706,4173,1.3804207740132481,0.040470722908539626,1.3836185718632186,0.047914170510027804,-0.004204604714512561,0.5245901639344263
product M=5,mas,3,0.18499880182123174,0.15212691205880763,1.2160820154537604,4173,1.2233453038693056,0.030652689582382268,1.2269071408734549,0.03364198345180054,-0.010825125419694492,0.5737704918032787
product M=5,mas,5,0.2568895279175653,0.24008161720988055,1.070009153149744,4173,1.0708597804699969,0.02134345430332339,1.0754974120247023,0.021072940502420867,-0.005488258874958296,0.4918032786885246
product M=5,vol,1,0.024442846872753415,0.03191719366520729,0.765820677379866,4173,0.7246414448719489,0.06226516867692601,0.771468395975972,0.07342600811549324,-0.005647718596106022,0.22950819672131148
product M=5,vol,2,0.05439731607955907,0.06383438733041458,0.8521632047315175,4173,0.8265264772951412,0.042292387525982016,0.8326455758062082,0.05096523195497529,0.019517628925309283,0.26229508196721313
product M=5,vol,3,0.08171579199616583,0.09449489216799092,0.8647641171005657,4173,0.8712640602864409,0.038774368161558485,0.8716667970443621,0.040883129428516934,-0.0069026799437964526,0.5409836065573771
product M=5,vol,5,0.15504433261442607,0.15099183827901194,1.026839161517629,4173,1.0551615080753343,0.029628725766086668,1.0382803439214434,0.03280216143175637,-0.028322346557705158,0.8032786885245902
product M=5,rng,1,0.03187155523604122,0.039470839414085725,0.8074709256035585,4173,0.8072549960549524,0.05915729468934145,0.8559926209753451,0.06910481341877066,-0.04852169537178663,0.5409836065573771
product M=5,rng,2,0.057752216630721304,0.07894167882817145,0.7315808010167578,4173,0.7033620344600671,0.0361277665810235,0.719257983196354,0.03942730552311308,0.012322817820403786,0.22950819672131148
product M=5,rng,3,0.09082195063503475,0.11715582941462624,0.7752234872889402,4173,0.729979013324299,0.03208384915623362,0.7319030106208714,0.03478617457754689,0.04332047666806882,0.08196721311475409
product M=5,rng,5,0.1763719146896717,0.1893816550456732,0.9313041152118776,4173,0.9374502509789171,0.024933604205112335,0.930216090189721,0.024017797259438114,-0.0061461357670394845,0.5245901639344263
structural M=5,mas,1,0.09110495537088335,0.05194313820874547,1.7539362948144777,3249,1.7316361979190893,0.08208236140449496,1.7255800707489999,0.09213263688876352,0.022300096895388366,0.36065573770491804
structural M=5,mas,2,0.13881194213604187,0.10388627641749094,1.3361913327049484,3249,1.3347427864037082,0.049018218437066004,1.341771652434305,0.052597832914050686,-0.005580319729356686,0.5081967213114754
structural M=5,mas,3,0.17389966143428748,0.15212691205880763,1.1431222725868726,3249,1.1407414122421433,0.03763584796828304,1.1485947417201539,0.038551908951993286,-0.005472469133281255,0.4426229508196721
structural M=5,mas,5,0.2342259156663589,0.24008161720988055,0.9756095380747015,3249,0.9600947980838275,0.02347161389657323,0.9621721630157442,0.02239834752988121,0.013437375058957368,0.26229508196721313
structural M=5,vol,1,0.02185287780855648,0.03191719366520729,0.684674161449794,3249,0.7081879939434997,0.07928077219014548,0.7466400156837111,0.07956993914561276,-0.061965854233917095,0.6557377049180327
structural M=5,vol,2,0.054786088027085254,0.06383438733041458,0.8582535263243897,3249,0.8080603659008246,0.058546186691388044,0.8236537075091438,0.04984534216984332,0.034599818815245875,0.16393442622950818
structural M=5,vol,3,0.08125577100646353,0.09449489216799092,0.8598959069873197,3249,0.8430453868027515,0.049722394229970664,0.8453070751611681,0.04367554218172195,0.01458883182615156,0.29508196721311475
structural M=5,vol,5,0.15173899661434287,0.15099183827901194,1.0049483359090594,3249,0.9818156022389046,0.03708866515535343,0.9524010056870685,0.030879819910984284,0.02313273367015478,0.26229508196721313
structural M=5,rng,1,0.028316405047706987,0.039470839414085725,0.7174006296304375,3249,0.8416776527386808,0.07794741649146728,0.9019538992812404,0.08083309409581595,-0.18455326965080288,0.9180327868852459
structural M=5,rng,2,0.04863034779932287,0.07894167882817145,0.6160288015304843,3249,0.6841762301248944,0.044251937148815985,0.6975272710332625,0.05132342489263959,-0.08149846950277817,0.9508196721311475
structural M=5,rng,3,0.07971683594952293,0.11715582941462624,0.680434224637658,3249,0.707849977583241,0.037918722362791674,0.7174928029018098,0.04085342452348053,-0.03705857826415182,0.7540983606557377
structural M=5,rng,5,0.16743613419513698,0.1893816550456732,0.8841201337835831,3249,0.9190378042739357,0.030741022939550288,0.9052688428832725,0.028109981781886072,-0.03491767049035255,0.9016393442622951
nine-box,mas,1,0.055524752475247525,0.05194313820874547,1.0689525968205562,12625,1.0559090439613235,0.03716185058160546,1.0493090903209163,0.03477902236431996,0.013043552859232754,0.2786885245901639
