budget,structure,draw,median_year_pct,total_return_pct
team1,NO_CUT,0,0.10637999832316546,-0.2715237856609652
team1,NO_CUT_SLICE_BALANCED,0,0.0,-0.004363665627994409
team1,NO_CUT,1,0.03976533991378714,0.6430676661634172
team1,NO_CUT_SLICE_BALANCED,1,0.0,-0.10969173081637126
team1,NO_CUT,2,-0.0830258923593921,-0.7558008504833129
team1,NO_CUT_SLICE_BALANCED,2,0.0,0.043966846298328394
team1,NO_CUT,3,0.08991586297770758,0.29807524084299775
team1,NO_CUT_SLICE_BALANCED,3,0.0,0.07356797920304631
team1,NO_CUT,4,0.13313841332387824,-0.07791597042926465
team1,NO_CUT_SLICE_BALANCED,4,0.0,0.08928905145103914
team1,NO_CUT,5,0.02887667926484227,-0.04350486728451333
team1,NO_CUT_SLICE_BALANCED,5,0.0,0.07990632983799084
team1,NO_CUT,6,0.18292498591102363,0.45908496717806246
team1,NO_CUT_SLICE_BALANCED,6,0.0,-0.0370223121094489
team1,NO_CUT,7,0.1481359594476489,-0.2734378861512293
team1,NO_CUT_SLICE_BALANCED,7,0.0,0.015443480855304944
team1,NO_CUT,8,0.1917844152797651,0.4277368894449193
team1,NO_CUT_SLICE_BALANCED,8,0.0,-0.03536425704277141
team1,NO_CUT,9,-0.08265917039331848,0.023143329811951316
team1,NO_CUT_SLICE_BALANCED,9,0.0,0.04771752273578901
team1,NO_CUT,10,0.06095174042507504,-0.2996305855799144
team1,NO_CUT_SLICE_BALANCED,10,0.0,0.06497142550447067
team1,NO_CUT,11,0.10749397364853315,0.13535176548309907
team1,NO_CUT_SLICE_BALANCED,11,0.0,0.09620376446048093
team1,NO_CUT,12,-0.02709682939569686,-0.38640379970217786
team1,NO_CUT_SLICE_BALANCED,12,-0.024492813844509957,-0.018802087731949857
team1,NO_CUT,13,0.0008348048928362509,0.24178327376155961
team1,NO_CUT_SLICE_BALANCED,13,0.0,0.056097791682238454
team1,NO_CUT,14,0.155520572974491,0.6175095814811689
team1,NO_CUT_SLICE_BALANCED,14,0.0008399823661035342,0.03058966396023824
team1,NO_CUT,15,0.02300249560737585,-0.22094563072845608
team1,NO_CUT_SLICE_BALANCED,15,0.0,-0.158968401125028
team1,NO_CUT,16,0.03537864633254119,0.01962422512880893
team1,NO_CUT_SLICE_BALANCED,16,0.0,-0.039364051433174764
team1,NO_CUT,17,0.11594846606822683,0.1293515783100891
team1,NO_CUT_SLICE_BALANCED,17,0.0,-0.01026785993425599
team1,NO_CUT,18,0.09869813903885094,0.3490505741508748
team1,NO_CUT_SLICE_BALANCED,18,0.0,0.041414317548638516
team1,NO_CUT,19,0.05566518584409371,-0.06229531399353026
team1,NO_CUT_SLICE_BALANCED,19,0.0,0.011358475577867705
team1,NO_CUT,20,-0.11691476430742029,-0.4937226419711719
team1,NO_CUT_SLICE_BALANCED,20,0.0,-0.02181372307183862
team1,NO_CUT,21,0.16496330178964486,0.22297015626735045
team1,NO_CUT_SLICE_BALANCED,21,0.02397992361019704,0.11039937378089626
team1,NO_CUT,22,0.1237616173110648,0.023985793133312505
team1,NO_CUT_SLICE_BALANCED,22,0.0,0.08795795400064657
team1,NO_CUT,23,0.0705568778000234,0.3852281950349373
team1,NO_CUT_SLICE_BALANCED,23,0.0,-0.0673813052280147
team1,NO_CUT,24,-0.04192186838810106,0.21352149280254185
team1,NO_CUT_SLICE_BALANCED,24,0.004909493429382733,0.04121030415480989
team2,NO_CUT,0,0.1595699974847482,-0.40728567849144776
team2,NO_CUT_SLICE_BALANCED,0,0.0,-0.0065454984419916
team2,NO_CUT,1,0.059648009870680724,0.964601499245126
team2,NO_CUT_SLICE_BALANCED,1,0.0,-0.1645375962245569
team2,NO_CUT,2,-0.12453883853908815,-1.1337012757249696
team2,NO_CUT_SLICE_BALANCED,2,0.0,0.06595026944749258
team2,NO_CUT,3,0.1348737944665613,0.44711286126449645
team2,NO_CUT_SLICE_BALANCED,3,0.0,0.11035196880456952
team2,NO_CUT,4,0.1997076199858173,-0.11687395564389702
team2,NO_CUT_SLICE_BALANCED,4,0.0,0.13393357717655874
team2,NO_CUT,5,0.0433150188972634,-0.0652573009267699
team2,NO_CUT_SLICE_BALANCED,5,0.0,0.11985949475698626
team2,NO_CUT,6,0.2743874788665355,0.6886274507670939
team2,NO_CUT_SLICE_BALANCED,6,0.0,-0.05553346816417336
team2,NO_CUT,7,0.22220393917147335,-0.41015682922684404
team2,NO_CUT_SLICE_BALANCED,7,0.0,0.023165221282957414
team2,NO_CUT,8,0.2876766229196477,0.6416053341673789
team2,NO_CUT_SLICE_BALANCED,8,0.0,-0.05304638556415711
team2,NO_CUT,9,-0.12398875558997773,0.03471499471792691
team2,NO_CUT_SLICE_BALANCED,9,0.0,0.07157628410368354
team2,NO_CUT,10,0.09142761063761254,-0.4494458783698716
team2,NO_CUT_SLICE_BALANCED,10,0.0,0.09745713825670599
team2,NO_CUT,11,0.16124096047279973,0.2030276482246488
team2,NO_CUT_SLICE_BALANCED,11,0.0,0.14430564669072138
team2,NO_CUT,12,-0.040645244093545384,-0.5796056995532669
team2,NO_CUT_SLICE_BALANCED,12,-0.03673922076676493,-0.0282031315979248
team2,NO_CUT,13,0.0012522073392543936,0.3626749106423396
team2,NO_CUT_SLICE_BALANCED,13,0.0,0.08414668752335767
team2,NO_CUT,14,0.23328085946173657,0.9262643722217532
team2,NO_CUT_SLICE_BALANCED,14,0.0012599735491552917,0.04588449594035736
team2,NO_CUT,15,0.034503743411063756,-0.3314184460926839
team2,NO_CUT_SLICE_BALANCED,15,0.0,-0.238452601687542
team2,NO_CUT,16,0.053067969498811776,0.0294363376932133
team2,NO_CUT_SLICE_BALANCED,16,0.0,-0.05904607714976212
team2,NO_CUT,17,0.17392269910234023,0.1940273674651334
team2,NO_CUT_SLICE_BALANCED,17,0.0,-0.015401789901383946
team2,NO_CUT,18,0.1480472085582764,0.5235758612263123
team2,NO_CUT_SLICE_BALANCED,18,0.0,0.06212147632295778
team2,NO_CUT,19,0.08349777876614056,-0.09344297099029542
team2,NO_CUT_SLICE_BALANCED,19,0.0,0.017037713366801585
team2,NO_CUT,20,-0.17537214646113045,-0.7405839629567578
team2,NO_CUT_SLICE_BALANCED,20,0.0,-0.032720584607757924
team2,NO_CUT,21,0.2474449526844672,0.33445523440102565
team2,NO_CUT_SLICE_BALANCED,21,0.03596988541529556,0.16559906067134436
team2,NO_CUT,22,0.18564242596659725,0.03597868969996837
team2,NO_CUT_SLICE_BALANCED,22,0.0,0.13193693100096987
team2,NO_CUT,23,0.1058353167000351,0.5778422925524059
team2,NO_CUT_SLICE_BALANCED,23,0.0,-0.10107195784202205
team2,NO_CUT,24,-0.0628828025821515,0.3202822392038129
team2,NO_CUT_SLICE_BALANCED,24,0.0073642401440741,0.061815456232214835
