date,pair,state,age,chg60,typical,rel_age,oos
1999-04-01,NZDJPY,dead (choppy+small),1.0,1.0,3.0,0.3333333333333333,False
1999-04-01,NZDUSD,dead (choppy+small),1.0,1.0,3.0,0.3333333333333333,False
1999-04-01,USDCAD,drifting (straight+small),1.0,1.0,2.5,0.4,False
1999-04-01,USDCHF,dead (choppy+small),1.0,1.0,2.0,0.5,False
1999-04-01,USDJPY,dead (choppy+small),1.0,1.0,3.0,0.3333333333333333,False
1999-04-02,AUDCAD,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,AUDCHF,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,AUDJPY,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,AUDNZD,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,AUDUSD,dead (choppy+small),2.0,1.0,2.0,1.0,False
1999-04-02,CADCHF,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,CADJPY,dead (choppy+small),2.0,1.0,2.0,1.0,False
1999-04-02,CHFJPY,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,EURAUD,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,EURCAD,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,EURCHF,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,EURGBP,volatile chop (choppy+large),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,EURJPY,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,EURNZD,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,EURUSD,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,GBPAUD,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,GBPCAD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-02,GBPCHF,dead (choppy+small),2.0,1.0,2.0,1.0,False
