pair,n,share_trending,med_trending,mean_trending,max_trending,share_ranging,med_ranging,mean_ranging,max_ranging,share_trend-in-range,med_trend-in-range,mean_trend-in-range,max_trend-in-range,share_neither,med_neither,mean_neither,max_neither,c_weak ranging,c_medium ranging,c_weak neither,c_strong trending,c_strong ranging,c_medium neither,c_medium trending,c_strong trend-in-range,c_weak trending,c_medium trend-in-range,c_weak trend-in-range,c_strong neither,trendiness
EURGBP,5976,0.22941767068273092,22.0,30.466666666666665,121,0.3892235609103079,24.0,42.29090909090909,198,0.14909638554216867,17.0,18.95744680851064,58,0.2322623828647925,20.5,25.703703703703702,82,0.15572672471533824,0.15137307434695244,0.13295378432685867,0.09896182183523108,0.09159410582719357,0.0740120562625586,0.07166778298727394,0.06630944407233758,0.06128600133958473,0.048057602143335564,0.02796383121232418,0.020093770931011386,-0.159805890227577
EURAUD,6065,0.2812860676009893,17.0,32.18867924528302,245,0.3192085737840066,26.0,37.96078431372549,170,0.19967023907666942,16.5,20.879310344827587,64,0.19983511953833472,20.0,25.25,87,0.14090084144530607,0.11532750371225871,0.10047846889952153,0.12819666721663092,0.061540999835010726,0.0650057746246494,0.08298960567563109,0.0885992410493318,0.07325523840950338,0.0861244019138756,0.023593466424682397,0.03398779079359841,-0.03792250618301729
EURNZD,6085,0.27855382087099423,30.5,36.84782608695652,147,0.32243221035332786,28.0,39.24,137,0.1666392769104355,16.5,23.045454545454547,84,0.2323746918652424,17.5,22.806451612903224,74,0.1244034885634359,0.11601118973177554,0.11683396412703637,0.11683396412703637,0.08178377488892545,0.07125226262958696,0.10185947013328946,0.0875431956557512,0.05792331742636169,0.05545499424057923,0.023366792825407275,0.04673358565081455,-0.043878389482333635
EURUSD,5970,0.3174204355108878,19.0,35.092592592592595,222,0.29547738693467335,20.5,40.09090909090909,199,0.22244556113902847,16.0,23.29824561403509,111,0.16465661641541038,17.0,23.404761904761905,115,0.1577271203486423,0.08313778075762655,0.09755279919544083,0.13007039892725444,0.052463962453905465,0.053469661414683206,0.1255447536037546,0.10911833724438484,0.0635266510224606,0.07090177673483071,0.038048944016091185,0.01843781428092524,0.02194304857621443
EURCAD,6036,0.24718356527501656,24.0,37.3,185,0.35056328694499667,21.5,42.32,227,0.21073558648111332,17.0,24.941176470588236,115,0.19151756129887343,15.0,21.81132075471698,100,0.14671750663129973,0.1263262599469496,0.09764588859416445,0.10112732095490716,0.08023872679045092,0.0606763925729443,0.09731432360742706,0.09151193633952255,0.05023209549071618,0.06631299734748011,0.04973474801061008,0.03216180371352785,-0.1033797216699801
EURCHF,6075,0.32724279835390946,28.0,44.17777777777778,167,0.348641975308642,27.5,50.42857142857143,254,0.16197530864197532,17.0,20.081632653061224,61,0.16213991769547326,19.5,27.36111111111111,111,0.1136550815351672,0.1609290067534179,0.07659364190413441,0.1467633009388898,0.07346400922418053,0.06358095865590513,0.1116784714215121,0.06769889639268654,0.06984022401581289,0.06885191895898533,0.022731016307033437,0.02421347389227475,-0.021399176954732535
EURJPY,6001,0.32894517580403265,30.0,38.705882352941174,160,0.29911681386435596,23.0,42.73809523809524,153,0.1771371438093651,20.0,22.617021276595743,56,0.1948008665222463,17.0,24.872340425531913,74,0.10571952642988161,0.14073703518425879,0.0880440220110055,0.13340003335000833,0.05586126396531599,0.07120226780056695,0.1344005336001334,0.06219776554944139,0.06369851592462898,0.06753376688344172,0.04052026013006503,0.036685009171252295,0.029828361939676695
GBPAUD,6065,0.2882110469909316,25.0,31.78181818181818,86,0.3368507831821929,33.0,51.075,153,0.18944765045342127,20.0,22.096153846153847,133,0.18549051937345423,23.0,26.162790697674417,65,0.14271572347797393,0.12687675301105428,0.09321894076885003,0.12308199967002145,0.07276027058241215,0.06731562448440852,0.09222900511466754,0.061211021283616565,0.06880052796568223,0.07589506682065665,0.04850684705494143,0.02738821976571523,-0.04863973619126133
GBPNZD,5993,0.22860003337226764,22.5,31.136363636363637,151,0.3512431169697981,21.0,32.890625,186,0.18655097613882862,16.0,22.36,73,0.2336058735191056,16.0,22.950819672131146,74,0.1576486305945224,0.13042752171008684,0.11690046760187041,0.13076152304609218,0.06462925851703406,0.0895123580494322,0.051937207748830996,0.10103540414161656,0.04425517702070808,0.06295925183700735,0.02237808951235805,0.02755511022044088,-0.12264308359753046
GBPUSD,6039,0.32174201026660043,21.0,33.5,202,0.28498095711210464,24.0,33.745098039215684,127,0.20102666004305347,15.5,20.233333333333334,106,0.19225037257824143,20.0,22.764705882352942,71,0.12692626346313174,0.11996685998342999,0.10687655343827672,0.13968516984258492,0.03827671913835957,0.07323943661971831,0.10140845070422536,0.08831814415907208,0.07257663628831815,0.07605633802816901,0.036288318144159074,0.020381110190555097,0.03676105315449579
GBPCAD,6090,0.23940886699507388,22.5,31.695652173913043,113,0.4323481116584565,37.0,51.627450980392155,217,0.18144499178981938,14.0,21.25,86,0.14679802955665025,19.0,22.35,72,0.18024975353269798,0.15724613867893525,0.08133420966151823,0.09825829773250082,0.09842260926717056,0.04124219520210319,0.08642786723627999,0.09069996713769307,0.054387117975681895,0.04896483733158068,0.037955964508708515,0.024811041735129807,-0.1929392446633826
GBPCHF,6065,0.2408903544929926,19.0,31.085106382978722,105,0.39950535861500414,32.0,47.509803921568626,300,0.17658697444352844,18.0,19.833333333333332,67,0.18301731244847486,21.0,24.130434782608695,85,0.14816036957597756,0.18627289226200297,0.09651872628279162,0.10328328658637188,0.06682065665731728,0.050321729087609304,0.08397954132981356,0.08744431611945223,0.05378650387724798,0.05741626794258373,0.034317769344992574,0.0316779409338393,-0.15861500412201154
GBPJPY,6083,0.312510274535591,26.0,38.795918367346935,217,0.35771823113595264,21.0,41.056603773584904,203,0.16455696202531644,18.0,18.88679245283019,65,0.1652145323031399,15.0,22.333333333333332,114,0.13357460108570487,0.150024675111038,0.0776443493995723,0.12633656851455832,0.07089981904918573,0.07369633163349235,0.09590393156769206,0.06547129462082579,0.09179141306135878,0.07468333607501233,0.025497614739266327,0.01447606514229314,-0.04520795660036164
AUDNZD,5896,0.3212347354138399,21.0,31.566666666666666,133,0.330393487109905,26.0,47.51219512195122,260,0.16536635006784262,14.0,16.25,43,0.1830054274084125,21.0,23.456521739130434,67,0.14205702647657842,0.1390020366598778,0.09334691106585201,0.14867617107942974,0.048200950441276307,0.062457569585879155,0.10896130346232179,0.07824168363883231,0.062457569585879155,0.043279022403258656,0.043957909029192124,0.029361846571622538,-0.009158751696065115
AUDUSD,5935,0.29587194608256107,24.0,33.76923076923077,152,0.31962931760741364,27.0,40.361702127659576,242,0.15518112889637742,14.0,18.058823529411764,71,0.22931760741364784,25.0,25.67924528301887,78,0.1304421194735066,0.1155923050961863,0.09939250759365507,0.12116098548768141,0.07948025649679379,0.10158623017212284,0.10732365845426932,0.059399257509281135,0.07070536618292271,0.060749240634492066,0.029868376645291933,0.024299696253796826,-0.023757371524852577
AUDCAD,6090,0.2799671592775041,23.0,32.78846153846154,115,0.277175697865353,22.0,35.91489361702128,196,0.20114942528735633,20.0,29.166666666666668,151,0.24170771756978654,21.0,23.0,67,0.12224778179428196,0.1000657246138679,0.12060466644758462,0.14278672362799869,0.05750903713440684,0.08166283273085771,0.0821557673348669,0.09415050936575747,0.05372987183700296,0.05931646401577391,0.0446927374301676,0.04107788366743345,0.002791461412151086
AUDCHF,5976,0.2898259705488621,24.0,31.490909090909092,193,0.31208165997322623,18.0,33.30357142857143,121,0.17653949129852745,17.0,21.53061224489796,70,0.2215528781793842,19.0,23.228070175438596,73,0.11269256530475552,0.13898191560616208,0.09075686537173476,0.13730743469524448,0.056932350971198926,0.08673811118553248,0.09176155391828533,0.07150033489618218,0.06396517079705291,0.0709979906229069,0.031982585398526456,0.04638312123241795,-0.022255689424364122
AUDJPY,6063,0.32376711199076363,20.0,31.158730158730158,125,0.27989444169553024,23.0,29.771929824561404,139,0.1891802737918522,17.0,19.116666666666667,58,0.20715817252185387,15.0,22.035087719298247,89,0.10133685426638059,0.12609341475491004,0.1051328602079551,0.16883974253177092,0.05908565769929031,0.07245420036309622,0.08780326786598448,0.08318204324145899,0.07096880673378446,0.07938603729988447,0.022280904439676515,0.023436210595807888,0.043872670295233396
NZDUSD,5962,0.31029855753102986,20.0,32.45614035087719,169,0.3134854075813485,24.0,35.94230769230769,138,0.15179469976517948,14.5,17.403846153846153,50,0.22442133512244214,18.0,24.327272727272728,70,0.12168512923799933,0.14518294729775091,0.11916750587445452,0.1456864719704599,0.04968110104061766,0.07787848271231958,0.10725075528700906,0.06109432695535415,0.05706612957368244,0.05740181268882175,0.03138637126552534,0.026518966096005372,-0.003186850050318657
NZDCAD,5988,0.2683700734802939,18.0,30.903846153846153,159,0.2845691382765531,20.5,35.5,154,0.21693386773547094,21.0,25.470588235294116,134,0.23012692050768202,19.5,27.56,91,0.12182486631016043,0.12266042780748664,0.10945855614973261,0.15324197860962566,0.04461898395721925,0.08038101604278075,0.06834893048128342,0.07954545454545454,0.048462566844919786,0.08155080213903744,0.05297459893048128,0.036931818181818184,-0.01619906479625921
NZDCHF,6090,0.2715927750410509,25.0,32.431372549019606,124,0.3362889983579639,21.5,39.38461538461539,143,0.2103448275862069,14.0,21.0,92,0.18177339901477832,20.0,20.12727272727273,54,0.12308956450287592,0.13475760065735415,0.06885784716516023,0.12769104354971242,0.07395234182415776,0.07411668036154478,0.09383730484798686,0.08594905505341002,0.05406737880032868,0.07674609695973705,0.045028759244042725,0.0419063270336894,-0.06469622331691299
NZDJPY,6051,0.3040819699223269,25.0,30.16393442622951,184,0.2956536109733928,21.0,36.51020408163265,312,0.1887291356800529,18.5,21.14814814814815,73,0.2115352834242274,16.0,21.333333333333332,94,0.13039880853880523,0.11914611947708093,0.07976170776104584,0.15058745656131062,0.04716200562634453,0.07794141982459044,0.10292900877047824,0.07727949693860665,0.05411219592917425,0.08671189806387555,0.024822108224391858,0.04914777428429588,0.008428358948934067
USDCAD,5991,0.30045067601402103,23.0,36.0,142,0.3673844099482557,21.0,40.018181818181816,190,0.15055917209147054,13.0,16.4,49,0.1816057419462527,21.0,25.904761904761905,96,0.1668615333221981,0.1601803908468348,0.09303490896943377,0.13729747786871555,0.043427426089861366,0.06597628194421246,0.10138633706363788,0.057290796726240184,0.06898279605812593,0.06113245364957408,0.02605645565391682,0.01837314180724904,-0.06693373393423468
USDCHF,6051,0.24392662369856222,18.0,26.357142857142858,114,0.3412659064617419,20.0,35.60344827586207,198,0.19319120806478268,16.0,22.056603773584907,86,0.22161626177491323,18.0,22.728813559322035,68,0.14493712772998016,0.15916611515552614,0.114162806088683,0.13550628722700198,0.042356055592322965,0.07412309728656519,0.07643944407677035,0.0771012574454004,0.030939774983454665,0.07726671078755791,0.03921244209133024,0.028788881535407016,-0.09733928276317966
