book,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
always-on (no routing),ALL (book),team1,-0.4959848781878461,-2.7705848381531397,7.9736439410715025,0.9637279955771536,3.3676325465251145,-0.1472799871528819,FIT,0.96,n/a (no state read)
always-on (no routing),ALL (book),team2,-0.7439773172817695,-4.15587725722971,11.960465911607251,0.9637279955771534,5.051448819787671,-0.147279987152882,FIT,0.96,n/a (no state read)
always-on (no routing),A-trend,team1,-1.1935601262521631,-2.716904413875552,9.559819055312662,0.8905815960366258,,,,book-level,book-level
always-on (no routing),A-trend,team2,-1.790340189378245,-4.075356620813329,14.339728582969,0.8905815960366259,,,,book-level,book-level
always-on (no routing),A-chop,team1,-0.5322552029998785,-0.8962444784778375,9.081240390095845,0.956375441450154,,,,book-level,book-level
always-on (no routing),A-chop,team2,-0.7983828044998176,-1.3443667177167564,13.621860585143768,0.956375441450154,,,,book-level,book-level
always-on (no routing),B-chop,team1,0.054236268029531,-3.6268456295673617,9.650680334964196,0.9643268423136382,,,,book-level,book-level
always-on (no routing),B-chop,team2,0.0813544020442968,-5.440268444351041,14.47602050244627,0.9643268423136384,,,,book-level,book-level
always-on (no routing),B-trend,team1,0.6322176700025219,-1.6391375137442623,5.19866671171201,1.051178017931161,,,,book-level,book-level
always-on (no routing),B-trend,team2,0.9483265050037832,-2.458706270616394,7.798000067568009,1.051178017931161,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,ALL (book),team1,-0.532834542381696,-2.269864863365854,10.7594731571823,0.9958895468023315,10.534306424198665,-0.0505808850554893,FIT,0.04,0.16
routed: chop RANGING + trend TRENDING,ALL (book),team2,-0.799251813572544,-3.4047972950487817,16.139209735773452,0.995889546802332,15.801459636297997,-0.0505808850554893,FIT,0.04,0.16
routed: chop RANGING + trend TRENDING,A-trend,team1,-1.1674464866249228,-1.6811549708369211,8.644648439973398,0.9683048295553114,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,A-trend,team2,-1.6366215161216675,-2.5217324562553816,12.854719295916698,0.969585351033438,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,A-chop,team1,0.1291895094546727,-0.0766140596117618,10.716997559807668,1.032579099605258,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,A-chop,team2,0.1937842641820094,-0.1149210894176427,16.075496339711492,1.0325790996052582,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,B-chop,team1,0.4448321848079527,-3.115501174184803,12.091945325474551,0.984247239476865,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,B-chop,team2,0.6672482772119287,-4.673251761277205,18.13791798821182,0.984247239476865,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,B-trend,team1,-0.5746209627453069,-1.770681519186844,7.139512381670127,0.9985428432490764,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,B-trend,team2,-0.8619314441179606,-2.6560222787802665,10.669138785729418,0.9985244446095044,,,,book-level,book-level
chop RANGING + trend UNGATED,ALL (book),team1,-0.5393902536409235,-2.920321867416136,7.754044456213875,0.9736906037547162,3.0720525004534034,-0.1755797642004214,FIT,0.64,0.88
chop RANGING + trend UNGATED,ALL (book),team2,-0.8090853804613851,-4.380482801124204,11.63106668432081,0.9736906037547162,4.608078750680104,-0.1755797642004214,FIT,0.64,0.88
chop RANGING + trend UNGATED,A-trend,team1,-1.1967007478085263,-2.837026460446511,9.591018962064428,0.8930687287057699,,,,book-level,book-level
chop RANGING + trend UNGATED,A-trend,team2,-1.79505112171279,-4.255539690669767,14.386528443096642,0.8930687287057701,,,,book-level,book-level
chop RANGING + trend UNGATED,A-chop,team1,0.1291895094546727,-0.0766140596117618,10.716997559807668,1.032579099605258,,,,book-level,book-level
chop RANGING + trend UNGATED,A-chop,team2,0.1937842641820094,-0.1149210894176427,16.075496339711492,1.0325790996052582,,,,book-level,book-level
chop RANGING + trend UNGATED,B-chop,team1,0.4448321848079527,-3.115501174184803,12.091945325474551,0.984247239476865,,,,book-level,book-level
chop RANGING + trend UNGATED,B-chop,team2,0.6672482772119287,-4.673251761277205,18.13791798821182,0.984247239476865,,,,book-level,book-level
chop RANGING + trend UNGATED,B-trend,team1,0.6475414128864637,-1.603722296103626,5.232251957747382,1.050870593840027,,,,book-level,book-level
chop RANGING + trend UNGATED,B-trend,team2,0.971312119329696,-2.4055834441554387,7.848377936621067,1.050870593840027,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,ALL (book),team1,-1.3156296499095896,-2.2887385277337895,10.722314128451464,0.9427093323020996,4.769517577424315,-0.2758412414993278,FIT,0.04,0.76
chop RANGING + trend NOT-RANGING,ALL (book),team2,-1.9734444748643836,-3.433107791600684,16.083471192677187,0.9427093323020996,7.154276366136472,-0.2758412414993277,FIT,0.04,0.76
chop RANGING + trend NOT-RANGING,A-trend,team1,-0.7695691752524038,-1.8319480778560475,7.8164445534555265,0.9181297053139084,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,A-trend,team2,-1.1543537628786054,-2.7479221167840717,11.724666830183288,0.9181297053139084,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,A-chop,team1,0.1291895094546727,-0.0766140596117618,10.716997559807668,1.032579099605258,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,A-chop,team2,0.1937842641820094,-0.1149210894176427,16.075496339711492,1.0325790996052582,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,B-chop,team1,0.4448321848079527,-3.115501174184803,12.091945325474551,0.984247239476865,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,B-chop,team2,0.6672482772119287,-4.673251761277205,18.13791798821182,0.984247239476865,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,B-trend,team1,0.1127698538620349,-1.3477956003074336,5.918489366485423,0.9912987811626705,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,B-trend,team2,0.1691547807930528,-2.021693400461151,8.877734049728137,0.9912987811626705,,,,book-level,book-level
