banked cw3_total_R 136.642  cw3_sortino 10429.938491523388  atr_mult 1.40
  Scorer W3, ACCT_OBJECTIVE=True  : total_R    136.642  n   46  sortino 10429.9
  Scorer W3, ACCT_OBJECTIVE=False : total_R     97.480  n   46  sortino 7440.7
  raw engine W3 (no Scorer)       : total_R     -1.101  n  148

  USDJPY  2019-09-25 -> 2019-10-01    -0.010
  AUDUSD  2020-08-04 -> 2020-08-07    -0.018
  AUDUSD  2020-08-04 -> 2020-08-07    -0.018
  GBPCAD  2017-06-07 -> 2017-06-08    -0.021
  GBPCAD  2017-06-07 -> 2017-06-08    -0.021
  NZDJPY  2020-04-27 -> 2020-04-28    -0.045
  NZDJPY  2020-04-27 -> 2020-04-28    -0.045
  GBPAUD  2017-05-31 -> 2017-06-02    -0.059
  GBPAUD  2017-05-31 -> 2017-06-02    -0.059
  GBPJPY  2016-12-30 -> 2017-01-03    -0.062
  GBPJPY  2016-12-30 -> 2017-01-03    -0.062
  EURNZD  2019-09-30 -> 2019-10-04    -0.067
  EURNZD  2019-09-30 -> 2019-10-04    -0.067
  EURUSD  2020-09-14 -> 2020-09-15    -0.069
  EURUSD  2020-09-14 -> 2020-09-15    -0.069
  CADCHF  2017-10-17 -> 2017-10-20    -0.086
  CADCHF  2017-10-17 -> 2017-10-20    -0.086
  EURCAD  2020-04-20 -> 2020-04-22    -0.094
  EURCAD  2020-04-20 -> 2020-04-22    -0.094
  EURJPY  2017-11-01 -> 2017-11-03    -0.099
  EURJPY  2017-11-01 -> 2017-11-03    -0.099
  AUDCHF  2020-07-27 -> 2020-07-29    -0.099
  AUDCHF  2020-07-27 -> 2020-07-29    -0.099
  EURUSD  2017-09-14 -> 2017-09-20    -0.100
  EURUSD  2017-09-14 -> 2017-09-20    -0.100
  CADJPY  2016-03-09 -> 2016-03-23    -0.109
  CADJPY  2016-03-09 -> 2016-03-23    -0.109
  GBPJPY  2020-04-27 -> 2020-04-28    -0.113
  GBPJPY  2020-04-27 -> 2020-04-28    -0.113
  EURJPY  2020-09-11 -> 2020-09-14    -0.125
  EURJPY  2020-09-11 -> 2020-09-14    -0.125
  AUDUSD  2020-09-09 -> 2020-09-10    -0.128
  AUDUSD  2020-09-09 -> 2020-09-10    -0.128
  USDJPY  2018-06-11 -> 2018-06-25    -0.138
  USDJPY  2018-06-11 -> 2018-06-25    -0.138
  NZDJPY  2017-01-11 -> 2017-01-16    -0.142
  NZDJPY  2017-01-11 -> 2017-01-16    -0.142
  NZDCHF  2020-04-23 -> 2020-05-01    -0.144
  NZDCHF  2020-04-23 -> 2020-05-01    -0.144
  EURJPY  2020-11-16 -> 2020-11-17    -0.162
  EURJPY  2020-11-16 -> 2020-11-17    -0.162
  CHFJPY  2020-09-11 -> 2020-09-14    -0.176
  CHFJPY  2020-09-11 -> 2020-09-14    -0.176
  NZDCHF  2020-04-17 -> 2020-04-21    -0.182
  NZDCHF  2020-04-17 -> 2020-04-21    -0.182
  EURCHF  2017-09-06 -> 2017-09-08    -0.188
  EURCHF  2017-09-06 -> 2017-09-08    -0.188
  EURNZD  2019-10-25 -> 2019-10-31    -0.189
  EURNZD  2019-10-25 -> 2019-10-31    -0.189
  CHFJPY  2017-01-26 -> 2017-01-31    -0.189
  CHFJPY  2017-01-26 -> 2017-01-31    -0.189
  GBPUSD  2016-11-21 -> 2016-11-28    -0.196
  GBPUSD  2016-11-21 -> 2016-11-28    -0.196
  AUDCAD  2020-09-09 -> 2020-09-22    -0.200
  AUDCAD  2020-09-09 -> 2020-09-22    -0.200
  AUDJPY  2020-05-14 -> 2020-05-15    -0.202
  AUDJPY  2020-05-14 -> 2020-05-15    -0.202
  EURJPY  2017-01-26 -> 2017-01-30    -0.216
  EURJPY  2017-01-26 -> 2017-01-30    -0.216
  CHFJPY  2017-01-06 -> 2017-01-09    -0.217
  CHFJPY  2017-01-06 -> 2017-01-09    -0.217
  AUDCHF  2020-05-14 -> 2020-05-15    -0.222
  AUDCHF  2020-05-14 -> 2020-05-15    -0.222
  GBPNZD  2018-02-07 -> 2018-02-09    -0.229
  GBPNZD  2018-02-07 -> 2018-02-09    -0.229
  GBPJPY  2017-01-04 -> 2017-01-05    -0.250
  GBPJPY  2017-01-04 -> 2017-01-05    -0.250
  EURJPY  2017-08-25 -> 2017-09-05    -0.263
  EURJPY  2017-08-25 -> 2017-09-05    -0.263
  CADJPY  2017-01-26 -> 2017-01-30    -0.273
  CADJPY  2017-01-26 -> 2017-01-30    -0.273
  EURJPY  2017-12-07 -> 2017-12-14    -0.281
  EURJPY  2017-12-07 -> 2017-12-14    -0.281
  EURAUD  2017-06-27 -> 2017-06-30    -0.288
  EURAUD  2017-06-27 -> 2017-06-30    -0.288
  USDJPY  2016-05-18 -> 2016-05-23    -0.294
  USDJPY  2016-05-18 -> 2016-05-23    -0.294
  AUDNZD  2016-11-15 -> 2016-11-16    -0.297
  AUDNZD  2016-11-15 -> 2016-11-16    -0.297
  CADJPY  2017-10-18 -> 2017-10-20    -0.335
  CADJPY  2017-10-18 -> 2017-10-20    -0.335
  EURJPY  2017-08-07 -> 2017-08-08    -0.349
  EURJPY  2017-08-07 -> 2017-08-08    -0.349
  NZDCAD  2020-01-23 -> 2020-01-27    -0.367
  NZDCAD  2020-01-23 -> 2020-01-27    -0.367
  EURJPY  2017-01-19 -> 2017-01-23    -0.375
  EURJPY  2017-01-19 -> 2017-01-23    -0.375
  GBPAUD  2016-12-30 -> 2017-01-03    -0.389
  GBPAUD  2016-12-30 -> 2017-01-03    -0.389
  NZDCHF  2020-05-07 -> 2020-05-13    -0.399
  NZDCHF  2020-05-07 -> 2020-05-13    -0.399
  NZDCAD  2018-12-18 -> 2018-12-19    -0.480
  NZDCAD  2018-12-18 -> 2018-12-19    -0.480
  USDCAD  2016-08-05 -> 2016-08-10    -0.500
  USDCAD  2016-08-05 -> 2016-08-10    -0.500
  NZDCHF  2017-07-13 -> 2017-07-18    -0.500
  NZDCHF  2017-07-13 -> 2017-07-18    -0.500
  AUDCAD  2018-12-18 -> 2018-12-19    -0.500
  AUDCAD  2018-12-18 -> 2018-12-19    -0.500
  AUDCAD  2020-08-28 -> 2020-09-03    -0.500
  AUDCAD  2020-08-28 -> 2020-09-03    -0.500
  GBPJPY  2020-04-30 -> 2020-05-04    -0.500
  GBPJPY  2020-04-30 -> 2020-05-04    -0.500
  NZDCAD  2020-03-13 -> 2020-03-16    -0.500
  NZDCAD  2020-03-13 -> 2020-03-16    -0.500
  EURJPY  2018-02-06 -> 2018-02-07    -0.500
  EURJPY  2018-02-06 -> 2018-02-07    -0.500
DONE
