# FIELD CONTAMINATED -- gate 2 selected the 3,485 with sight of 2016-2020; structure comparisons valid, levels not.
# l2tune.crosses_label() applies its bars to the STITCHED W2+W3 blind book and requires n_w3 >= MIN_TRADES_BLIND, so membership of this field depends on
# performance in the very years this walk-forward trades. Every structure and every null draw is drawn from the same field, so relative
# statements hold; no absolute level here is an out-of-sample number. See FIXES.md, fourth contamination.
# HEADERED 2026-09-11 by audit: this run used the CONTAMINATED field (3,485; A-trend 1,804 / A-chop 678 / B-chop 1,003), NOT the clean field gate2_cleanfield.csv (4,807; 2,960 / 930 / 917).
# The clean-field results carry the _cleanfield suffix. DO NOT QUOTE LEVELS FROM THIS FILE.
budget,structure,draw,median_year_pct,total_return_pct,members_step1,members_step2
team1,ALLPASS,0,8.222892898858767,48.706818422304345,620,575
team1,STABLE,0,7.802095268546692,29.497146567660337,441,16
team1,PICKED,0,8.536689513282465,42.18350967423755,17,37
team1,FAMILY_CAP,0,3.1665670323466024,19.89341383000286,28,26
team1,ALLPASS,1,8.227790377041401,43.40292430552934,620,575
team1,STABLE,1,7.140855104439114,27.876695431304217,441,16
team1,PICKED,1,3.5697841609892627,25.748084405590234,16,33
team1,FAMILY_CAP,1,3.9997652478552257,20.496919609576388,27,29
team1,ALLPASS,2,7.609942870933352,41.14138927764586,620,575
team1,STABLE,2,6.424607353511482,25.524238493070918,441,16
team1,PICKED,2,13.905573340105617,78.62709758281916,41,23
team1,FAMILY_CAP,2,3.291110351035332,17.200984259119032,28,30
team1,ALLPASS,3,8.302744694383378,46.51020218847006,620,575
team1,STABLE,3,6.845942727044679,27.115944508213733,441,16
team1,PICKED,3,3.853023450994307,23.746068845298787,9,29
team1,FAMILY_CAP,3,0.678112146367186,7.756304593965289,26,26
team1,ALLPASS,4,8.504950339791645,46.30686633149182,620,575
team1,STABLE,4,7.138026785159917,29.63932100197783,441,16
team1,PICKED,4,13.874515809817852,54.04018727140182,24,38
team1,FAMILY_CAP,4,3.203243276087337,17.147053428878,23,27
team1,ALLPASS,5,9.09829034410415,48.67693288702954,620,575
team1,STABLE,5,7.253048049752967,30.108237816987575,441,16
team1,PICKED,5,9.66804435368811,53.20126239574863,31,25
team1,FAMILY_CAP,5,2.3618855052596857,14.82907909721899,28,28
team1,ALLPASS,6,8.802215378622835,46.41922394836483,620,575
team1,STABLE,6,6.633386026136348,28.713256727326183,441,16
team1,PICKED,6,19.868593862432324,86.73227622224738,30,28
team1,FAMILY_CAP,6,1.7491955679792026,12.461632898951947,23,24
team1,ALLPASS,7,9.887803729408633,50.89516754147775,620,575
team1,STABLE,7,8.412513069027106,31.266458739292773,441,16
team1,PICKED,7,9.468082107095396,46.69024286745895,27,26
team1,FAMILY_CAP,7,4.374991964308323,23.592135954411354,29,27
team1,ALLPASS,8,8.24913256078218,45.7699669179014,620,575
team1,STABLE,8,6.343299467668489,26.138085843675235,441,16
team1,PICKED,8,9.611547305362363,58.821409631586484,26,42
team1,FAMILY_CAP,8,2.892400635741982,18.324877870351997,26,25
team1,ALLPASS,9,8.84996556521258,44.82678305646983,620,575
team1,STABLE,9,6.95822994724176,27.572588804640894,441,16
team1,PICKED,9,6.922205054683853,40.71099691917947,20,17
team1,FAMILY_CAP,9,5.116473411565442,27.093485507185825,27,29
team1,ALLPASS,10,7.676155243564116,43.56275862484755,620,575
team1,STABLE,10,6.563299997520557,27.49698338258625,441,16
team1,PICKED,10,1.7182719144894554,23.54052008658789,8,44
team1,FAMILY_CAP,10,3.3582975305617815,18.060517605135573,26,29
team1,ALLPASS,11,7.873766315390851,44.52567566710049,620,575
