signal,batch,ao,to,so,n_back,back_eff,against_eff,back_rank,against_rank,strong_eff,weak_eff,backers,strongest
ra_ts_bu_15_pl,trend-duration,0.714,-10.44,-0.0193,20,0.22135802400060262,0.22226067968128563,14.65,14.125,0.2206151394805833,0.2217520451313182,AUDCAD AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY EURUSD GBPCAD GBPCHF GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF GBPAUD NZDCAD NZDUSD CADJPY EURCAD CHFJPY
ts_mu_40_pl,trend-duration,0.821,-13.09,-0.02404,23,0.2209361676834638,0.2247428121485336,15.043478260869565,12.0,0.22147161468939025,0.22117990444958385,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF NZDCAD NZDUSD EURJPY NZDJPY CADCHF GBPUSD
ts_mu_60_pl,trend-duration,0.786,-12.6,-0.02321,22,0.22061237699773423,0.2252956039186973,15.409090909090908,11.166666666666666,0.2215406980886578,0.22083257297345357,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPCHF GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDJPY,EURCHF CADJPY NZDJPY CADCHF USDJPY NZDCHF NZDUSD
ts_md_90_pl,trend-duration,0.821,-11.08,-0.02013,23,0.22175665386041576,0.2209685757345547,14.173913043478262,16.0,0.22080074154429274,0.21867930065030475,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD EURUSD GBPCHF GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF NZDJPY AUDUSD CHFJPY GBPAUD NZDCHF CADJPY
ts_mu_150_ol,trend-duration,0.714,-9.88,-0.01811,20,0.22026977552209584,0.22498130087755244,15.7,11.5,0.2254279267191946,0.22056323037831888,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURGBP EURJPY EURNZD EURUSD GBPCHF GBPNZD GBPUSD NZDCAD NZDJPY NZDUSD USDCAD,NZDUSD NZDJPY CHFJPY EURCAD EURUSD USDCAD AUDUSD
ra_ts_mu_60_pl,trend-duration,0.714,-10.91,-0.0201,20,0.22049746705888018,0.22441207203559158,15.65,11.625,0.2220980526057982,0.2241901779205344,AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPJPY GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDJPY,EURCHF NZDUSD CADCHF USDJPY NZDJPY CADJPY EURCAD
ra_ts_mu_150_ol,trend-duration,0.75,-10.64,-0.01955,21,0.220354250525067,0.2254009509194185,15.80952380952381,10.571428571428571,0.22109754998603434,0.21887783839530423,AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURGBP EURNZD EURUSD GBPAUD GBPCAD GBPCHF GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD,CHFJPY NZDUSD AUDUSD EURGBP NZDJPY EURCAD GBPNZD
ra_ts_mu_180_pl,trend-duration,0.75,-8.6,-0.01574,21,0.2207011604265621,0.2243602212149332,15.380952380952381,11.857142857142858,0.22123363376714322,0.2210083127392472,AUDCAD AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPJPY NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,NZDUSD CADJPY EURCAD GBPCAD CHFJPY GBPJPY EURCHF
rb_ts_mu_75_pl,trend-duration,0.714,-10.35,-0.01895,20,0.22078729178285203,0.22368751022566202,15.2,12.75,0.21971840605416246,0.2191987629140668,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY GBPAUD GBPCHF GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCHF USDJPY,NZDJPY EURCHF GBPJPY CADCHF EURJPY AUDCHF CADJPY
ts_fl_20_pl,trend-duration,0.786,-13.33,-0.02441,22,0.220827853713853,0.22450552262626164,15.181818181818182,12.0,0.22145130729898208,0.2252067988450174,AUDCAD AUDCHF AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCAD GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,NZDCAD EURCHF GBPNZD NZDUSD CADJPY NZDJPY EURJPY
hz750_fl_20_pl,trend-duration,0.714,-11.59,-0.02134,20,0.21991538090225368,0.2258672874271579,16.2,10.25,0.21999914085335526,0.2235521081369538,AUDCAD AUDCHF AUDJPY CADCHF CADJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCAD GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDJPY,GBPNZD NZDCAD EURCHF CADJPY NZDJPY EURCAD USDCAD
ra_hz750_fl_20_pl,trend-duration,0.714,-9.58,-0.01759,20,0.22061608659329696,0.2241155231995497,15.45,12.125,0.21946339596020253,0.2221792906436558,AUDCAD AUDCHF AUDJPY CADCHF CADJPY EURCAD EURCHF EURJPY EURNZD EURUSD GBPAUD GBPCAD GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDJPY,CADJPY GBPNZD EURCHF EURCAD NZDUSD GBPCAD EURJPY
ts_dd0.02_oh,trend-duration,0.821,13.13,0.02456,23,0.22303178195359913,0.21510298650591114,13.08695652173913,21.0,0.2223042890985686,0.22103382142941636,AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD EURUSD GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,USDCAD AUDJPY NZDUSD GBPAUD CADJPY CADCHF GBPNZD
ts_dd0.03_oh,trend-duration,0.786,12.84,0.02401,22,0.22314982936546465,0.21599161190368554,13.0,20.0,0.2223042890985686,0.22103382142941636,AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,USDCAD AUDJPY NZDUSD GBPAUD CADJPY CADCHF GBPNZD
ts_dd0.05_oh,trend-duration,0.75,11.88,0.0222,21,0.22320916346405845,0.21683621210244414,13.0,19.0,0.22230428909856856,0.22183760697414653,AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY EURAUD EURCAD EURCHF EURNZD EURUSD GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,USDCAD NZDUSD GBPAUD CADJPY AUDJPY CADCHF GBPNZD
oc120_fl_8_pl,trend-duration,0.679,11.43,0.02108,19,0.21978472971616048,0.2254817836505875,16.31578947368421,10.666666666666666,0.2205048812760566,0.22588498053599484,AUDCAD AUDJPY AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPCAD GBPJPY GBPNZD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD,GBPNZD EURCHF NZDJPY GBPCHF NZDCAD EURNZD AUDUSD
zb_oc750_fl_1_pl,trend-duration,0.857,13.66,0.0247,24,0.22121996465789293,0.22399169141822675,14.875,12.25,0.2188826264996238,0.2215255913195621,AUDCAD AUDCHF AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCHF USDJPY,EURCHF EURNZD CHFJPY NZDCHF NZDCAD EURAUD NZDJPY
zb_ep750_fl_8_pl,trend-duration,0.857,13.29,0.02397,24,0.22060224890895297,0.22769798591186635,15.583333333333334,8.0,0.22043601211247824,0.22603315344714794,AUDCAD AUDCHF AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPCHF GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF USDJPY,EURCHF NZDUSD EURAUD GBPCHF NZDJPY NZDCHF EURNZD
zb_oc750_mu_20_pl,trend-duration,0.857,14.83,0.02721,24,0.21981807560801248,0.2324030257175093,16.208333333333332,4.25,0.21724026352405787,0.22507567539318854,AUDCAD AUDCHF AUDJPY CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,EURCHF NZDCHF CADCHF EURNZD NZDCAD GBPNZD NZDJPY
zb_ep750_mu_20_pl,trend-duration,0.857,14.83,0.02721,24,0.21981807560801248,0.2324030257175093,16.208333333333332,4.25,0.21724026352405787,0.22507567539318854,AUDCAD AUDCHF AUDJPY CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCAD USDCHF,EURCHF NZDCHF CADCHF EURNZD NZDCAD GBPNZD NZDJPY
ra_oc750_fl_1_pl,trend-duration,0.857,13.59,0.02444,24,0.22035424519186594,0.2291860082143886,15.833333333333334,6.5,0.22026370546708707,0.2231753800219843,AUDCAD AUDCHF AUDJPY AUDNZD AUDUSD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURGBP EURJPY EURNZD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDCHF,EURCHF NZDCAD NZDJPY EURNZD GBPCHF NZDUSD CADCHF
rb_oc750_mu_20_pl,trend-duration,0.821,14.84,0.02735,23,0.22076289581025585,0.22553986276529056,15.347826086956522,10.6,0.21796457797029128,0.22382022251982076,AUDCAD AUDCHF AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDJPY,CADCHF NZDCAD GBPNZD EURNZD EURCHF GBPCAD NZDJPY
rb_ep750_mu_20_pl,trend-duration,0.821,14.84,0.02735,23,0.22076289581025585,0.22553986276529056,15.347826086956522,10.6,0.21796457797029128,0.22382022251982076,AUDCAD AUDCHF AUDJPY AUDNZD CADCHF CADJPY CHFJPY EURAUD EURCAD EURCHF EURJPY EURNZD GBPAUD GBPCAD GBPCHF GBPJPY GBPNZD GBPUSD NZDCAD NZDCHF NZDJPY NZDUSD USDJPY,CADCHF NZDCAD GBPNZD EURNZD EURCHF GBPCAD NZDJPY
