basis,classifier,null,real,surrogate,sd,p,corrected,prop,bar_gap,ep_gap,ci_lo,ci_hi
episode,structural M=5,sign,0.23323035379830012,0.23060604536186383,0.035353540658182615,0.45901639344262296,0.0026243084364362956,,,,,
episode,product M=5,sign,0.29866880157682496,0.30708898197741136,0.03512091853943099,0.5573770491803278,-0.008420180400586397,,,,,
episode,grid,sign,0.351896081304016,0.4195106427855267,0.01877329220372204,1.0,-0.06761456148151068,,,,,
episode,structural M=5,iid,0.23323035379830012,0.2210093058350672,0.03077245076371371,0.3442622950819672,0.012221047963232923,,,,,
episode,product M=5,iid,0.29866880157682496,0.2898846259415052,0.03616346026033947,0.3114754098360656,0.008784175635319746,,,,,
episode,grid,iid,0.351896081304016,0.4185045181301919,0.02138477852357234,1.0,-0.0666084368261759,,,,,
per_property,structural M=5,,,,,,,autocorr,0.08510382171417216,0.15429041930053933,0.06011412792641818,0.30685410700717924
per_property,structural M=5,,,,,,,dir_changes,0.0758888016427164,0.08748545217998156,0.01397158729479048,0.20992455032251056
per_property,structural M=5,,,,,,,mean_crossings,0.5899355763809353,0.6148103439997807,0.5430209785020141,0.7115841877439766
per_property,structural M=5,,,,,,,run_length,0.06849235519670684,0.07633519971289884,0.012231333966090756,0.2040747069067214
per_property,structural M=5,,,,,,,realised_vol,0.12720800591268316,0.20419177751813614,0.04672545177358375,0.4169789372396293
per_property,structural M=5,,,,,,,avg_abs_move,0.14237333111042888,0.20991115238264796,0.047981322255077334,0.4179907867435541
per_property,product M=5,,,,,,,autocorr,0.15984447864690432,0.14911018175035815,0.11024011378011646,0.37399307279507077
per_property,product M=5,,,,,,,dir_changes,0.21690609256579174,0.19547819051872198,0.12859996209370927,0.35475469509262053
per_property,product M=5,,,,,,,mean_crossings,0.6428210421398749,0.6786087297935202,0.6061241251562974,0.8228899619834715
per_property,product M=5,,,,,,,run_length,0.17035190904726344,0.17147810424469948,0.12264825529440945,0.3378309861868416
per_property,product M=5,,,,,,,realised_vol,0.7753981839066983,0.7660190721889143,0.5925184585598803,1.0391498202261813
per_property,product M=5,,,,,,,avg_abs_move,0.8769245888481544,0.8419866867559332,0.6725941680932443,1.0982768262350024
per_property,grid,,,,,,,autocorr,0.09313605437731286,0.08632904735227852,0.06508757348647717,0.24036398838074974
per_property,grid,,,,,,,dir_changes,0.293059687020061,0.18208726371424136,0.13461037562707281,0.33172297597603967
per_property,grid,,,,,,,mean_crossings,1.1335855770433623,0.9532453913030295,0.8781453457143444,1.0317996780629637
per_property,grid,,,,,,,run_length,0.31284652515964034,0.18592262284651465,0.11786854837883372,0.3516038564236226
per_property,grid,,,,,,,realised_vol,0.8849808021005433,0.7547513773777785,0.6083874473162941,0.8986090696781093
per_property,grid,,,,,,,avg_abs_move,0.9786433218346112,0.8371771322085635,0.7001035171477248,0.9969357470294705
