c1,c2,vol,base,exit_ind,slice,mode,crosses_label,n_blind,expectancy_R,total_R,profit_factor,sharpe,sortino,max_dd_R,calmar,n_w2,n_w3,risk_atr_len,risk_atr_mult,risk_be_pct,risk_tp_mult,risk_trail_arm,risk_trail_mult,ip2,w3_n,w3_expectancy_R,w3_total_R,w3_profit_factor,w3_sharpe,w3_sortino,w3_max_dd_R,w3_ulcer_R,w3_calmar,w3_win_rate,PARTIAL_DIAGNOSTIC
coral_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,rma_baseline,adx_dmi_exit,trend,B,True,354,0.1824300853223255,64.58025020410322,1.6787997856219474,0.8621497581506201,19.067284841775308,9.678162134748806,6.672780359013833,168,186,2,1.0,0.1,1.25,1.35,1.35,"{""base"": {""ma_length"": 25}, ""c1"": {""const_d"": 3, ""smooth_period"": 10}, ""c2"": {""s1"": 43, ""s2"": 11, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 6}}",186,0.02029953908598681,3.775714269993547,1.0943458884023842,0.5939052723262738,2.102584681202396,9.678162134748806,5.225515463784729,0.390127197439387,0.3709677419354839,"W3 only -- provisional, NOT mode B stitched score"
donchian_breakout_signals,dpo_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,True,536,0.0815082607884793,43.688427782624935,1.3419224023541214,1.7919731179628606,8.313915688241938,15.36759345685485,2.8428932549056554,378,158,3,1.0,0.01,2.3,1.0,1.5,"{""base"": {""length"": 28}, ""c1"": {""length"": 11}, ""c2"": {""len"": 500}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 16}}",158,0.08695197422414654,13.738411927415152,1.3652120825834593,1.894482291859691,8.216400506300625,8.227331480806471,4.162867098039669,1.6698502982972634,0.36075949367088606,"W3 only -- provisional, NOT mode B stitched score"
dpo_signals,parabolic_sar_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,350,0.0990700351629229,34.674512307023015,1.3653137539171216,1.7024308636965193,10.20898394928627,8.687304965485353,3.991400376156333,190,160,4,1.0,0.05,2.5,1.0,1.8,"{""base"": {""length"": 37}, ""c1"": {""len"": 142}, ""c2"": {""sar_increment"": 0.002, ""sar_maximum"": 0.046203, ""sar_start"": 0.131587}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 10}}",160,0.048827587163228804,7.812413946116608,1.181433703594333,1.0533634725429037,5.831003433226558,8.545044300696077,3.7203546349895134,0.914262544604972,0.2875,"W3 only -- provisional, NOT mode B stitched score"
dpo_signals,supertrend_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,394,0.1769248604308005,69.70839500973543,1.5483438743124436,0.8912173287145272,15.265393176893744,13.924933176336037,5.006012892628995,242,152,4,1.0,0.01,2.95,1.0,1.8,"{""base"": {""length"": 37}, ""c1"": {""len"": 500}, ""c2"": {""atr_period"": 8, ""factor"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}",152,0.037090055378157884,5.637688417479998,1.1456412795977844,0.805810977608912,3.7699193563852105,13.924933176336037,6.764969037818577,0.40486287051349434,0.3026315789473684,"W3 only -- provisional, NOT mode B stitched score"
dpo_signals,supertrend_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,True,694,0.1932739308435943,134.13210800545443,1.6088325389288096,1.0960050127743075,12.45193931824129,9.910213084865076,13.534735010925406,564,130,3,1.0,0.17,2.35,1.1,1.5,"{""base"": {""length"": 28}, ""c1"": {""len"": 500}, ""c2"": {""atr_period"": 8, ""factor"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 11}}",130,0.04010721034842428,5.2139373452951565,1.1683197131762417,0.9281680211743177,3.708824215869067,6.117764269649118,2.4746109766238136,0.8522618910248073,0.3076923076923077,"W3 only -- provisional, NOT mode B stitched score"
dspo_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,442,0.152113345012111,67.23409849535307,1.691391557098996,3.170375613067924,24.274318673039513,14.843952464299704,4.529393276962706,326,116,10,1.0,0.01,2.3,1.6,1.9,"{""base"": {""length"": 37}, ""c1"": {""len"": 5}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 12}}",116,0.21702518374272312,25.17492131415588,1.875426901156333,3.888858794244925,33.876790154179425,5.7092718917238585,2.0515577103322125,4.40948019144952,0.41379310344827586,"W3 only -- provisional, NOT mode B stitched score"
ehlers_reverse_ema_signals,fisher_transform_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,636,0.0824696227951447,52.450680097712066,1.2908873277106547,1.5154550464494572,8.74335090171198,22.171501497077735,2.365680109875518,364,272,4,1.0,0.05,2.75,1.15,0.5,"{""base"": {""length"": 25}, ""c1"": {""alpha"": 0.035112}, ""c2"": {""length"": 19}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 5, ""roc_len"": 12}}",272,0.04523846489863989,12.30486245243005,1.1654842649254358,0.9465651852635504,5.046700827578006,22.171501497077735,11.125289128599618,0.5549855274371862,0.3088235294117647,"W3 only -- provisional, NOT mode B stitched score"
ehlers_reverse_ema_signals,fisher_transform_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,True,354,0.2087235662431856,73.88814245008771,1.6591912819886223,0.9545385018162216,14.887823387973192,14.312969019968593,5.1623211331627585,252,102,21,1.0,0.19,1.75,1.0,0.75,"{""base"": {""length"": 12}, ""c1"": {""alpha"": 0.1}, ""c2"": {""length"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 37, ""hline"": 0, ""lookback"": 16}}",102,0.04083110391691535,4.1647725995253655,1.1646969596304761,0.8919095369898301,3.734000689967916,10.701790209056131,3.8389771468308362,0.3891659729977726,0.3235294117647059,"W3 only -- provisional, NOT mode B stitched score"
ehlers_reverse_ema_signals,halftrend_signals,volatility_ratio_volume_signals,sma_baseline,adx_dmi_exit,trend,B,True,444,0.1789730206199349,79.46402115525113,1.600371097032273,1.1595706678707312,20.06249498429301,12.496898241485582,6.358699544456302,246,198,4,1.0,0.01,1.7,1.0,1.0,"{""base"": {""length"": 37}, ""c1"": {""alpha"": 0.1}, ""c2"": {""amplitude"": 62}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 26}}",198,0.05320858971914838,10.53530076439138,1.2182374147815134,1.3295049660550262,5.367730600700943,7.498684826647585,2.6441693114441702,1.4049531361756626,0.37373737373737376,"W3 only -- provisional, NOT mode B stitched score"
ehlers_reverse_ema_signals,kase_peak_oscillator_signals,variance_volume_signals,frama_baseline,adx_dmi_exit,trend,B,True,842,0.0894610356480588,75.32619201566558,1.3659804544813776,0.7503733756671254,7.716567230734913,21.78925119282816,3.4570344501080825,520,322,2,1.0,0.01,2.7,1.1,1.6,"{""base"": {""length"": 5}, ""c1"": {""alpha"": 0.657933}, ""c2"": {""long_cycle"": 15, ""sharpness"": 40, ""short_cycle"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 20}}",322,0.036414569345675385,11.725491329307474,1.1720143463997452,0.9378848884416255,3.4284582655176807,18.386330594189964,8.925735508066817,0.637728733813407,0.3105590062111801,"W3 only -- provisional, NOT mode B stitched score"
