mode,slice,slot,option,combos,eligible,survivors,eligibility_rate_pct,survival_rate_pct,base_rate_pct,enrichment,enrichment_uncond
A,chop,base,alma_baseline,18252,14567,778,79.81043173350865,5.3408388824054365,3.0942773093621163,1.7260375682056912,2.0622018024385933
A,chop,base,rma_baseline,18252,10206,541,55.917159763313606,5.300803448951597,3.0942773093621163,1.7130990273280824,1.4339989397420037
A,chop,base,fantail_vma,18252,12857,650,70.44159544159544,5.055611729019211,3.0942773093621163,1.6338586440597411,1.7229192436826293
A,chop,base,vidya,18252,14184,687,77.7120315581854,4.843485617597293,3.0942773093621163,1.5653043128819553,1.820993108323025
A,chop,base,hma_baseline,18252,14164,627,77.60245452553144,4.4267156170573285,3.0942773093621163,1.430613734478082,1.661954408906167
A,chop,base,mcginley_dynamic_index,18252,10566,377,57.88954635108481,3.568048457315919,3.0942773093621163,1.1531120518902265,0.9992931613359249
A,chop,base,ema_baseline,18252,10924,373,59.85097523559062,3.4145001830831196,3.0942773093621163,1.103488744448382,0.988690581374801
A,chop,base,super_smoother_2pole_baseline,18252,13952,389,76.44093797939952,2.7881307339449544,3.0942773093621163,0.9010603947839846,1.0311009012192967
A,chop,base,frama_baseline,18252,13610,352,74.56717072101688,2.5863335782512857,3.0942773093621163,0.8358441470084196,0.9330270365789008
A,chop,base,wma_baseline,18252,11117,191,60.908393600701295,1.718089412611316,3.0942773093621163,0.5552473940887668,0.5062731931436649
A,chop,base,sma_baseline,18252,9708,161,53.18869165023011,1.658426040379069,3.0942773093621163,0.5359655501338866,0.42675384343523587
A,chop,base,lsma_baseline,18252,14015,211,76.78610563225948,1.5055297895112378,3.0942773093621163,0.48655296180341445,0.5592860929492843
A,chop,base,tma_baseline,18252,9082,93,49.7589305281613,1.024003523452984,3.0942773093621163,0.3309346322499071,0.24650998409613004
A,chop,base,kama_baseline,18252,12179,118,66.72693403462634,0.9688808604975778,3.0942773093621163,0.3131202421858279,0.3127761088531542
A,chop,base,t3_baseline,18252,11755,111,64.40390094236248,0.9442790301999149,3.0942773093621163,0.3051694905763238,0.29422159392118746
A,chop,c1,adx_dmi_signals,7020,1581,224,22.521367521367523,14.168247944339027,3.0942773093621163,4.578855263382907,1.543735642339636
A,chop,c1,polychromatic_momentum_signals,7020,4889,692,69.64387464387464,14.154223767641644,3.0942773093621163,4.57432296866745,4.769040466513518
A,chop,c1,dspo_signals,7020,4911,633,69.95726495726495,12.889431887599267,3.0942773093621163,4.165571019960204,4.362431525004418
A,chop,c1,aroon_signals,7020,4892,404,69.68660968660969,8.258381030253476,3.0942773093621163,2.668920786532845,2.784237497791129
A,chop,c1,supertrend_signals,7020,4695,330,66.88034188034187,7.0287539936102235,3.0942773093621163,2.271533314853153,2.2742534016610705
A,chop,c1,bears_bulls_impulse_signals,7020,5189,301,73.91737891737891,5.800732318365774,3.0942773093621163,1.8746646594391991,2.074394769393886
A,chop,c1,donchian_breakout_signals,7020,4743,235,67.56410256410257,4.954670040059034,3.0942773093621163,1.6012365876413441,1.6195440890616717
A,chop,c1,halftrend_signals,7020,4276,187,60.91168091168091,4.373246024321796,3.0942773093621163,1.413333579084849,1.2887435942746068
A,chop,c1,price_momentum_oscillator_signals,7020,4666,196,66.46723646723646,4.200600085726532,3.0942773093621163,1.3575383411878117,1.3507686870471813
