mode,slice,slot,option,combos,eligible,survivors,eligibility_rate_pct,survival_rate_pct,base_rate_pct,enrichment,enrichment_uncond
A,chop,c1,schaff_trend_cycle_signals,7020,4569,185,65.08547008547009,4.049026045086452,3.0942773093621163,1.3085530611091727,1.2749602403251457
A,chop,c1,ichimoku_signals,7020,3982,139,56.72364672364672,3.490708186840784,3.0942773093621163,1.1281174367530722,0.957943099487542
A,chop,c1,center_of_gravity_signals,7020,5084,158,72.42165242165242,3.107789142407553,3.0942773093621163,1.0043667169081953,1.0888849620074217
A,chop,c1,laguerre_filter_signals,7020,4651,139,66.25356125356126,2.9886046011610405,3.0942773093621163,0.9658489858419121,0.957943099487542
A,chop,c1,kuskus_starlight_signals,7020,5065,146,72.15099715099716,2.882527147087858,3.0942773093621163,0.9315671670300583,1.0061848383106555
A,chop,c1,dpo_signals,7020,5003,133,71.26780626780626,2.658404957025785,3.0942773093621163,0.8591359762689833,0.9165930376391589
A,chop,c1,ehlers_reverse_ema_signals,7020,5117,134,72.89173789173789,2.6187219073675982,3.0942773093621163,0.8463113178138021,0.9234847146138893
A,chop,c1,chandelier_exit_signals,7020,4804,123,68.43304843304843,2.5603663613655288,3.0942773093621163,0.8274521335301221,0.8476762678918537
A,chop,c1,hieken_ashi_smoothed_signals,7020,5088,127,72.47863247863248,2.4960691823899372,3.0942773093621163,0.8066727487021842,0.8752429757907757
A,chop,c1,volatility_quality_signals,7020,4992,120,71.11111111111111,2.403846153846154,3.0942773093621163,0.7768683648918673,0.8270012369676621
A,chop,c1,mama_fama_signals,7020,5069,113,72.20797720797721,2.229236535805879,3.0942773093621163,0.7204385104919491,0.7787594981445485
A,chop,c1,waddah_attar_explosion_signals,7020,2857,60,40.6980056980057,2.1001050052502626,3.0942773093621163,0.678706138876479,0.4135006184838311
A,chop,c1,lemantrend_signals,7020,2644,50,37.66381766381766,1.8910741301059002,3.0942773093621163,0.6111521176153873,0.34458384873652587
A,chop,c1,linreg_slope_signals,7020,4872,92,69.4017094017094,1.8883415435139574,3.0942773093621163,0.6102690078231023,0.6340342816752076
A,chop,c1,j_tpo_signals,7020,4474,75,63.732193732193736,1.676352257487707,3.0942773093621163,0.5417588954990223,0.5168757731047888
A,chop,c1,kase_peak_oscillator_signals,7020,5126,82,73.01994301994301,1.5996878657822864,3.0942773093621163,0.5169827089971006,0.5651175119279025
A,chop,c1,ssl_channel_signals,7020,4956,75,70.5982905982906,1.513317191283293,3.0942773093621163,0.48906967281328206,0.5168757731047888
A,chop,c1,trend_direction_force_index_signals,7020,4423,64,63.00569800569801,1.4469816866380285,3.0942773093621163,0.467631547521616,0.4410673263827531
A,chop,c1,coppock_curve_signals,7020,5106,56,72.73504273504274,1.0967489228358793,3.0942773093621163,0.35444428963025737,0.385933910584909
A,chop,c1,kalman_filter_signals,7020,4916,53,70.02849002849003,1.078112286411717,3.0942773093621163,0.34842135291163323,0.3652588796607174
A,chop,c1,didi_index_signals,7020,5154,49,73.41880341880342,0.9507178890182383,3.0942773093621163,0.3072503831966593,0.33769217176179533
A,chop,c1,fx_sniper_ergodic_cci_signals,7020,4845,45,69.01709401709402,0.9287925696594427,3.0942773093621163,0.30016461900465957,0.31012546386287326
A,chop,c1,qqe_mod_signals,7020,5142,47,73.24786324786325,0.9140412290937379,3.0942773093621163,0.2953973214773588,0.3239088178123343
A,chop,c1,coral_signals,7020,5074,41,72.27920227920228,0.8080409932991722,3.0942773093621163,0.26114045785565015,0.28255875596395125
A,chop,c1,vortex_signals,7020,5234,38,74.55840455840456,0.7260221627818112,3.0942773093621163,0.23463383859783413,0.26188372503975965
A,chop,c1,glitch_index_signals,7020,4328,29,61.65242165242165,0.6700554528650646,3.0942773093621163,0.21654667176653158,0.199858632267185
A,chop,c1,parabolic_sar_signals,7020,4983,29,70.98290598290598,0.5819787276740919,3.0942773093621163,0.18808227882912879,0.199858632267185
A,chop,c1,rex_oscillator_signals,7020,5187,25,73.88888888888889,0.4819741661846925,3.0942773093621163,0.15576308068007363,0.17229192436826293
A,chop,c1,fisher_transform_signals,7020,5273,22,75.11396011396012,0.41721979897591505,3.0942773093621163,0.134835943020868,0.15161689344407137
A,chop,c1,relative_vigor_index_signals,7020,5026,8,71.5954415954416,0.15917230401910068,3.0942773093621163,0.05144086586470621,0.055133415797844136
A,chop,c2,bears_bulls_impulse_signals,7020,3681,421,52.43589743589744,11.437109481119261,3.0942773093621163,3.6962134733415395,2.901396006361548
A,chop,c2,adx_dmi_signals,7020,1786,159,25.441595441595442,8.902575587905934,3.0942773093621163,2.8771098055659388,1.0957766389821522
A,chop,c2,fx_sniper_ergodic_cci_signals,7020,5012,398,71.3960113960114,7.940941739824421,3.0942773093621163,2.566331632849495,2.7428874359427455
A,chop,c2,parabolic_sar_signals,7020,5248,367,74.75783475783476,6.993140243902439,3.0942773093621163,2.2600237615238408,2.5292454497261
A,chop,c2,trend_direction_force_index_signals,7020,2769,187,39.44444444444444,6.753340556157457,3.0942773093621163,2.1825259603347105,1.2887435942746068
A,chop,c2,dpo_signals,7020,5045,275,71.86609686609687,5.450941526263628,3.0942773093621163,1.7616202367419151,1.895211168050892
A,chop,c2,linreg_slope_signals,7020,4243,225,60.44159544159544,5.302851755833137,3.0942773093621163,1.7137609934923115,1.5506273193143663
A,chop,c2,ichimoku_signals,7020,4046,173,57.635327635327634,4.275827978250123,3.0942773093621163,1.381850283849182,1.1922601166283795
A,chop,c2,hieken_ashi_smoothed_signals,7020,4993,188,71.12535612535612,3.7652713799319044,3.0942773093621163,1.216850011645567,1.2956352712493373
A,chop,c2,schaff_trend_cycle_signals,7020,5209,187,74.2022792022792,3.589940487617585,3.0942773093621163,1.1601870578166278,1.2887435942746068
A,chop,c2,kase_peak_oscillator_signals,7020,4990,175,71.08262108262109,3.5070140280561124,3.0942773093621163,1.1333871135095779,1.2060434705778404
A,chop,c2,center_of_gravity_signals,7020,5085,178,72.43589743589743,3.5004916420845626,3.0942773093621163,1.1312792268144147,1.226718501502032
A,chop,c2,waddah_attar_explosion_signals,7020,4363,151,62.15099715099715,3.460921384368554,3.0942773093621163,1.1184910201477776,1.0406432231843081
A,chop,c2,rex_oscillator_signals,7020,5163,178,73.54700854700855,3.4476079798566728,3.0942773093621163,1.1141884308253533,1.226718501502032
A,chop,c2,supertrend_signals,7020,4917,163,70.04273504273505,3.3150294895261343,3.0942773093621163,1.0713420802641396,1.1233433468810743
A,chop,c2,price_momentum_oscillator_signals,7020,4423,136,63.00569800569801,3.07483608410581,3.0942773093621163,0.9937170384834338,0.9372680685633503
A,chop,c2,lemantrend_signals,7020,4091,120,58.27635327635328,2.9332681495966755,3.0942773093621163,0.94796550416529,0.8270012369676621
A,chop,c2,dspo_signals,7020,4548,130,64.78632478632478,2.8583992963940195,3.0942773093621163,0.9237695948406373,0.8959180067149672
A,chop,c2,fisher_transform_signals,7020,5351,152,76.22507122507122,2.840590543823584,3.0942773093621163,0.9180142113407316,1.0475349001590386
A,chop,c2,relative_vigor_index_signals,7020,4773,120,67.99145299145299,2.51414204902577,3.0942773093621163,0.8125134878567362,0.8270012369676621
A,chop,c2,ssl_channel_signals,7020,5333,123,75.96866096866097,2.306394149634352,3.0942773093621163,0.7453740951582049,0.8476762678918537
A,chop,c2,donchian_breakout_signals,7020,4906,113,69.88603988603988,2.303302079086832,3.0942773093621163,0.744374808333406,0.7787594981445485
A,chop,c2,halftrend_signals,7020,5040,114,71.7948717948718,2.261904761904762,3.0942773093621163,0.7309961376315856,0.7856511751192791
A,chop,c2,volatility_quality_signals,7020,5284,114,75.27065527065527,2.157456472369417,3.0942773093621163,0.6972408277182421,0.7856511751192791
A,chop,c2,aroon_signals,7020,4964,96,70.71225071225071,1.9339242546333604,3.0942773093621163,0.6250003025850446,0.6616009895741296
A,chop,c2,glitch_index_signals,7020,2892,55,41.1965811965812,1.9017980636237897,3.0942773093621163,0.614617848849444,0.37904223361017847
A,chop,c2,kuskus_starlight_signals,7020,5168,97,73.61823361823362,1.876934984520124,3.0942773093621163,0.6065826675719163,0.6684926665488602
A,chop,c2,coppock_curve_signals,7020,5091,94,72.52136752136752,1.8463956000785702,3.0942773093621163,0.5967130336030559,0.6478176356246687
A,chop,c2,qqe_mod_signals,7020,5102,94,72.67806267806267,1.8424147393179144,3.0942773093621163,0.595426510010419,0.6478176356246687
A,chop,c2,polychromatic_momentum_signals,7020,4889,88,69.64387464387464,1.799959091838822,3.0942773093621163,0.5817058110444155,0.6064675737762855
A,chop,c2,mama_fama_signals,7020,4963,80,70.6980056980057,1.6119282691920211,3.0942773093621163,0.5209385287850362,0.5513341579784414
A,chop,c2,vortex_signals,7020,5253,81,74.82905982905983,1.5419760137064535,3.0942773093621163,0.4983315519397746,0.5582258349531719
A,chop,c2,laguerre_filter_signals,7020,4535,66,64.60113960113961,1.4553472987872107,3.0942773093621163,0.4703351229651843,0.4548506803322141
A,chop,c2,didi_index_signals,7020,5110,69,72.79202279202279,1.350293542074364,3.0942773093621163,0.43638413984062935,0.4755257112564057
A,chop,c2,chandelier_exit_signals,7020,4941,65,70.38461538461539,1.3155231734466708,3.0942773093621163,0.42514714808087617,0.4479590033574836
A,chop,c2,coral_signals,7020,5228,65,74.47293447293447,1.2433052792654935,3.0942773093621163,0.4018079683755947,0.4479590033574836
A,chop,c2,kalman_filter_signals,7020,4848,59,69.05982905982906,1.216996699669967,3.0942773093621163,0.39330563423898496,0.40660894150910054
A,chop,c2,ehlers_reverse_ema_signals,7020,5071,60,72.23646723646723,1.1831985801617038,3.0942773093621163,0.3823828512660423,0.4135006184838311
A,chop,c2,j_tpo_signals,7020,4532,43,64.55840455840456,0.9488084730803178,3.0942773093621163,0.30663330342422157,0.2963421099134122
A,chop,exit_ind,adx_dmi_exit,273780,182886,5659,66.8003506465045,3.0942773093621163,3.0942773093621163,1.0,1.0
A,chop,vol,williams_vix_fix_volume_signals,22815,130,16,0.5698005698005698,12.307692307692308,3.0942773093621163,3.9775660282463607,0.03392825587559639
A,chop,vol,efficiency_ratio_volume_signals,22815,15799,1393,69.24830155599386,8.817013735046523,3.0942773093621163,2.8494581621270867,2.953878777169111
A,chop,vol,variance_volume_signals,22815,19820,1044,86.8726714880561,5.267406659939455,3.0942773093621163,1.7023059452371219,2.2138186958826647
A,chop,vol,waddah_attar_explosion_volume_signals,22815,15086,649,66.12316458470305,4.302001856025454,3.0942773093621163,1.3903090854233453,1.3762148789538788
A,chop,vol,chaikin_volatility_volume_signals,22815,20374,666,89.30089853166777,3.26887209188181,3.0942773093621163,1.056425059897326,1.4122636508216997
A,chop,vol,volatility_ratio_volume_signals,22815,20632,560,90.43173350865659,2.7142303218301667,3.0942773093621163,0.8771774635770134,1.1874889556458739
A,chop,vol,vertical_horizontal_filter_volume_signals,22815,11682,292,51.20315581854043,2.499571991097415,3.0942773093621163,0.8078047767517968,0.6191906697296342
A,chop,vol,damiani_volatmeter_volume_signals,22815,19795,366,86.76309445540215,1.8489517554938117,3.0942773093621163,0.5975391248546408,0.7761088531542675
A,chop,vol,choppiness_index_volume_signals,22815,21276,306,93.25443786982248,1.4382402707275803,3.0942773093621163,0.46480652085577706,0.648877893620781
A,chop,vol,ttm_squeeze_volume_signals,22815,20576,232,90.18628095551172,1.1275272161741834,3.0942773093621163,0.3643911335169318,0.4919597101961477
A,chop,vol,fractal_dimension_volume_signals,22815,17716,135,77.65066841989919,0.762023030029352,3.0942773093621163,0.24626849950512117,0.28626965895034456
A,chop,vol,mass_index_volume_signals,22815,0,0,0.0,,3.0942773093621163,,0.0
A,trend,base,sma_baseline,18252,13004,1590,71.24698663160201,12.227007074746233,5.54292455601911,2.2058765099858375,1.9448748267145073
A,trend,base,mcginley_dynamic_index,18252,13591,1443,74.46307253999562,10.617320285483041,5.54292455601911,1.9154726314926296,1.7650656446220336
A,trend,base,ema_baseline,18252,13998,1459,76.69296515450361,10.42291755965138,5.54292455601911,1.880400401324792,1.78463671206067
A,trend,base,tma_baseline,18252,12458,1177,68.25553364014903,9.447744421255418,5.54292455601911,1.7044692428649473,1.4396966484547011
A,trend,base,wma_baseline,18252,14623,1227,80.11724742493973,8.390891062025577,5.54292455601911,1.5138021413107337,1.5008562342004406
A,trend,base,rma_baseline,18252,13037,1019,71.42778873548104,7.81621538697553,5.54292455601911,1.4101248010831815,1.2464323574981653
A,trend,base,t3_baseline,18252,14357,1120,78.65987289064212,7.80107264748903,5.54292455601911,1.4073928967728375,1.3699747207045585
A,trend,base,kama_baseline,18252,15121,966,82.84571553802323,6.388466371271741,5.54292455601911,1.1525443485126365,1.1816031966076816
A,trend,base,fantail_vma,18252,14174,406,77.65724304185842,2.8643996049103992,5.54292455601911,0.5167668395919123,0.4966158362554024
A,trend,base,frama_baseline,18252,15812,421,86.6316020162174,2.6625347837085758,5.54292455601911,0.48034837147788817,0.5149637119791242
A,trend,base,super_smoother_2pole_baseline,18252,15934,420,87.30002191540653,2.635872976026108,5.54292455601911,0.4755383100359521,0.5137405202642095
A,trend,base,lsma_baseline,18252,15640,299,85.68923953539338,1.911764705882353,5.54292455601911,0.344901808884689,0.3657343227595205
A,trend,base,vidya,18252,16447,309,90.11067280298049,1.8787620842706878,5.54292455601911,0.33894780007974734,0.37796623990866834
A,trend,base,hma_baseline,18252,16065,231,88.01775147928994,1.4379084967320261,5.54292455601911,0.2594133263406208,0.28255728614531517
A,trend,base,alma_baseline,18252,16976,176,93.00898531667762,1.0367577756833177,5.54292455601911,0.18704165377057014,0.21528174182500204
A,trend,c1,schaff_trend_cycle_signals,7020,5603,710,79.81481481481481,12.671782973407103,5.54292455601911,2.2861186085685943,2.258011905732692
A,trend,c1,laguerre_filter_signals,7020,5533,559,78.81766381766381,10.103018254111694,5.54292455601911,1.8226873110045738,1.7777868384571476
A,trend,c1,bears_bulls_impulse_signals,7020,6063,606,86.36752136752136,9.995051954477981,5.54292455601911,1.8032090917824717,1.9272608660197341
A,trend,c1,ehlers_reverse_ema_signals,7020,6076,603,86.55270655270655,9.924292297564188,5.54292455601911,1.7904433295573743,1.917719970643399
A,trend,c1,j_tpo_signals,7020,5472,518,77.94871794871794,9.466374269005847,5.54292455601911,1.7078302569942485,1.6473946016472316
A,trend,c1,halftrend_signals,7020,5270,419,75.07122507122507,7.950664136622391,5.54292455601911,1.4343807237983595,1.332545054228166
A,trend,c1,volatility_quality_signals,7020,5932,461,84.5014245014245,7.771409305461901,5.54292455601911,1.4020413279886446,1.4661175894968603
A,trend,c1,price_momentum_oscillator_signals,7020,5446,422,77.57834757834758,7.748806463459419,5.54292455601911,1.3979635452632893,1.3420859496045012
A,trend,c1,polychromatic_momentum_signals,7020,5695,428,81.12535612535612,7.515364354697103,5.54292455601911,1.3558482131127156,1.361167740357172
A,trend,c1,qqe_mod_signals,7020,6087,455,86.7094017094017,7.474946607524231,5.54292455601911,1.3485564401931325,1.4470357987441897
A,trend,c1,dspo_signals,7020,5723,417,81.52421652421653,7.286388257906692,5.54292455601911,1.3145385949722768,1.3261844573106092
A,trend,c1,donchian_breakout_signals,7020,5709,395,81.32478632478633,6.918899982483798,5.54292455601911,1.2482399701743194,1.2562178912174835
A,trend,c1,vortex_signals,7020,6119,390,87.16524216524216,6.3735904559568555,5.54292455601911,1.1498605819983094,1.2403163989235912
A,trend,c1,supertrend_signals,7020,5739,359,81.75213675213675,6.255445199512111,5.54292455601911,1.128545975376711,1.1417271467014598
A,trend,c1,ssl_channel_signals,7020,5871,366,83.63247863247864,6.234031681144609,5.54292455601911,1.1246827587387995,1.1639892359129087
A,trend,c1,coppock_curve_signals,7020,6057,364,86.28205128205128,6.009575697540036,5.54292455601911,1.0841886150180748,1.1576286389953518
A,trend,c1,dpo_signals,7020,5608,337,79.88603988603988,6.009272467902996,5.54292455601911,1.0841339093055982,1.071760580608334
A,trend,c1,hieken_ashi_smoothed_signals,7020,5957,355,84.85754985754986,5.959375524592915,5.54292455601911,1.0751319929335097,1.129005952866346
A,trend,c1,kalman_filter_signals,7020,5767,325,82.15099715099716,5.6355123981272754,5.54292455601911,1.0167037889786221,1.0335969991029927
A,trend,c1,lemantrend_signals,7020,3967,220,56.50997150997151,5.545752457776657,5.54292455601911,1.0005101822564906,0.6996656609312567
A,trend,c1,ichimoku_signals,7020,4638,252,66.06837606837607,5.433376455368694,5.54292455601911,0.9802364077765667,0.8014352116121666
A,trend,c1,fx_sniper_ergodic_cci_signals,7020,5760,307,82.05128205128206,5.329861111111111,5.54292455601911,0.9615611862014914,0.9763516268449808
A,trend,c1,linreg_slope_signals,7020,5859,311,83.46153846153847,5.3080730500085345,5.54292455601911,0.9576303982424677,0.9890728206800946
A,trend,c1,kuskus_starlight_signals,7020,5956,312,84.84330484330485,5.2384150436534584,5.54292455601911,0.9450633849896112,0.992253119138873
A,trend,c1,chandelier_exit_signals,7020,5918,310,84.3019943019943,5.238256167624197,5.54292455601911,0.9450347221370583,0.9858925222213161
A,trend,c1,kase_peak_oscillator_signals,7020,6039,313,86.02564102564102,5.182977314124855,5.54292455601911,0.9350618543953687,0.9954334175976514
A,trend,c1,parabolic_sar_signals,7020,5880,276,83.76068376068376,4.6938775510204085,5.54292455601911,0.8468232795850136,0.8777623746228492
A,trend,c1,waddah_attar_explosion_signals,7020,4220,198,60.11396011396011,4.691943127962086,5.54292455601911,0.8464742899787555,0.629699094838131
A,trend,c1,didi_index_signals,7020,6089,242,86.73789173789174,3.9743800295615044,5.54292455601911,0.7170186044198797,0.7696322270243823
A,trend,c1,fisher_transform_signals,7020,6168,235,87.86324786324786,3.809987029831388,5.54292455601911,0.6873604342483951,0.7473701378129333
A,trend,c1,mama_fama_signals,7020,6008,194,85.58404558404558,3.2290279627163785,5.54292455601911,0.5825495061465249,0.6169779010030172
A,trend,c1,aroon_signals,7020,5729,184,81.6096866096866,3.2117297957758772,5.54292455601911,0.5794287407877907,0.5851749164152328
A,trend,c1,trend_direction_force_index_signals,7020,4895,147,69.72934472934473,3.003064351378958,5.54292455601911,0.5417833710397346,0.46750387344043054
A,trend,c1,center_of_gravity_signals,7020,5978,106,85.15669515669515,1.7731682837069254,5.54292455601911,0.3198976038346808,0.3371116366305146
A,trend,c1,glitch_index_signals,7020,5336,89,76.01139601139602,1.6679160419790104,5.54292455601911,0.30090902827963006,0.2830465628312811
A,trend,c1,coral_signals,7020,6058,43,86.29629629629629,0.7098052162429844,5.54292455601911,0.1280560846660272,0.13675283372747288
A,trend,c1,adx_dmi_signals,7020,5124,13,72.99145299145299,0.2537080405932865,5.54292455601911,0.045771512498358424,0.041343879964119715
A,trend,c1,relative_vigor_index_signals,7020,5835,12,83.11965811965813,0.2056555269922879,5.54292455601911,0.037102350016466445,0.03816358150534127
A,trend,c1,rex_oscillator_signals,7020,6053,10,86.22507122507122,0.16520733520568315,5.54292455601911,0.029805084578732547,0.0318029845877844
A,trend,c2,fisher_transform_signals,7020,6302,625,89.77207977207978,9.917486512218343,5.54292455601911,1.7892154966188125,1.9876865367365244
A,trend,c2,coral_signals,7020,6239,591,88.87464387464388,9.472671902548486,5.54292455601911,1.7089664141760739,1.8795563891380578
A,trend,c2,fx_sniper_ergodic_cci_signals,7020,5976,538,85.12820512820512,9.002677376171352,5.54292455601911,1.6241746185044617,1.7110005708228002
A,trend,c2,laguerre_filter_signals,7020,5590,503,79.62962962962963,8.998211091234348,5.54292455601911,1.623368855248645,1.5996901247655548
A,trend,c2,center_of_gravity_signals,7020,6101,537,86.90883190883191,8.801835764628748,5.54292455601911,1.5879407478261196,1.707820272364022
A,trend,c2,price_momentum_oscillator_signals,7020,5129,404,73.06267806267806,7.876779099239618,5.54292455601911,1.4210511111298014,1.2848405773464895
A,trend,c2,halftrend_signals,7020,5764,441,82.10826210826211,7.650936849410132,5.54292455601911,1.3803068708741333,1.4025116203212917
A,trend,c2,kuskus_starlight_signals,7020,5998,458,85.44159544159544,7.635878626208736,5.54292455601911,1.3775902141617404,1.4565766941205252
A,trend,c2,ichimoku_signals,7020,4760,361,67.80626780626781,7.584033613445378,5.54292455601911,1.368236846234865,1.1480877436190167
A,trend,c2,relative_vigor_index_signals,7020,5633,407,80.24216524216524,7.225279602343333,5.54292455601911,1.3035139716086048,1.2943814727228247
A,trend,c2,supertrend_signals,7020,5891,421,83.91737891737891,7.146494652860295,5.54292455601911,1.289300364930974,1.338905651145723
A,trend,c2,kase_peak_oscillator_signals,7020,5811,412,82.77777777777777,7.090001720874205,5.54292455601911,1.2791084650746527,1.310282965016717
A,trend,c2,chandelier_exit_signals,7020,5971,413,85.05698005698005,6.916764361078546,5.54292455601911,1.2478546823386891,1.3134632634754952
A,trend,c2,dspo_signals,7020,5447,373,77.5925925925926,6.847806131815679,5.54292455601911,1.235413915994867,1.1862513251243578
A,trend,c2,parabolic_sar_signals,7020,6185,398,88.1054131054131,6.4349232012934525,5.54292455601911,1.160925633437625,1.2657587865938187
A,trend,c2,bears_bulls_impulse_signals,7020,5004,315,71.28205128205128,6.294964028776978,5.54292455601911,1.135675574357443,1.0017940145152084
A,trend,c2,donchian_breakout_signals,7020,5788,362,82.45014245014245,6.254319281271596,5.54292455601911,1.128342848267703,1.151268042077795
A,trend,c2,dpo_signals,7020,5665,353,80.6980056980057,6.231244483671668,5.54292455601911,1.1241799199494977,1.122645355948789
A,trend,c2,lemantrend_signals,7020,5251,318,74.8005698005698,6.055989335364693,5.54292455601911,1.0925621076311496,1.0113349098915436
A,trend,c2,ssl_channel_signals,7020,6241,358,88.9031339031339,5.736260214709181,5.54292455601911,1.0348797203960003,1.1385468482426813
A,trend,c2,polychromatic_momentum_signals,7020,5757,317,82.00854700854701,5.50634010769498,5.54292455601911,0.99339979320404,1.008154611432765
A,trend,c2,waddah_attar_explosion_signals,7020,5390,282,76.78062678062678,5.231910946196661,5.54292455601911,0.9438899796164973,0.8968441653755199
A,trend,c2,schaff_trend_cycle_signals,7020,6100,302,86.8945868945869,4.950819672131147,5.54292455601911,0.8931782531218125,0.9604501345510886
A,trend,c2,mama_fama_signals,7020,5772,283,82.22222222222223,4.902979902979903,5.54292455601911,0.8845474719037469,0.9000244638342982
A,trend,c2,j_tpo_signals,7020,5542,265,78.94586894586895,4.781667268134247,5.54292455601911,0.8626614379843567,0.8427790915762864
A,trend,c2,rex_oscillator_signals,7020,6095,278,86.82336182336182,4.561115668580804,5.54292455601911,0.8228716848811967,0.8841229715404062
A,trend,c2,ehlers_reverse_ema_signals,7020,5934,247,84.52991452991454,4.162453656892485,5.54292455601911,0.7509490008072434,0.7855337193182745
A,trend,c2,vortex_signals,7020,6136,220,87.4074074074074,3.585397653194263,5.54292455601911,0.6468422250670629,0.6996656609312567
A,trend,c2,hieken_ashi_smoothed_signals,7020,5914,209,84.24501424501425,3.5339871491376393,5.54292455601911,0.6375672469328582,0.6646823778846938
A,trend,c2,didi_index_signals,7020,5973,194,85.08547008547009,3.2479491043026956,5.54292455601911,0.5859630726483043,0.6169779010030172
A,trend,c2,coppock_curve_signals,7020,5955,186,84.82905982905983,3.123425692695214,5.54292455601911,0.5634977819251498,0.5915355133327896
A,trend,c2,qqe_mod_signals,7020,6062,184,86.35327635327636,3.0353018805674696,5.54292455601911,0.5475993493852281,0.5851749164152328
A,trend,c2,volatility_quality_signals,7020,6166,168,87.83475783475784,2.7246188777165097,5.54292455601911,0.4915489738639546,0.5342901410747778
A,trend,c2,aroon_signals,7020,5786,151,82.42165242165242,2.6097476667818875,5.54292455601911,0.4708250383721964,0.4802250672755443
A,trend,c2,linreg_slope_signals,7020,5361,138,76.36752136752136,2.574146614437605,5.54292455601911,0.4644022462189778,0.4388811873114246
A,trend,c2,kalman_filter_signals,7020,5731,123,81.63817663817663,2.1462222997731635,5.54292455601911,0.3872003448869897,0.39117671042974805
A,trend,c2,trend_direction_force_index_signals,7020,3427,67,48.81766381766382,1.955062737087832,5.54292455601911,0.3527132143562755,0.21307999673815542
A,trend,c2,adx_dmi_signals,7020,5062,37,72.10826210826211,0.7309363887791387,5.54292455601911,0.13186836324254286,0.11767104297480226
A,trend,c2,glitch_index_signals,7020,4328,24,61.65242165242165,0.5545286506469501,5.54292455601911,0.10004261198987141,0.07632716301068254
A,trend,exit_ind,adx_dmi_exit,273780,221237,12263,80.80831324421068,5.54292455601911,5.54292455601911,1.0,1.0
A,trend,vol,variance_volume_signals,22815,21590,5235,94.63072539995616,24.24733672996758,5.54292455601911,4.374466310142573,5.122726902063117
