slice,members,expectancy_median,expectancy_mean,positive,positive_pct,gate2_floor_pass,gate3_bars_pass,pf_median,sortino_median,trades_median
A-chop,930,-0.058700339468385064,-0.054273372226538365,317,34.086021505376344,241,4,0.9166916012763977,-6.208468836878405,82.5
A-trend,2960,-0.0524530202914507,-0.04614080008419455,1075,36.317567567567565,443,31,0.8415130376815796,-6.681438450608393,48.0
B-chop,917,-0.0353175602602155,-0.029698186317986146,367,40.021810250817886,269,3,0.9388219118118286,-1.7515082526018875,92.0
B-trend,3428,-0.04381053554577653,-0.03969035061162106,1237,36.08518086347725,553,20,0.841549426317215,-4.333147734054082,50.0
ALL,8235,-0.04739938752125886,-0.04254314063996682,2996,36.381299332119006,1506,58,0.8744969964027405,-4.3368988550449314,58.0
