pair,source_url,provenance,raw_spread_pips,markup,marked_up_pips,pip_size,median_price,cost_frac_roundtrip,cost_bp_roundtrip,fetch_date,crisis_multiplier,swap,group,entry_hour_ny,bp_2004_2015,bp_2021_2026,old_flat_bp
AUDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.9,1.0,2.9,0.0001,0.94114,0.0003003425463460367,3.003,2026-09-16,2.0,EXCLUDED,cross,19,3.808,2.362,4.463
AUDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.3,1.0,3.3,0.0001,0.7534,0.00045833735887691534,4.583,2026-09-16,2.0,EXCLUDED,cross,19,3.98,3.204,5.575
AUDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.0,1.0,2.0,0.01,86.38,0.00025170891241024844,2.517,2026-09-16,2.0,EXCLUDED,cross,19,3.644,2.188,2.084
AUDNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.6,1.0,3.6,0.0001,1.10043,0.00033893026400992534,3.389,2026-09-16,2.0,EXCLUDED,cross,19,6.245,2.629,3.817
AUDUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",1.6,1.0,1.6,0.0001,0.7575,0.0002211411008213509,2.211,2026-09-16,2.0,EXCLUDED,major,19,2.442,2.088,2.178
CADCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.0,1.0,3.0,0.0001,0.76892,0.000405635634667636,4.056,2026-09-16,2.0,EXCLUDED,cross,19,5.353,3.054,5.462
CADJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.4,1.0,2.4,0.01,90.785,0.0002851758675468606,2.852,2026-09-16,2.0,EXCLUDED,cross,19,3.643,2.25,4.626
CHFJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.6,1.0,3.6,0.01,111.4125,0.00032213031550837583,3.221,2026-09-16,2.0,EXCLUDED,cross,19,3.343,2.354,3.77
EURAUD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.3,1.0,3.3,0.0001,1.5873,0.00021432283761674503,2.143,2026-09-16,2.0,EXCLUDED,cross,19,3.513,1.841,2.646
EURCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.3,1.0,3.3,0.0001,1.4678,0.00021392449191656366,2.139,2026-09-16,2.0,EXCLUDED,cross,19,3.751,1.573,2.861
EURCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.8,1.0,2.8,0.0001,1.14958,0.0002543630803995147,2.544,2026-09-16,2.0,EXCLUDED,cross,19,1.987,2.04,3.654
EURGBP,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.2,1.0,2.2,0.0001,0.85094,0.0002571062677951589,2.571,2026-09-16,2.0,EXCLUDED,cross,19,2.547,1.904,1.939
EURJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.1,1.0,2.1,0.01,132.988,0.00017025307593638873,1.703,2026-09-16,2.0,EXCLUDED,cross,19,1.959,1.522,1.354
EURNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",5.1,1.0,5.1,0.0001,1.73629,0.00030417725621392105,3.042,2026-09-16,2.0,EXCLUDED,cross,19,4.418,2.994,2.419
EURUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",1.6,1.0,1.6,0.0001,1.1912,0.00013904044304710513,1.39,2026-09-16,2.0,EXCLUDED,major,19,1.145,1.462,1.385
GBPAUD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",5.45,1.0,5.45,0.0001,1.86022,0.00030696857029617456,3.07,2026-09-16,2.0,EXCLUDED,cross,19,3.152,2.155,2.258
GBPCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",5.3,1.0,5.3,0.0001,1.73759,0.0003107750843720814,3.108,2026-09-16,2.0,EXCLUDED,cross,19,3.15,2.054,2.417
GBPCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",4.5,1.0,4.5,0.0001,1.4094,0.00035223805253675495,3.522,2026-09-16,2.0,EXCLUDED,cross,19,3.344,2.34,2.98
GBPJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.5,1.0,3.5,0.01,157.892,0.0002442913072394024,2.443,2026-09-16,2.0,EXCLUDED,cross,19,3.061,1.931,2.66
GBPNZD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",7.8,1.0,7.8,0.0001,2.0508,0.0004070678215094806,4.071,2026-09-16,2.0,EXCLUDED,cross,19,4.958,3.541,2.048
GBPUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.5,1.0,2.5,0.0001,1.45992,0.00019421954437634896,1.942,2026-09-16,2.0,EXCLUDED,major,19,1.95,1.639,1.336
NZDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.5,1.0,3.5,0.0001,0.83112,0.0003933786746895825,3.934,2026-09-16,2.0,EXCLUDED,cross,19,5.35,3.412,5.053
NZDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",3.6,1.0,3.6,0.0001,0.69062,0.0005305950623748991,5.306,2026-09-16,2.0,EXCLUDED,cross,19,5.822,3.869,6.081
NZDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.6,1.0,2.6,0.01,78.0835,0.0003420089451646025,3.42,2026-09-16,2.0,EXCLUDED,cross,19,5.739,3.064,5.379
NZDUSD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.0,1.0,2.0,0.0001,0.69298,0.0002902481004012785,2.902,2026-09-16,2.0,EXCLUDED,major,19,4.813,2.707,3.03
USDCAD,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.2,1.0,2.2,0.0001,1.25145,0.00016736847310753211,1.674,2026-09-16,2.0,EXCLUDED,major,19,3.42,1.523,1.438
USDCHF,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",2.2,1.0,2.2,0.0001,0.96501,0.00023023759620700667,2.302,2026-09-16,2.0,EXCLUDED,major,19,2.522,2.006,2.176
USDJPY,results/spread_by_hour.csv,"OANDA hourly bid/ask, median spread at 19:00 NY, 2016-2020, n=1038",1.6,1.0,1.6,0.01,110.091,0.000143808631049632,1.438,2026-09-16,2.0,EXCLUDED,major,19,1.671,1.286,1.908
