driver,period,lift
C equity |corr|,2016-19,0.37712278829910195
C equity |corr|,2020-21,1.7316894977168948
C equity |corr|,2022-26,0.6166263115415658
B MOVE level,2016-19,
B MOVE level,2020-21,
B MOVE level,2022-26,1.1754068033374863
