# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
budget,N,draw,total_return_pct,median_year_pct
team1,10,0,1.1588742151313538,0.4973571793604858
team1,10,1,-0.365100837069682,0.20820692122370732
team1,10,2,0.7282771321997223,-0.08625152521878791
team1,10,3,-1.1535136894779274,-0.26299431747513957
team1,10,4,0.5810738689081193,0.11729214721919938
team1,10,5,-1.0470076121876175,-0.508053467488008
team1,10,6,0.21306316694726368,0.15208507121638004
team1,10,7,0.6404141579794903,0.2066997965234219
team1,10,8,2.8927012980478937,0.618153011529
team1,10,9,0.7589779640590428,-0.09502038283357633
team1,10,10,-1.7503582304443792,-0.3042400726024656
team1,10,11,0.1031783830525641,0.2863159862718102
team1,10,12,-1.4191054477042646,-0.5351831009688699
team1,10,13,1.9517031201420578,0.8352701385881515
team1,10,14,0.8935483457257897,0.13370214020492324
team1,10,15,0.04241664672936968,-0.14658058164138593
team1,10,16,1.6557792997756928,0.0975217996152385
team1,10,17,0.8260229231491056,0.5726822173006647
team1,10,18,1.2623852358464238,0.4149159932746871
team1,10,19,-0.20095866253751038,-0.12728115913660074
team1,10,20,-0.8226743431814847,-0.67205264685453
team1,10,21,0.8651308076578059,-0.14951487502443028
team1,10,22,0.6136157127175824,-0.09350352643137755
team1,10,23,-2.178023167402632,-0.3333866049864313
team1,10,24,-1.2479441163464258,-1.0078904288951833
team1,15,0,-1.07818399776933,0.27066169102114734
team1,15,1,-0.36843614648788203,-0.5623432112164822
team1,15,2,2.465069932546599,0.484449182651843
team1,15,3,-0.48585542079956534,-0.21370533275675457
team1,15,4,1.2915466030571747,-0.07343205548696813
team1,15,5,0.8889133628295999,0.2784632394587729
team1,15,6,-0.7634603109067954,-0.3201581566028088
team1,15,7,-0.9447063949794045,-0.28806051351493145
team1,15,8,-1.514896113340509,-0.9002779135107815
team1,15,9,3.5870622632471223,0.032537878523485275
team1,15,10,0.35658404168161234,-0.07412584118125529
team1,15,11,-0.3985163774852788,0.06427462061014105
team1,15,12,-4.966968220049733,-0.9961716886698803
team1,15,13,-1.6952299020652402,-0.7255868465126258
team1,15,14,5.061414224673335,1.00452422149922
team1,15,15,0.7065064849898027,-0.051031014334034855
team1,15,16,1.6624663189422733,0.4890596691967717
team1,15,17,-0.32411530063553906,-0.06951362483030775
team1,15,18,-0.2874413354206007,-0.567414099406641
team1,15,19,3.15571540643738,0.27022031352558434
team1,15,20,4.191499907337864,0.7066506193671175
team1,15,21,-0.5402282179727692,0.6686489618611846
team1,15,22,1.3852441103107698,0.3353395493053989
team1,15,23,-0.9067436330537422,-0.5286831700165839
team1,15,24,1.3712000969592422,0.6598002090302612
team1,20,0,0.5393598059596284,-0.11976850063507061
team1,20,1,1.5341055464723494,0.3027057696446504
team1,20,2,2.040551221155278,0.8650174004044063
team1,20,3,0.4688321576699276,-0.3612951388219551
team1,20,4,-2.080192083621747,-0.1980096361263693
team1,20,5,-0.5748382663194338,-1.3075929556266839
team1,20,6,1.5476470915041882,-0.094173651449604
team1,20,7,0.36901109184508624,0.18593893402389458
team1,20,8,0.42703125037926026,0.29942443462136903
team1,20,9,-1.9763784276394096,-0.09839929254701503
team1,20,10,-1.0109869218877952,-0.6029347406126555
team1,20,11,0.9880916620655629,-0.4429153748513137
team1,20,12,-0.16420737231483118,0.05475970997619093
team1,20,13,-0.27642169257407506,-0.16956830929020156
team1,20,14,2.2910329936976614,0.3078959659792483
team1,20,15,-0.9882737348618504,-0.22464120447481373
team1,20,16,-1.1730789079612074,-0.40605916394914365
team1,20,17,1.8227657754385436,0.26122312371184864
team1,20,18,0.33702050427672725,0.10684879767169815
team1,20,19,-0.08834018927243648,-0.29387575673426103
team1,20,20,-1.9327159384091115,-0.037891573530250376
team1,20,21,-1.978344956387735,-0.46599530662475097
team1,20,22,3.5376883665134486,0.6197750962494253
team1,20,23,2.1618301447836163,0.29142937179343004
team1,20,24,3.972209563370071,0.343847625729594
team1,25,0,2.0857146970247524,1.2777616489129537
team1,25,1,2.6195256149436497,0.4177479799989902
team1,25,2,2.714021344815312,0.5740835095420567
team1,25,3,-6.031401403698777,-0.9993398900865156
team1,25,4,3.1541813090010833,0.6034265618467514
team1,25,5,1.0543200720190224,0.06702806480310149
team1,25,6,2.7812666178642953,0.5878016702383396
team1,25,7,-0.06589496699529196,-0.02182992935410784
team1,25,8,0.026912667219184616,-0.2149829602642837
team1,25,9,2.2207721074792803,0.5115585453190393
team1,25,10,2.217673373551952,0.5133676949469723
team1,25,11,-4.950615944424105,-0.9635861402940789
team1,25,12,-0.13163823841365485,0.20931099735345093
team1,25,13,6.266341367096398,0.5029717746418091
team1,25,14,3.912122844104042,0.42994730885130544
team1,25,15,-0.43737060036235925,-0.0043145652140693935
team1,25,16,-0.2183623980198804,-0.1110607210056187
team1,25,17,0.138897627537868,0.5455861440746007
team1,25,18,-5.538497402086918,-1.3093285193282742
team1,25,19,0.04632061183531755,0.6621730525284611
team1,25,20,4.411138799221172,0.5481942836030095
team1,25,21,-1.6699241934463809,-0.9009316609991123
team1,25,22,-1.5721881335578511,-0.2845273516301525
team1,25,23,1.7036472888974092,0.2449219144336869
team1,25,24,2.6330808325297426,0.3530073213501156
team1,30,0,-0.8661497784837536,-0.34645166980785974
team1,30,1,-1.942190212221021,-0.1437076477442509
team1,30,2,3.9034875360415753,0.08240006046788563
team1,30,3,0.4924867734885656,0.046175213640002356
team1,30,4,-1.6538086280725124,-0.6526060650583186
team1,30,5,0.9254981279591069,0.017903587013684594
team1,30,6,1.397842961760299,0.7663100957135536
team1,30,7,2.787291920095636,0.34038227689564216
team1,30,8,0.5536415372210064,-0.38753437934299695
team1,30,9,0.019536452568348572,-0.04668507052483569
team1,30,10,1.469904440902595,0.4513506159817703
team1,30,11,0.9692457291201321,-0.055605142063901394
team1,30,12,-0.8739271931386052,-0.6974567178150366
team1,30,13,0.9846760183441248,-0.38253634003720627
team1,30,14,4.88119742811134,0.7501760928838525
team1,30,15,0.6311095944102059,0.009922451570720163
team1,30,16,1.6903512090509252,0.14662016006407075
team1,30,17,-0.7325160589192176,-0.0006154590107069766
team1,30,18,-0.5656589452830694,0.372710649300204
team1,30,19,-1.9994756488357845,-0.7149868447908836
team1,30,20,-3.3045137873880774,-0.4984150470705105
team1,30,21,3.7678401853943435,0.5346707542280749
team1,30,22,0.27333912434748353,0.446937309335414
team1,30,23,1.0936361572942457,0.6345117023407528
team1,30,24,2.6041840544883983,0.37340127341976453
team1,40,0,1.1107871438681032,-0.03436522803694545
team1,40,1,0.06436354648212073,0.004807081226648108
team1,40,2,0.7072263035874519,0.4387071116332993
team1,40,3,0.3115136917354029,-0.23177050499755822
team1,40,4,0.2283668304318126,0.005522428793471604
team1,40,5,3.134458659963891,0.5650187892660054
team1,40,6,3.5415427095737564,1.3102549552633975
team1,40,7,2.7022874847768383,0.7048247628132668
team1,40,8,-3.259356356882625,-0.5347405044120431
team1,40,9,0.23000458063368434,-0.49263354180480323
team1,40,10,-2.21661813362053,-0.8967204074230256
team1,40,11,1.6795523302945463,0.3057578738750893
team1,40,12,-1.226949572593762,-0.3845882881194716
team1,40,13,-1.686697008275266,-0.588037837385311
team1,40,14,-0.6359675459798269,0.35467627015549946
team1,40,15,-0.5741910814624382,-0.028205484176756345
team1,40,16,0.7834454059291727,0.17670627941834133
team1,40,17,1.8437463191762868,0.11807388999563614
team1,40,18,1.2416321112742197,0.11907822684041416
team1,40,19,-4.532503105166721,-1.1913270068149004
team1,40,20,0.8618578910267235,0.10065996571478975
team1,40,21,0.7563636882364939,-0.2116225115023302
team1,40,22,2.8605093881539867,0.8884561893162691
team1,40,23,2.0328884587805542,-0.06018766931241408
