kind,changes,bars,rate,mean_gap
shape only,3739,74004,0.050524295984000864,19.79245787643755
activity only,3078,74004,0.04159234635965624,24.042884990253413
both,179,74004,0.0024187881736122373,413.4301675977654
split-join any,6996,74004,0.09453543051726934,10.578044596912521
combined (shipped),4875,74004,0.06587481757742825,15.180307692307693
