# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
sizing,structure,description,dip_budget,day_budget,dip95_binding,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,calmar,mean_year_pct,best_year_pct,total_return_pct,worst_month_pct,sharpe,win_rate_pct,binds_step1,binds_step2,scale_step1,scale_step2,build_dip95_step1,build_dip95_step2,build_max_dd_step1,build_max_dd_step2,build_worst_day_step1,build_worst_day_step2,trades_per_year,mean_open_positions,mean_gross_exposure_pct,cap_bound_days,members_step1,members_step2,trading_days
a_all_three_36,NO_CUT,"DIP95 and actual maxDD against 3.6%, worst day against 3.6% -- as run",3.6,3.6,True,4.389590879592064,3.308186704193219,1.7929457410891594,0.560017459971619,3.317381497963576,1.4330702258686898,3.4437035711998707,14.003276732626604,5.021423075811157,8.123193191899473,25.107115379055788,0.8062622401344893,2.077105172697395,54.4753086419753,DIP95,DIP95,1.0523372114768703,1.0369995571672006,3.6,3.6,1.9552253869401068,2.0244563261929627,1.0447300498561891,0.9486505769733876,291.0,9.39415146708961,0.884112124373637,0,8235,8235,1296
a_all_three_36,NO_CUT_SLICE_BALANCED,"DIP95 and actual maxDD against 3.6%, worst day against 3.6% -- as run",3.6,3.6,True,4.080042334686218,3.3100668540857074,2.296845039756839,0.6146368078130001,3.394864889432549,1.4258682229960649,3.3085043510486387,11.156985671987623,5.125173439868578,9.196086924291649,25.625867199342895,1.0486515279408553,2.0906683919024442,55.47839506172839,DIP95,DIP95,0.9090177986297366,0.7982706527702612,3.6,3.6,2.0912132687414315,1.8429107295302714,0.6926594141365366,0.6497140397008689,353.16666666666663,11.618943298969072,0.7783697259180091,0,8235,8235,1296
b_risk_54_day_36,NO_CUT,"DIP95 and actual maxDD against 5.4%, worst day against 3.6%",5.4,3.6,True,6.584386319388097,4.962280056289829,2.689418611633741,0.8400261899574285,4.976072246945377,1.4330702258686896,3.443703571199871,14.003276732626595,7.532134613716737,12.18478978784921,37.660673068583684,1.2093933602017342,2.0771051726973955,54.4753086419753,DIP95,DIP95,1.5785058172153055,1.555499335750801,5.4,5.4,2.93283808041016,3.0366844892894442,1.5670950747842836,1.4229758654600815,291.0,9.39415146708961,1.3261681865604555,0,8235,8235,1296
b_risk_54_day_36,NO_CUT_SLICE_BALANCED,"DIP95 and actual maxDD against 5.4%, worst day against 3.6%",5.4,3.6,True,6.120063502029328,4.965100281128561,3.4452675596352265,0.9219552117195001,5.092297334148817,1.4258682229960649,3.308504351048639,11.156985671987728,7.687760159802869,13.794130386437473,38.438800799014345,1.572977291911283,2.0906683919024442,55.47839506172839,DIP95,DIP95,1.363526697944605,1.197405979155392,5.4,5.4,3.1368199031121473,2.7643660942954074,1.038989121204805,0.9745710595513035,353.16666666666663,11.618943298969072,1.1675545888770138,0,8235,8235,1296
c_actual_path_only,NO_CUT,"actual maxDD and worst day against 3.6%; DIP95 measured, never binding",3.6,3.6,False,7.8058128308692405,6.091099376391436,3.188315096951996,0.9958539632658224,6.00624372532513,1.4335542033132271,3.4519475336698404,14.306264968767099,9.122576116183124,14.95658540757987,45.612880580915615,1.4845061259288332,2.0829572758748798,54.4753086419753,actual maxDD,actual maxDD,1.93758427372178,1.844049860449343,6.628391839920907,6.4017187391597545,3.6,3.6,1.9235778159408126,1.6869428265347912,291.0,9.39415146708961,1.5999686394207204,0,8235,8235,1296
c_actual_path_only,NO_CUT_SLICE_BALANCED,"actual maxDD and worst day against 3.6%; DIP95 measured, never binding",3.6,3.6,False,7.023746752386597,6.46598909201956,4.486729612362765,1.1954591135389734,6.156588139157577,1.4183999825352365,3.2689282010384604,10.17681747474496,9.132125664709815,15.830959674129403,45.66062832354907,2.0484690007471515,2.061743000901363,55.47839506172839,actual maxDD,actual maxDD,1.5648638634722036,1.5593670946315559,6.197359300326075,7.032353652476318,3.6,3.6,1.1924053505992986,1.2691719167098747,353.16666666666663,11.618943298969072,1.4260648948579029,0,8235,8235,1296
