,1,2,3,4,5,6,7,8,9,10
1,1.0,-0.0104,-0.0201,0.0148,0.1178,-0.0136,0.1878,-0.0258,0.164,0.1229
2,-0.0104,1.0,0.1032,0.0042,-0.0139,0.1682,-0.0275,0.1388,0.0038,-0.0106
3,-0.0201,0.1032,1.0,0.0067,-0.0136,0.188,-0.0259,0.0618,0.0023,0.0111
4,0.0148,0.0042,0.0067,1.0,-0.0027,0.0112,-0.0064,0.1034,-0.0076,-0.0253
5,0.1178,-0.0139,-0.0136,-0.0027,1.0,-0.0341,0.1669,-0.0041,0.0286,0.6302
6,-0.0136,0.1682,0.188,0.0112,-0.0341,1.0,0.0149,0.045,0.0132,-0.0193
7,0.1878,-0.0275,-0.0259,-0.0064,0.1669,0.0149,1.0,-0.0134,0.0251,0.2012
8,-0.0258,0.1388,0.0618,0.1034,-0.0041,0.045,-0.0134,1.0,-0.0102,0.0144
9,0.164,0.0038,0.0023,-0.0076,0.0286,0.0132,0.0251,-0.0102,1.0,0.0545
10,0.1229,-0.0106,0.0111,-0.0253,0.6302,-0.0193,0.2012,0.0144,0.0545,1.0
