c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,ip2,rank_R,rank_S,score,rank,net_of_structure_R
polychromatic_momentum_signals,adx_dmi_signals,variance_volume_signals,vidya,adx_dmi_exit,chop,A,283,37.19024344690653,0.1314142877982562,0.3710247349823322,1.3445621679139923,1.8569336181171616,6.198789925132202,8.713451799389471,3.663503134738088,4.268141294993145,0.0551219838860863,13,13.152031649245204,1.011694742249631,0.6153846153846154,7.759717830877539,13.121102311300731,43.304898890211106,1.0833429296501516,0.4632744005324511,12.140229367161185,0.1558694545962144,50.34227509615173,0.2612522303397164,16,1.0,2.05,1.5,2.0,0.05,"{""base"": {""vda_length"": 2}, ""c1"": {""len"": 40}, ""c2"": {""adx_smoothing"": 3, ""adx_threshold"": 25, ""di_length"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 25}}",290.0,529.0,409.5,429,0.1064049841598588
supertrend_signals,dpo_signals,efficiency_ratio_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,chop,A,112,21.940411336884686,0.1958965297936132,0.4017857142857143,1.397453609465089,2.450250058442603,10.905950163435566,10.48617388627422,3.2956775816733432,2.092318091883197,0.078133708979457,5,3.2813907722062834,0.6562781544412567,0.6,2.7627988471577742,7.187051496226658,106.35257370561752,1.86146637065085,0.9449928093974088,1.7627988471577736,0.5224265664442934,25.22180210909097,0.1301013606408217,8,1.05,1.8,1.5,2.0,0.05,"{""base"": {""cutoff_period"": 99}, ""c1"": {""atr_period"": 12, ""factor"": 3}, ""c2"": {""len"": 216}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.854411, ""length"": 4}}",511.0,308.0,409.5,430,0.1708872261552158
schaff_trend_cycle_signals,dpo_signals,efficiency_ratio_volume_signals,hma_baseline,adx_dmi_exit,chop,A,139,25.116341385090255,0.1806931034898579,0.4172661870503597,1.4058638733915916,2.511192380980982,9.828819608665317,5.938585451082645,1.8089889808035955,4.229347475417968,0.0597220740473955,4,-3.266883266360642,-0.8167208165901605,0.0,0.0,-35.369649696143995,-35.369649696143995,3.000000000000011,1.8708286933869764,-1.0889610887868766,0.3061021525614614,21.849458118729615,-0.1495178163507968,40,1.0,1.5,1.5,2.0,0.05,"{""base"": {""ma_length"": 87}, ""c1"": {""cycleLen"": 19, ""d1"": 3, ""d2"": 4, ""lowerBand"": 25, ""macdFast"": 23, ""macdSlow"": 50, ""stc_midline"": 50, ""upperBand"": 75}, ""c2"": {""len"": 62}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.3, ""length"": 8}}",464.0,359.0,411.5,431,0.1556837998514605
hieken_ashi_smoothed_signals,trend_direction_force_index_signals,variance_volume_signals,alma_baseline,adx_dmi_exit,chop,A,231,33.823043100691564,0.1464201000029937,0.3506493506493506,1.4021936684693423,1.898629230832552,7.126037944325773,8.11707812775656,3.7599490910866624,4.166898798846446,0.0886969274488099,1,-1.0000000000000042,-1.0000000000000042,0.0,0.0,,,0.0,0.0,,1.0,32.823043100691564,-0.0304664012088182,50,1.0,3.0,1.5,2.0,0.05,"{""base"": {""length"": 17, ""offset"": 1.04792, ""sigma"": 6}, ""c1"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 80, ""ma_len2"": 80, ""vol_factor1"": 0.189431, ""vol_factor2"": 0.82}, ""c2"": {""fhigh"": 0.328967, ""flow"": -0.040557, ""lookback"": 24}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 57}}",337.0,487.0,412.0,432,0.12141079636459631
schaff_trend_cycle_signals,adx_dmi_signals,variance_volume_signals,hma_baseline,adx_dmi_exit,chop,A,210,33.29176536670495,0.1585322160319283,0.4095238095238095,1.568481048544052,2.451210824779392,7.362774426472744,7.350973457005865,2.7849235840814712,4.528892065985648,0.0765955175975818,2,1.5500000000000007,0.7750000000000004,0.5,2.549999999999994,4.901044182675715,,1.0000000000000044,0.7071067811865507,1.5499999999999938,1.6451612903225832,34.84176536670494,0.0444868388179088,42,1.0,2.55,1.5,2.0,0.05,"{""base"": {""ma_length"": 25}, ""c1"": {""cycleLen"": 43, ""d1"": 6, ""d2"": 6, ""lowerBand"": 25, ""macdFast"": 5, ""macdSlow"": 50, ""stc_midline"": 41, ""upperBand"": 75}, ""c2"": {""adx_smoothing"": 3, ""adx_threshold"": 25, ""di_length"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 25}}",348.0,477.0,412.5,433,0.1335229123935309
supertrend_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,chop,A,371,39.00438262215414,0.1051331067982591,0.3719676549865229,1.272853395077025,1.5573521582251937,5.258862752325733,11.027726931338565,3.2553040561217936,3.536937654061019,0.0476136970333183,11,8.972898555521944,0.8157180505019949,0.5454545454545454,5.135055206994167,10.622587044960335,35.12042186730464,1.0000000000000009,0.4459027690478814,8.972898555521937,0.206972456631638,47.97728117767608,0.1870239066338976,47,1.05,1.95,1.5,2.0,0.05,"{""base"": {""cutoff_period"": 15}, ""c1"": {""atr_period"": 66, ""factor"": 3}, ""c2"": {""cci_length"": 5, ""ema1_length"": 4, ""ema2_length"": 6, ""trigger_length"": 22}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 66, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 200}}",258.0,567.0,412.5,434,0.0801238031598617
dspo_signals,trend_direction_force_index_signals,vertical_horizontal_filter_volume_signals,frama_baseline,adx_dmi_exit,chop,A,135,25.253566592837835,0.1870634562432432,0.3037037037037037,1.5014129554904443,2.443212329280682,9.730930893654332,9.739458676493143,3.6862603149899207,2.5929127512793975,0.0934521463067054,8,1.71555240509556,0.214444050636945,0.375,1.5318501282715438,2.461619303398441,9.76745828480969,2.004447594904444,1.156076755389409,0.855872914540998,1.3756501946488455,26.9691189979334,0.0636117333023381,28,1.25,2.95,1.5,2.0,0.05,"{""base"": {""length"": 5}, ""c1"": {""len"": 5}, ""c2"": {""fhigh"": 0.061642, ""flow"": -0.061642, ""lookback"": 13}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 28, ""vhf_threshold"": 0.35}}",462.0,365.0,413.5,435,0.1620541526048458
didi_index_signals,dpo_signals,waddah_attar_explosion_volume_signals,ema_baseline,adx_dmi_exit,chop,A,116,21.50369191308588,0.1853766544231541,0.396551724137931,1.3615622750608571,2.1683983959580813,10.883564719970272,7.635015922673071,3.163720641730954,2.8164567213577323,0.0930072848924573,5,3.4132273195349776,0.6826454639069955,0.6,4.525654462827205,8.503999388967705,23.571120066412217,0.8091433406396651,0.3687774080739481,4.218322203377048,0.5859556990398435,24.916919232620852,0.1369843232893106,17,1.0,2.0,1.5,2.0,0.05,"{""base"": {""ma_length"": 16}, ""c1"": {""long_p"": 37, ""medium"": 10}, ""c2"": {""len"": 50}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bbLen"": 37, ""bbStd"": 2, ""fastEma"": 25, ""sensitivity"": 80, ""slowEma"": 49}}",519.0,309.0,414.0,436,0.1603673507847567
dspo_signals,bears_bulls_impulse_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,chop,A,124,23.61498469413817,0.1904434249527271,0.3870967741935484,1.3998694181524127,2.107569457809487,10.171989309394354,6.824299222075092,2.7115612681425527,3.460426327402078,0.1143341837807848,7,11.743087497059278,1.6775839281513254,0.7142857142857143,7.683934161435804,15.239230103672524,154.9304930768183,1.0000000000000089,0.4740278076695526,11.743087497059172,0.2299224970158952,35.358072191197444,0.3321189977088958,32,1.0,2.7,1.5,2.0,0.05,"{""base"": {""ma_length"": 16}, ""c1"": {""len"": 14}, ""c2"": {""length"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 5, ""hline"": 0, ""lookback"": 57}}",489.0,341.0,415.0,437,0.1654341213143297
kuskus_starlight_signals,parabolic_sar_signals,vertical_horizontal_filter_volume_signals,frama_baseline,adx_dmi_exit,chop,A,158,27.885354007868756,0.1764895823282832,0.3481012658227848,1.4640400466981465,2.4300660675365333,8.809667938504516,10.334233353808084,4.622392044515685,2.698347623202569,0.0699291821595579,16,7.18604638469551,0.4491278990434694,0.4375,2.1117106978740288,5.126911832499539,20.41650297638895,4.662218840665266,1.97039871562388,1.5413361384962598,0.2713592280941886,35.07140039256427,0.2048976175533348,31,1.0,1.95,1.5,2.0,0.05,"{""base"": {""length"": 8}, ""c1"": {""index_smooth"": 0.106394, ""price_smooth"": 0.567792, ""range_periods"": 300}, ""c2"": {""sar_increment"": 0.010673, ""sar_maximum"": 0.2, ""sar_start"": 0.00462}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""length"": 35, ""vhf_threshold"": 0.35}}",421.0,409.0,415.0,438,0.1514802786898858
polychromatic_momentum_signals,bears_bulls_impulse_signals,variance_volume_signals,ema_baseline,adx_dmi_exit,chop,A,105,23.01565041756139,0.2191966706434418,0.3523809523809524,1.4636763518303963,2.5291995042676216,10.196530567689592,7.090592537128362,2.6701618816248085,3.245941759739386,0.0972423197906908,2,2.62772588128051,1.313862940640255,1.0,inf,15.957108371755364,,0.0,0.0,,0.8517232539508979,25.643376298841893,0.1024719151900127,26,1.05,2.35,1.5,2.0,0.05,"{""base"": {""ma_length"": 11}, ""c1"": {""len"": 14}, ""c2"": {""length"": 13}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 3}}",497.0,335.0,416.0,439,0.1941873670050444
polychromatic_momentum_signals,fx_sniper_ergodic_cci_signals,chaikin_volatility_volume_signals,ema_baseline,adx_dmi_exit,chop,A,319,37.40027608322025,0.1172422447749851,0.3824451410658307,1.2954215718489133,1.5674575508305246,5.639461584380433,15.076807028481262,6.044780723977116,2.480649650325047,0.0668444263469393,17,8.31496811067905,0.4891157712164147,0.3529411764705882,2.2438187653168615,4.955960233514786,18.42034794675886,2.403843030585215,1.279217702270383,3.459031228280647,0.3006626082894074,45.7152441938993,0.1818861138619638,35,1.0,2.5,1.5,2.0,0.05,"{""base"": {""ma_length"": 5}, ""c1"": {""len"": 14}, ""c2"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 66, ""roc_len"": 10}}",284.0,549.0,416.5,440,0.0922329411365877
