# FIELD CONTAMINATED -- gate 2 selected the 3,485 with sight of 2016-2020; structure comparisons valid, levels not.
# l2tune.crosses_label() applies its bars to the STITCHED W2+W3 blind book and requires n_w3 >= MIN_TRADES_BLIND, so membership of this field depends on
# performance in the very years this walk-forward trades. Every structure and every null draw is drawn from the same field, so relative
# statements hold; no absolute level here is an out-of-sample number. See FIXES.md, fourth contamination.
median_year_pct,mean_year_pct,worst_year_pct,best_year_pct,total_return_pct,max_dd_pct,dip95_pct,worst_day_pct,worst_month_pct,sortino,sharpe,calmar,profit_factor,win_rate_pct,trading_days,n_years,structure,kind,budget,dip_budget,day_budget,members_step1,members_step2,binds_step1,binds_step2,scale_step1,scale_step2,cap_bound_days,per_slice_k,identity_null_p,random_entry_null_p
2.274351497608397,2.753489169797041,0.914948121387992,5.8432946191627275,13.767445848985204,3.315872956814733,4.794218642673436,0.8001078229639539,1.2418109279335445,1.627677559268783,1.1345886830599927,4.151982307009246,1.2195958553344364,53.85802469135802,1296,5,ALLPASS,real,team1,3.6,3.6,620,575,DIP95,DIP95,1.0162851519470169,1.1539846100930662,0,,1.0,0.0
-0.22124286220229422,-0.39862327713877926,-1.790121376654999,1.5893506114379872,-1.993116385693896,3.252958377865418,5.985571789921534,0.31709233628231503,1.05188643933812,-0.4540752224010023,-0.27713625284483806,-0.6127088496600357,0.9551975173811647,48.68827160493827,1296,5,SLICE_BALANCED,real,team1,3.6,3.6,620,575,DIP95,DIP95,0.5979491550619227,0.7047684733815593,0,,0.76,0.0
3.8981327056946915,4.330624837541332,1.714563962817137,7.867780692688374,21.65312418770666,2.5098227759526157,4.81803376406062,0.910694634917681,1.1824476547998375,2.146450013699983,1.494791608721825,8.627351857339054,1.322311390253428,54.4753086419753,1296,5,PER_SLICE_CUT,real,team1,3.6,3.6,168,129,DIP95,DIP95,0.749158389266924,0.9486147408107197,0,56.0,1.0,0.0
9.068669904419709,9.849675617187156,7.74588117080301,13.623714002906741,49.248378085935784,1.3953754131200071,2.457226396583023,0.6051888976150794,0.4893066077530472,6.461556592656509,3.5464841045808466,35.2939987496399,1.8801513707760882,57.56172839506173,1296,5,NO_CUT,real,team1,3.6,3.6,3485,3485,DIP95,DIP95,1.0630882109813156,1.1306665087427763,0,,,0.0
-0.37350064143636946,0.020181405884255776,-0.7255160141829664,1.7321768077435191,0.10090702942127927,1.5580975060844242,3.534226180803392,0.23652661180983797,0.48234037712846783,0.031351645388531475,0.01974877205890006,0.06476297473504312,1.003245049265724,49.45987654320987,1296,5,NO_CUT_SLICE_BALANCED,real,team1,3.6,3.6,3485,3485,DIP95,DIP95,0.48574314119729595,0.4255444956744912,0,,,0.0
3.4115272464125947,4.130233754695562,1.3724221820819882,8.764941928744092,20.651168773477806,4.973809435222133,7.191327964010158,1.2001617344459308,1.8627163919003165,1.6276775592687829,1.134588683059993,4.151982307009217,1.2195958553344364,53.85802469135802,1296,5,ALLPASS,real,team2,5.4,3.6,620,575,DIP95,DIP95,1.5244277279205252,1.7309769151395993,0,,1.0,0.0
-0.33186429330344175,-0.5979349157081688,-2.685182064982499,2.3840259171569813,-2.9896745785408445,4.879437566798131,8.978357684882303,0.47563850442347255,1.5778296590071799,-0.4540752224010023,-0.2771362528448381,-0.6127088496600352,0.9551975173811648,48.68827160493827,1296,5,SLICE_BALANCED,real,team2,5.4,3.6,620,575,DIP95,DIP95,0.8969237325928842,1.057152710072339,0,,0.76,0.0
5.847199058542037,6.495937256311997,2.571845944225706,11.801671039032561,32.47968628155999,3.764734163928928,7.2270506460909205,1.3660419523765215,1.7736714821997563,2.146450013699983,1.494791608721825,8.627351857339045,1.3223113902534285,54.4753086419753,1296,5,PER_SLICE_CUT,real,team2,5.4,3.6,168,129,DIP95,DIP95,1.123737583900386,1.4229221112160797,0,56.0,1.0,0.0
13.603004856629564,14.774513425780736,11.618821756204515,20.435571004360114,73.87256712890368,2.0930631196799823,3.6858395948745035,0.9077833464226193,0.7339599116295707,6.461556592656508,3.546484104580846,35.29399874964038,1.8801513707760884,57.56172839506173,1296,5,NO_CUT,real,team2,5.4,3.6,3485,3485,DIP95,DIP95,1.5946323164719733,1.6959997631141646,0,,,0.0
-0.5602509621545542,0.030272108826383648,-1.0882740212744495,2.5982652116152787,0.15136054413191924,2.3371462591266354,5.30133927120509,0.354789917714757,0.7235105656927018,0.03135164538853154,0.0197487720589001,0.06476297473504329,1.003245049265724,49.45987654320987,1296,5,NO_CUT_SLICE_BALANCED,real,team2,5.4,3.6,3485,3485,DIP95,DIP95,0.728614711795944,0.6383167435117368,0,,,0.04
