driver,block,group,days,mean_level,mean_chg21,sep_level,sep_chg,real,n_shifts,null_mean,null_sd,rank_of_real,n_compared,p
B MOVE,is,crisis,356.0,100.46067403943351,8.661966216698122,0.28617778436378294,0.596534989751847,,,,,,,
B MOVE,is,trend-leaning,1320.0,96.13796969327059,-1.105315154125587,0.19406971968141423,-0.07405533010819142,,,,,,,
B MOVE,is,range-leaning,1625.0,87.82548921320989,-1.7354075272185652,-0.29649763321902,-0.159756244645498,,,,,,,
B MOVE,oos,crisis,324.0,101.88092573189441,10.379012366871775,0.9061111520186013,0.7786551784243038,,,,,,,
B MOVE,oos,trend-leaning,680.0,81.29894119150498,-2.63354419259464,0.0797235505028294,-0.23375344273575763,,,,,,,
B MOVE,oos,range-leaning,1645.0,74.57664432931453,-0.9489847965878194,-0.4779162904944728,-0.16564973320049126,,,,,,,
B,is,range-leaning,,,,,,-0.29649763321902,50.0,0.0387035911424112,0.2561240324706346,12.0,51.0,0.23529411764705882
B,oos,range-leaning,,,,,,-0.4779162904944728,50.0,0.026917281487548583,0.16026261667409342,1.0,51.0,0.0196078431372549
