pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
EURUSD,2016-03-24,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDCHF,2016-03-24,1,1.0,-1,-0.24999999999999883,-0.24999999999999883,NZD,CHF
NZDJPY,2016-03-24,1,1.0,1,0.04621212121212123,0.04621212121212123,NZD,JPY
USDCHF,2016-03-24,2,3.0,-1,0.07463098284013893,0.2238929485204168,USD,CHF
EURUSD,2016-03-25,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDCHF,2016-03-25,1,1.0,-1,-0.24999999999999883,-0.24999999999999883,NZD,CHF
NZDJPY,2016-03-25,1,1.0,1,0.04621212121212123,0.04621212121212123,NZD,JPY
USDCHF,2016-03-25,2,3.0,-1,0.07463098284013893,0.2238929485204168,USD,CHF
EURUSD,2016-03-28,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDCHF,2016-03-28,1,1.0,-1,-0.24999999999999883,-0.24999999999999883,NZD,CHF
NZDJPY,2016-03-28,1,1.0,1,0.04621212121212123,0.04621212121212123,NZD,JPY
USDCHF,2016-03-28,2,3.0,-1,0.2598214285714283,0.7794642857142849,USD,CHF
EURUSD,2016-03-29,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDCHF,2016-03-29,1,1.0,-1,-0.24999999999999883,-0.24999999999999883,NZD,CHF
NZDJPY,2016-03-29,1,1.0,1,0.04621212121212123,0.04621212121212123,NZD,JPY
NZDUSD,2016-03-29,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
USDCHF,2016-03-29,2,3.0,-1,0.2598214285714283,0.7794642857142849,USD,CHF
EURUSD,2016-03-30,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDJPY,2016-03-30,2,3.0,1,0.04621212121212123,0.1386363636363637,NZD,JPY
NZDUSD,2016-03-30,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
USDCHF,2016-03-30,2,3.0,-1,0.2598214285714283,0.7794642857142849,USD,CHF
AUDCHF,2016-03-31,1,1.0,-1,0.030279722090081104,0.030279722090081104,AUD,CHF
EURUSD,2016-03-31,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDJPY,2016-03-31,1,1.0,1,-0.06666666666666671,-0.06666666666666671,NZD,JPY
NZDUSD,2016-03-31,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
USDCHF,2016-03-31,2,3.0,-1,0.2598214285714283,0.7794642857142849,USD,CHF
AUDCHF,2016-04-01,1,1.0,-1,0.030279722090081104,0.030279722090081104,AUD,CHF
EURUSD,2016-04-01,1,1.0,1,0.1391941391941393,0.1391941391941393,EUR,USD
NZDJPY,2016-04-01,1,1.0,1,-0.06666666666666671,-0.06666666666666671,NZD,JPY
NZDUSD,2016-04-01,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
