,real_score,holdout_pick_members,holdout_in_sample,holdout_out_sample,full_team_on_holdout,random_n,random_mean,random_p95,random_max,random_pctile_of_real,greedy_null_n,greedy_null_mean,greedy_null_p95,greedy_null_max,greedy_null_p_value,greedy_null_p_resolution
team1_W3ONLY_ADOPTED,22.815765013429292,21.0,41.83469891943186,3.331721811206037,17.545148753522085,1000.0,7.977522593177307,10.179721814216668,12.059737335003902,100.0,25.0,22.794718526804488,23.964548805676337,24.631042171651707,0.6,0.04
team2_W3ONLY_ADOPTED,34.20183648067728,21.0,62.763182964405814,4.981685787348461,26.196076614929417,1000.0,11.982457346778526,15.012684430290875,17.282956318941277,100.0,25.0,34.577923770290724,36.05347850073586,36.378000025338224,0.68,0.04
