pair,n,share_trending,med_trending,mean_trending,max_trending,share_ranging,med_ranging,mean_ranging,max_ranging,share_trend-in-range,med_trend-in-range,mean_trend-in-range,max_trend-in-range,share_neither,med_neither,mean_neither,max_neither,c_medium ranging,c_strong trending,c_weak neither,c_weak ranging,c_medium trending,c_strong ranging,c_medium neither,c_weak trending,c_strong trend-in-range,c_medium trend-in-range,c_weak trend-in-range,c_strong neither,trendiness,block
EURGBP,3223,0.30096183679801425,21.5,32.333333333333336,121,0.3201985727582997,25.5,39.69230769230769,122,0.15017064846416384,17.0,17.925925925925927,40,0.22866894197952217,20.5,24.566666666666666,82,0.14165890027958994,0.13886300093196646,0.13233923578751164,0.10065237651444547,0.09412861136999068,0.07673190431811122,0.07486797141969556,0.07362534948741846,0.07362534948741846,0.051568810189499846,0.02205653929791861,0.019881950916433674,-0.019236735960285467,is
EURAUD,3312,0.28804347826086957,19.0,43.36363636363637,245,0.3016304347826087,25.0,32.225806451612904,170,0.20742753623188406,17.0,21.46875,64,0.2028985507246377,16.5,25.846153846153847,87,0.11970979443772672,0.1375453446191052,0.11880290205562273,0.13029020556227328,0.08464328899637243,0.05441354292623942,0.05078597339782346,0.06892382103990327,0.08796856106408706,0.094316807738815,0.022067714631197097,0.03053204353083434,-0.013586956521739135,is
EURNZD,3332,0.3199279711884754,32.0,42.64,147,0.2995198079231693,21.0,33.266666666666666,95,0.1524609843937575,16.0,20.32,48,0.22809123649459784,18.5,21.11111111111111,62,0.10860409145607701,0.12274368231046931,0.13898916967509026,0.1022864019253911,0.1305655836341757,0.0914560770156438,0.052948255114320095,0.06678700361010831,0.07641395908543923,0.05806257521058965,0.019253910950661854,0.031889290012033694,0.02040816326530609,is
EURUSD,3217,0.38669567920422754,30.0,42.89655172413793,222,0.23313646254274167,20.0,35.714285714285715,86,0.2197699720236245,14.0,24.379310344827587,111,0.1603978862294063,24.0,27.157894736842106,115,0.07936507936507936,0.16775599128540306,0.10582010582010581,0.11142234671646437,0.1384998443821973,0.03983815748521631,0.05197634609399315,0.08341114223467165,0.10021786492374728,0.07469654528478058,0.03983815748521631,0.0071584189231248055,0.15355921666148586,is
EURCAD,3283,0.29393847091075237,30.0,38.6,136,0.3049040511727079,23.0,40.04,143,0.2232713981114834,17.0,25.275862068965516,115,0.17788607980505636,15.0,21.62962962962963,65,0.11039951204635559,0.1238182372674596,0.08844159804818542,0.12717291857273558,0.12137846904544068,0.07288807563281488,0.05702958218969198,0.05275998780115889,0.09149130832570906,0.07837755413235743,0.047270509301616345,0.028972247636474536,-0.010965580261955543,is
EURCHF,3322,0.31426851294400965,27.0,47.45454545454545,167,0.36032510535821793,39.0,54.40909090909091,254,0.18874172185430463,18.0,21.620689655172413,61,0.1366646598434678,21.5,32.42857142857143,111,0.148583484026522,0.12176009644364075,0.06751054852320675,0.12839059674502712,0.09342977697408077,0.08107293550331525,0.038577456298975285,0.10096443640747438,0.09101868595539482,0.06419529837251356,0.03134418324291742,0.033152501506931886,-0.046056592414208286,is
EURJPY,3248,0.29802955665024633,30.0,38.72,160,0.3291256157635468,40.5,53.45,153,0.19704433497536947,23.5,24.615384615384617,56,0.17580049261083744,20.0,28.55,72,0.14519112207151666,0.13070283600493218,0.0749075215782984,0.12854500616522813,0.08662145499383476,0.054870530209617754,0.06781750924784218,0.07953144266337854,0.08076448828606658,0.06935881627620222,0.04315659679408138,0.038532675709001235,-0.03109605911330049,is
GBPAUD,3312,0.3040458937198068,23.5,31.46875,79,0.3016304347826087,35.5,55.5,145,0.22041062801932368,20.0,23.548387096774192,133,0.17391304347826086,25.5,26.181818181818183,63,0.11577992744860943,0.1333131801692866,0.07920193470374849,0.12605804111245467,0.08978234582829504,0.06499395405078598,0.06650544135429262,0.08071342200725513,0.06922611850060459,0.08555018137847642,0.05955259975816203,0.029322853688029022,0.0024154589371980784,is
GBPNZD,3240,0.2558641975308642,25.0,30.703703703703702,74,0.3651234567901235,20.0,31.972972972972972,119,0.15092592592592594,15.0,18.807692307692307,49,0.2280864197530864,16.0,21.114285714285714,65,0.14930448222565687,0.14837712519319937,0.1338485316846986,0.14930448222565687,0.0553323029366306,0.06862442040185471,0.08006182380216384,0.05038639876352396,0.07635239567233384,0.06553323029366306,0.0077279752704791345,0.015146831530139104,-0.10925925925925928,is
GBPUSD,3286,0.32288496652465004,24.0,40.80769230769231,202,0.290626902008521,20.0,30.806451612903224,127,0.19933049300060865,13.0,21.129032258064516,106,0.18715763846622033,17.5,21.964285714285715,71,0.12766605728214503,0.1319317489335771,0.08196221815965875,0.11365021328458257,0.09963436928702012,0.04783668494820231,0.0874466788543571,0.08683729433272395,0.09689213893967093,0.07038391224862889,0.03473491773308958,0.02102376599634369,0.03225806451612906,is
