pair,n,share_trending,med_trending,mean_trending,max_trending,share_ranging,med_ranging,mean_ranging,max_ranging,share_trend-in-range,med_trend-in-range,mean_trend-in-range,max_trend-in-range,share_neither,med_neither,mean_neither,max_neither,c_medium ranging,c_strong trending,c_weak neither,c_weak ranging,c_medium trending,c_strong ranging,c_medium neither,c_weak trending,c_strong trend-in-range,c_medium trend-in-range,c_weak trend-in-range,c_strong neither,trendiness,block
GBPCAD,3337,0.2577165118369793,22.0,31.85185185185185,113,0.42103685945459995,38.0,54.03846153846154,217,0.2070722205573869,19.5,23.033333333333335,86,0.11417440815103386,17.0,20.05263157894737,70,0.1692169216921692,0.1077107710771077,0.0576057605760576,0.15751575157515751,0.09060906090609061,0.1005100510051005,0.025502550255025503,0.0612061206120612,0.08790879087908791,0.0669066906690669,0.0462046204620462,0.029102910291029103,-0.16332034761762065,is
GBPCHF,3312,0.2524154589371981,18.0,30.962962962962962,105,0.37228260869565216,24.0,39.774193548387096,300,0.20199275362318841,17.0,20.272727272727273,61,0.17330917874396135,20.0,22.076923076923077,85,0.18228536880290205,0.1094316807738815,0.10429262394195889,0.12182587666263603,0.07587666263603386,0.07073760580411124,0.044437726723095525,0.06801692865779928,0.11154776299879081,0.062273276904474005,0.034159613059250304,0.015114873035066506,-0.11986714975845408,is
GBPJPY,3330,0.3204204204204204,28.5,44.458333333333336,217,0.3267267267267267,21.0,35.096774193548384,203,0.16636636636636637,17.0,19.785714285714285,65,0.1864864864864865,18.5,25.875,114,0.1518340348767288,0.12928442573662058,0.10463018641010223,0.09981960312687914,0.09801563439567047,0.0703547805171377,0.0661455201443175,0.0974143114852676,0.06464221286831029,0.0814792543595911,0.021346963319302466,0.01503307276007216,-0.006306306306306297,is
AUDNZD,3143,0.3149856824689787,17.0,28.285714285714285,133,0.2936684696150175,21.0,40.130434782608695,178,0.2010817690104995,15.0,18.057142857142857,43,0.19026407890550429,20.0,22.14814814814815,48,0.1216948072634597,0.14176489327811406,0.09302325581395349,0.12456196240841032,0.11946479770627588,0.04491876393755973,0.07104173303599873,0.05160879260911118,0.10512902198152278,0.048423064670277155,0.051927365402994585,0.026441541892322395,0.021317212853961154,is
AUDUSD,3182,0.36486486486486486,31.0,43.0,152,0.325267127592709,29.0,49.285714285714285,242,0.15493400377121308,14.0,16.433333333333334,53,0.15493400377121308,24.0,23.476190476190474,62,0.08887488181531673,0.14339741569492595,0.07122596911440278,0.14907028049164828,0.13740939174283012,0.09517806492278601,0.05956508036558462,0.08982035928143713,0.04380712259691144,0.07217144658052316,0.03183107469271983,0.01764891270091396,0.039597737272155875,is
AUDCAD,3337,0.31285585855558884,23.0,34.8,115,0.29877135151333534,24.0,36.925925925925924,196,0.2049745280191789,20.0,26.307692307692307,99,0.18339826191189693,19.0,18.545454545454547,41,0.1224122412241224,0.1641164116411641,0.08040804080408041,0.1257125712571257,0.096009600960096,0.059705970597059704,0.0675067506750675,0.05520552055205521,0.06930693069306931,0.08040804080408041,0.0519051905190519,0.027302730273027303,0.014084507042253502,is
AUDCHF,3223,0.2727272727272727,20.5,29.3,125,0.2659013341607198,15.5,26.78125,110,0.22432516289171578,22.0,26.77777777777778,70,0.23704623022029164,16.5,23.875,73,0.0966138552345449,0.1199130164647406,0.11711711711711711,0.11276794035414725,0.08822615719167444,0.05498602050326188,0.08543025784405095,0.06244175209692451,0.09350730040385213,0.09040074557315937,0.04318111214662939,0.035414725069897485,0.0068259385665528916,is
AUDJPY,3310,0.33051359516616313,21.0,35.29032258064516,114,0.26706948640483386,24.0,32.74074074074074,139,0.1595166163141994,15.0,16.0,30,0.24290030211480362,18.5,26.8,89,0.10102843315184513,0.1648517846339988,0.13520871143375682,0.11645493042952208,0.10072595281306715,0.05414398064125832,0.0852994555353902,0.06352087114337568,0.07622504537205081,0.07168784029038112,0.008166969147005444,0.022686025408348458,0.06344410876132928,is
NZDUSD,3209,0.39326893113119354,24.0,40.70967741935484,169,0.27983795574945464,24.0,35.92,96,0.13088189467123715,12.0,16.153846153846153,42,0.19601121844811467,23.0,27.347826086956523,60,0.11950078003120125,0.17722308892355695,0.12012480499219969,0.11638065522620905,0.14477379095163806,0.047737909516380655,0.053978159126365055,0.07363494539781591,0.0483619344773791,0.05429017160686427,0.024024960998439936,0.019968798751950078,0.11343097538173891,is
NZDCAD,3235,0.2717156105100464,17.5,27.46875,108,0.22967542503863989,14.0,25.620689655172413,147,0.2652241112828439,22.0,26.8125,134,0.23338485316846985,19.0,25.166666666666668,78,0.1194676570721139,0.17177344475394615,0.11420612813370473,0.0947075208913649,0.06592386258124419,0.025069637883008356,0.08387496131228722,0.03744970597338285,0.07582791705354379,0.10925410089755494,0.070875889817394,0.031569173630454965,0.042040185471406505,is
NZDCHF,3337,0.2759964039556488,23.5,30.7,124,0.30236739586454897,20.0,34.793103448275865,143,0.209469583458196,14.0,20.558823529411764,92,0.21216661672160622,19.0,20.228571428571428,54,0.12725090036014405,0.12635054021608644,0.09453781512605042,0.10714285714285714,0.093937575030012,0.06092436974789916,0.09003601440576231,0.056422569027611044,0.08883553421368548,0.07052821128451381,0.04951980792316927,0.03451380552220888,-0.026370991908900188,is
NZDJPY,3298,0.35779260157671317,26.0,32.77777777777778,184,0.2859308671922377,18.0,41.0,312,0.19223771983020013,15.0,19.21212121212121,62,0.164038811400849,14.0,19.321428571428573,57,0.09483282674772037,0.1595744680851064,0.0696048632218845,0.14832826747720365,0.13282674772036474,0.04468085106382979,0.04772036474164134,0.0729483282674772,0.06443768996960486,0.09604863221884498,0.031914893617021274,0.03708206686930091,0.07186173438447546,is
USDCAD,3238,0.34465719579987647,19.0,36.0,121,0.31068560840024706,16.0,35.92857142857143,141,0.16306361951822113,16.0,17.6,49,0.18159357628165534,23.0,28.0,96,0.13203463203463203,0.18336425479282623,0.08565244279529993,0.15213358070500926,0.1038961038961039,0.026901669758812616,0.0720470006184292,0.061533704390847245,0.07235621521335807,0.05287569573283859,0.032467532467532464,0.024737167594310452,0.03397158739962941,is
USDCHF,3298,0.30473013947847183,17.5,31.40625,114,0.2971497877501516,20.0,32.666666666666664,110,0.19739235900545785,16.0,20.34375,62,0.20072771376591875,16.0,21.35483870967742,68,0.1340018231540565,0.16529930112427835,0.11273169249468247,0.14068672136128837,0.09115770282588878,0.028562746885445155,0.06472196900638104,0.04800972348830143,0.07657247037374658,0.07687632938316621,0.04223640230932847,0.019143117593436645,0.007580351728320223,is
USDJPY,3325,0.3335338345864662,21.0,41.074074074074076,162,0.31819548872180453,21.0,37.785714285714285,125,0.17533834586466165,18.0,21.59259259259259,51,0.17293233082706766,15.0,18.548387096774192,57,0.12285456187895212,0.16862390846130684,0.08039747064137308,0.1529659741041855,0.08099969888587774,0.045167118337850046,0.05721168322794339,0.08280638361939174,0.08702198133092443,0.06473953628425173,0.02710027100271003,0.030111412225233364,0.015338345864661651,is
CADCHF,3281,0.24931423346540688,32.5,34.083333333333336,138,0.3651325815300213,24.5,46.07692307692308,147,0.20969216702224933,16.0,24.571428571428573,82,0.17586101798232245,18.5,22.192307692307693,69,0.1334351145038168,0.13404580152671755,0.07145038167938932,0.166412213740458,0.0833587786259542,0.0717557251908397,0.06931297709923664,0.03755725190839695,0.08763358778625954,0.06045801526717557,0.05709923664122137,0.02748091603053435,-0.11581834806461444,is
CADJPY,3227,0.3198016733808491,23.0,32.25,120,0.3201115587232724,21.0,43.041666666666664,149,0.18159281066005578,15.0,16.742857142857144,38,0.17849395723582276,15.0,25.043478260869566,116,0.15284249767008387,0.14165890027958994,0.0966138552345449,0.11152531842187015,0.1015843429636533,0.05684995340167754,0.05684995340167754,0.0795278036657347,0.07393600497048773,0.0795278036657347,0.026405716060888474,0.02267785026405716,-0.00030988534242332166,is
CHFJPY,3242,0.2606415792720543,25.5,38.40909090909091,165,0.3531770512029611,29.0,39.48275862068966,160,0.19494139420111042,17.5,22.571428571428573,53,0.19123997532387416,17.0,24.8,65,0.1689314391599753,0.12970969734403953,0.09851760345892527,0.10562075355157505,0.08925262507720816,0.07875231624459543,0.06516368128474367,0.043545398394070414,0.0753551575046325,0.06948733786287832,0.043545398394070414,0.03211859172328598,-0.09253547193090683,is
EURGBP,2753,0.1456592807845986,22.0,26.733333333333334,84,0.4700326916091537,22.0,44.62068965517241,198,0.147838721394842,13.5,20.35,58,0.23646930621140574,21.0,26.04,70,0.16273156556483837,0.0523065746458409,0.13367235742826009,0.22012350163458047,0.04540501271340356,0.10897203051216854,0.07301126044315293,0.046857973120232474,0.057755176171449325,0.043952052306574646,0.034871049763893935,0.020341445695604796,-0.32437341082455506,oos
EURAUD,2753,0.2731565564838358,15.0,24.258064516129032,93,0.3403559752996731,32.5,46.85,150,0.1903378132945877,16.5,20.153846153846153,56,0.19614965492190337,20.0,23.47826086956522,73,0.11006175081729024,0.11696331274972757,0.07845986196876135,0.15365056302215765,0.08100254268071196,0.0701053396294951,0.08209226298583364,0.07845986196876135,0.0893570650199782,0.07628042135851798,0.025426807119505995,0.03814021067925899,-0.0671994188158373,oos
EURNZD,2753,0.2284780239738467,30.0,29.952380952380953,66,0.35016345804576826,42.5,48.2,137,0.1837994914638576,18.0,26.63157894736842,84,0.23755902651652744,18.0,24.22222222222222,65,0.1249545949872866,0.109698510715583,0.09008354522339267,0.15110788231020705,0.06719941881583727,0.0701053396294951,0.09335270613875772,0.0472212132219397,0.10098074827460951,0.0523065746458409,0.028332727933163823,0.06465673810388667,-0.12168543407192156,oos
EURUSD,2753,0.23646930621140574,18.0,26.04,117,0.3683254631311297,21.5,42.25,199,0.22557210316018889,20.0,22.178571428571427,75,0.1696331274972757,12.0,20.304347826086957,70,0.08754086451144207,0.08608790410461314,0.08790410461314929,0.2117689792953142,0.11042499091899746,0.06719941881583727,0.05521249545949873,0.04031965128950236,0.11950599346167817,0.06647293861242282,0.03596077006901562,0.03160188884852888,-0.13185615691972394,oos
EURCAD,2753,0.1914275335997094,22.0,35.13333333333333,185,0.40501271340355977,20.0,44.6,227,0.19578641482019615,22.5,24.5,60,0.20777333817653468,12.0,21.185185185185187,100,0.1452960406828914,0.0741009807482746,0.10860879041046131,0.16999636759898293,0.06865237922266618,0.08899382491827097,0.0650199782055939,0.0472212132219397,0.09153650563022157,0.05194333454413367,0.05266981474754813,0.03596077006901562,-0.21358517980385036,oos
EURCHF,2753,0.34289865601162367,27.5,39.333333333333336,135,0.3345441336723574,21.0,46.05,141,0.12967671630948058,12.0,17.85,51,0.1928804940065383,19.0,24.136363636363637,55,0.17580820922629858,0.17689792953142028,0.08754086451144207,0.09589538685070832,0.13367235742826009,0.06429349800217944,0.09371594624046495,0.032328369051943334,0.039593171086087904,0.07446422084998183,0.012350163458045769,0.013439883763167454,0.008354522339266257,oos
EURJPY,2753,0.36541954231747187,29.5,38.69230769230769,128,0.2637123138394479,22.0,31.565217391304348,123,0.15365056302215765,20.0,20.142857142857142,51,0.21721758082092263,13.0,22.14814814814815,74,0.13548855793679623,0.1365782782419179,0.10352342898656011,0.07882310207046858,0.19070105339629495,0.05702869596803487,0.0751907010533963,0.04504177261169633,0.04031965128950236,0.06538321830730112,0.03741373047584454,0.03450780966218671,0.10170722847802399,oos
GBPAUD,2753,0.2691609153650563,35.0,32.21739130434783,86,0.3792226661823465,26.0,45.391304347826086,153,0.15219760261532872,20.0,19.952380952380953,59,0.19941881583726845,20.0,26.142857142857142,65,0.1402106792589902,0.11078823102070469,0.11006175081729024,0.16273156556483837,0.09516890664729385,0.08209226298583364,0.06828913912095895,0.05448601525608427,0.05158009444242644,0.06429349800217944,0.03523428986560116,0.025063567017798764,-0.1100617508172902,oos
GBPNZD,2753,0.1965128950236106,17.0,31.823529411764707,151,0.33490737377406465,24.0,34.148148148148145,186,0.2284780239738467,23.0,25.16,73,0.240101707228478,16.0,25.423076923076923,74,0.10824555030875409,0.11006175081729024,0.09698510715583,0.16745368688703233,0.04794769342535416,0.0599346167816927,0.10061750817290228,0.0370504903741373,0.1300399564111878,0.0599346167816927,0.039593171086087904,0.042135851798038505,-0.13839447875045405,oos
GBPUSD,2753,0.32037776970577553,16.0,27.5625,110,0.278241917907737,24.0,36.476190476190474,112,0.20305121685434072,16.0,19.275862068965516,66,0.19832909553214675,21.0,23.73913043478261,68,0.11078823102070469,0.14892844169996367,0.1365782782419179,0.1427533599709408,0.10352342898656011,0.02687976752633491,0.05630221576462041,0.05557573556120596,0.07809662186705413,0.08281874318924809,0.03814021067925899,0.01961496549219034,0.042135851798038526,oos
GBPCAD,2753,0.21721758082092263,23.0,31.473684210526315,105,0.44605884489647657,32.0,49.12,142,0.1503814021067926,12.5,18.818181818181817,63,0.1863421721758082,21.0,23.318181818181817,72,0.1427533599709408,0.08681438430802761,0.11006175081729024,0.20777333817653468,0.08136578278241918,0.09589538685070832,0.060297856883399926,0.046131492916818014,0.09407918634217217,0.027243007628042135,0.027969487831456592,0.01961496549219034,-0.22884126407555394,oos
GBPCHF,2753,0.2270250635670178,20.0,31.25,98,0.43225572103160187,39.0,59.5,197,0.14602252088630585,18.0,19.142857142857142,67,0.19469669451507446,24.0,25.523809523809526,70,0.1910642934980022,0.09589538685070832,0.08717762440973484,0.1798038503450781,0.09371594624046495,0.06211405739193607,0.0573919360697421,0.036687250272430076,0.058481656374863786,0.05158009444242644,0.03450780966218671,0.05158009444242644,-0.20523065746458408,oos
GBPJPY,2753,0.30294224482382853,23.0,33.36,92,0.3952052306574646,26.0,49.45454545454545,198,0.16236832546313112,17.5,17.192307692307693,44,0.13948419905557574,12.0,18.285714285714285,46,0.147838721394842,0.12277515437704323,0.04504177261169633,0.17435524881946968,0.09335270613875772,0.071558300036324,0.08281874318924809,0.08499818379949146,0.06647293861242282,0.06647293861242282,0.030512168543407193,0.013803123864874683,-0.09226298583363607,oos
AUDNZD,2753,0.32836905194333454,27.0,36.16,120,0.37232110424990916,28.0,53.94736842105263,260,0.12459135488557936,11.0,13.72,37,0.1747184889211769,23.0,25.31578947368421,67,0.15873592444605886,0.15655648383581547,0.09371594624046495,0.1620050853614239,0.09698510715583,0.05194333454413367,0.05266981474754813,0.07482746095168907,0.04758445332364693,0.03741373047584454,0.034871049763893935,0.03269160915365056,-0.04395205230657462,oos
AUDUSD,2753,0.21612786051580093,16.0,23.8,98,0.31311296767163094,16.5,33.15384615384615,124,0.1554667635306938,14.0,20.38095238095238,71,0.3152924082818743,25.0,26.303030303030305,78,0.14638576098801306,0.0955321467490011,0.13185615691972394,0.10897203051216854,0.0726480203414457,0.061387577188521614,0.15001816200508536,0.048674173628768615,0.07737014166363966,0.04758445332364693,0.027606247729749366,0.03196512895023611,-0.09698510715583,oos
AUDCAD,2753,0.240101707228478,27.5,30.045454545454547,108,0.2509989102796949,21.0,34.55,117,0.1965128950236106,20.0,33.8125,151,0.3123864874682165,22.0,26.875,67,0.07301126044315293,0.11696331274972757,0.16926988739556847,0.11805303305484925,0.06538321830730112,0.0548492553577915,0.09880130766436615,0.05194333454413367,0.12422811478387213,0.03378132945877225,0.03596077006901562,0.057755176171449325,-0.010897203051216886,oos
AUDCHF,2753,0.3098438067562659,27.0,34.12,193,0.3661460225208863,20.0,40.32,121,0.12059571376679985,13.0,15.090909090909092,36,0.20341445695604796,21.0,22.4,52,0.1885216127860516,0.15764620414093716,0.0599346167816927,0.11260443152924082,0.09589538685070832,0.05920813657827824,0.08826734471485652,0.06574645840900835,0.04576825281511079,0.04831093352706139,0.01888848528877588,0.05920813657827824,-0.05630221576462041,oos
AUDJPY,2753,0.31565564838358157,17.5,27.15625,125,0.29531420268797676,22.5,27.1,102,0.22484562295677443,20.0,22.107142857142858,58,0.16418452597166727,13.0,16.74074074074074,46,0.15619324373410826,0.17362876861605522,0.06901561932437342,0.08318198329095532,0.07228478023973847,0.0650199782055939,0.05702869596803487,0.07991282237559026,0.09153650563022157,0.08863058481656375,0.03922993098438068,0.024337086814384307,0.02034144569560481,oos
NZDUSD,2753,0.21358517980385033,14.5,22.615384615384617,86,0.35270613875771883,24.0,35.96296296296296,138,0.17617144932800582,16.5,18.653846153846153,50,0.257537232110425,18.0,21.484848484848484,70,0.17508172902288413,0.10897203051216854,0.11805303305484925,0.12786051580094443,0.06356701779876499,0.05194333454413367,0.10570286959680349,0.03777697057755176,0.07591718125681075,0.06102433708681439,0.03995641118779513,0.034144569560479475,-0.1391209589538685,oos
NZDCAD,2753,0.26443879404286236,19.5,36.4,159,0.3490737377406466,47.0,50.578947368421055,154,0.16018888485288776,16.5,22.05,85,0.22629858336360334,21.0,31.15,91,0.12640755539411552,0.1314929168180167,0.10388666908826734,0.15365056302215765,0.07119505993461678,0.0675626589175445,0.07628042135851798,0.061387577188521614,0.08390846349436978,0.04903741373047584,0.03196512895023611,0.043225572103160186,-0.08463494369778424,oos
NZDCHF,2753,0.26625499455139845,27.0,33.31818181818182,105,0.37740646567381037,33.0,45.17391304347826,140,0.21140573919360697,16.0,21.555555555555557,60,0.14493280058118416,20.0,19.95,47,0.1438430802760625,0.12931347620777334,0.03777697057755176,0.14239011986923356,0.09371594624046495,0.08972030512168544,0.0548492553577915,0.051216854340719216,0.08245550308754086,0.08427170359607701,0.039593171086087904,0.05085361423901199,-0.11115147112241192,oos
NZDJPY,2753,0.2397384671267708,15.0,26.4,83,0.3073011260443153,22.0,31.333333333333332,107,0.18452597166727205,20.0,24.19047619047619,73,0.26843443516164184,17.0,23.09375,94,0.1482019614965492,0.13984743915728295,0.0918997457319288,0.10897203051216854,0.06719941881583727,0.05012713403559753,0.11405739193606974,0.03160188884852888,0.09262622593534327,0.07555394115510353,0.01634580457682528,0.06356701779876499,-0.06756265891754451,oos
USDCAD,2753,0.24845622956774427,27.5,34.2,142,0.434071921540138,22.0,44.25925925925926,190,0.13585179803850345,13.0,14.96,48,0.18162005085361424,15.0,23.80952380952381,83,0.19324373410824555,0.08318198329095532,0.10170722847802398,0.18416273156556484,0.09843806756265892,0.06284053759535052,0.05884489647657101,0.0777333817653469,0.039593171086087904,0.07083181983290955,0.01852524518706865,0.010897203051216855,-0.18561569197239375,oos
USDCHF,2753,0.17108608790410462,18.0,19.625,51,0.3941155103523429,23.0,38.75,198,0.18815837268434435,20.0,24.666666666666668,86,0.24664002905920815,19.0,23.413793103448278,59,0.18924809298946604,0.09989102796948783,0.11587359244460589,0.15001816200508536,0.05884489647657101,0.05884489647657101,0.08536142390119869,0.010533962949509626,0.0777333817653469,0.0777333817653469,0.03559752996730839,0.04031965128950236,-0.22302942244823826,oos
USDJPY,2753,0.37450054486015255,27.5,39.65384615384615,133,0.2775154377043226,23.5,34.72727272727273,151,0.2117689792953142,20.5,29.15,103,0.1362150381402107,16.0,19.736842105263158,67,0.08281874318924809,0.14747548129313476,0.08754086451144207,0.14202687976752634,0.1529240828187432,0.05557573556120596,0.03196512895023611,0.07991282237559026,0.07664366146022521,0.10243370868143843,0.02615328732292045,0.01452960406828914,0.09698510715582997,oos
CADCHF,2753,0.18815837268434435,16.0,20.72,68,0.4591354885579368,36.0,63.2,256,0.1503814021067926,16.0,23.0,68,0.20232473665092626,17.0,22.28,64,0.16236832546313112,0.10570286959680349,0.11660007264802034,0.20232473665092626,0.05557573556120596,0.10098074827460951,0.0675626589175445,0.027969487831456592,0.06356701779876499,0.03741373047584454,0.046131492916818014,0.013803123864874683,-0.2709771158735924,oos
CADJPY,2753,0.33127497275699236,25.0,33.77777777777778,140,0.28369051943334544,24.5,27.892857142857142,108,0.2001452960406829,19.0,20.40740740740741,60,0.1848892117689793,14.0,17.551724137931036,42,0.10170722847802398,0.12967671630948058,0.10316018888485289,0.14638576098801306,0.12204867417362877,0.0370504903741373,0.0650199782055939,0.08354522339266254,0.10897203051216854,0.07737014166363966,0.012713403559752997,0.012350163458045769,0.047584453323646914,oos
CHFJPY,2753,0.35016345804576826,23.0,34.42857142857143,113,0.26698147475481293,26.0,36.75,117,0.2026879767526335,20.0,22.32,65,0.18016709044678533,22.0,23.61904761904762,55,0.109698510715583,0.1569197239375227,0.0904467853250999,0.122411914275336,0.14493280058118416,0.03850345078096622,0.055938975662913185,0.056665455866327645,0.060297856883399926,0.06974209952778787,0.060297856883399926,0.034144569560479475,0.08318198329095533,oos
EURGBP,5976,0.22941767068273092,22.0,30.466666666666665,121,0.3892235609103079,24.0,42.29090909090909,198,0.14909638554216867,17.0,18.95744680851064,58,0.2322623828647925,20.5,25.703703703703702,82,0.15137307434695244,0.09896182183523108,0.13295378432685867,0.15572672471533824,0.07166778298727394,0.09159410582719357,0.0740120562625586,0.06128600133958473,0.06630944407233758,0.048057602143335564,0.02796383121232418,0.020093770931011386,-0.159805890227577,all
EURAUD,6065,0.2812860676009893,17.0,32.18867924528302,245,0.3192085737840066,26.0,37.96078431372549,170,0.19967023907666942,16.5,20.879310344827587,64,0.19983511953833472,20.0,25.25,87,0.11532750371225871,0.12819666721663092,0.10047846889952153,0.14090084144530607,0.08298960567563109,0.061540999835010726,0.0650057746246494,0.07325523840950338,0.0885992410493318,0.0861244019138756,0.023593466424682397,0.03398779079359841,-0.03792250618301729,all
EURNZD,6085,0.27855382087099423,30.5,36.84782608695652,147,0.32243221035332786,28.0,39.24,137,0.1666392769104355,16.5,23.045454545454547,84,0.2323746918652424,17.5,22.806451612903224,74,0.11601118973177554,0.11683396412703637,0.11683396412703637,0.1244034885634359,0.10185947013328946,0.08178377488892545,0.07125226262958696,0.05792331742636169,0.0875431956557512,0.05545499424057923,0.023366792825407275,0.04673358565081455,-0.043878389482333635,all
EURUSD,5970,0.3174204355108878,19.0,35.092592592592595,222,0.29547738693467335,20.5,40.09090909090909,199,0.22244556113902847,16.0,23.29824561403509,111,0.16465661641541038,17.0,23.404761904761905,115,0.08313778075762655,0.13007039892725444,0.09755279919544083,0.1577271203486423,0.1255447536037546,0.052463962453905465,0.053469661414683206,0.0635266510224606,0.10911833724438484,0.07090177673483071,0.038048944016091185,0.01843781428092524,0.02194304857621443,all
EURCAD,6036,0.24718356527501656,24.0,37.3,185,0.35056328694499667,21.5,42.32,227,0.21073558648111332,17.0,24.941176470588236,115,0.19151756129887343,15.0,21.81132075471698,100,0.1263262599469496,0.10112732095490716,0.09764588859416445,0.14671750663129973,0.09731432360742706,0.08023872679045092,0.0606763925729443,0.05023209549071618,0.09151193633952255,0.06631299734748011,0.04973474801061008,0.03216180371352785,-0.1033797216699801,all
EURCHF,6075,0.32724279835390946,28.0,44.17777777777778,167,0.348641975308642,27.5,50.42857142857143,254,0.16197530864197532,17.0,20.081632653061224,61,0.16213991769547326,19.5,27.36111111111111,111,0.1609290067534179,0.1467633009388898,0.07659364190413441,0.1136550815351672,0.1116784714215121,0.07346400922418053,0.06358095865590513,0.06984022401581289,0.06769889639268654,0.06885191895898533,0.022731016307033437,0.02421347389227475,-0.021399176954732535,all
