budget,structure,real_median_year,n,null_mean,null_p95,null_max,pctile_of_real,p_value,p_resolution,mean_members_step1,mean_members_step2
team1,ALLPASS,2.8480301776916295,25,4.648666094863704,5.877758254880923,6.6159437678520305,0.0,1.0,0.04,2323.0,2142.0
team1,FAMILY_CAP,-0.41870906912136846,25,-0.2828270781468061,0.6144186652805432,0.9354635957747699,28.000000000000004,0.72,0.04,20.6,21.28
team1,PICKED,3.0423920351223845,25,2.089296880829261,5.387891834668789,7.359605413210348,68.0,0.32,0.04,15.6,19.76
team1,STABLE,1.2416314535558854,25,3.372130973452724,4.0896420194331125,4.179125727166244,0.0,1.0,0.04,1888.0,40.0
team2,ALLPASS,4.272045266537443,25,6.972999142295557,8.816637382321383,9.923915651778046,0.0,1.0,0.04,2323.0,2142.0
team2,FAMILY_CAP,-0.6280636036820527,25,-0.42424061722020917,0.9216279979208146,1.403195393662155,28.000000000000004,0.72,0.04,20.6,21.28
team2,PICKED,4.550047198556062,25,3.1249836364470287,8.081837752003182,10.747748241177533,68.0,0.32,0.04,15.6,19.76
team2,STABLE,1.8624471803338283,25,5.058196460179087,6.13446302914967,6.268688590749366,0.0,1.0,0.04,1888.0,40.0
