window,trade,stream,n,build_median_R,trade_median_R,share_positive,median_retention,passers_on_window,regime_dependent
2011-2014,2016,routed,104,0.44962025041922393,0.06595799099729041,0.625,0.15102955671588886,104,103
2011-2014,2016,allon,104,0.1240575492175408,-0.07070108073187134,0.3557692307692308,-0.4188687437024184,104,103
2012-2015,2017,routed,104,0.511490032016368,-0.08974202792784855,0.3942307692307692,-0.13027572161354775,104,104
2012-2015,2017,allon,104,0.19683451708413863,-0.00646812992885935,0.4807692307692308,-0.029304544215561258,104,104
2013-2016,2018,routed,104,0.4588580638877907,0.19650537274050506,0.7596153846153846,0.41900255348783,104,104
2013-2016,2018,allon,104,0.1645898145113378,0.07046416340653995,0.7788461538461539,0.45424550525292434,104,104
2014-2017,2019,routed,104,0.4192741315475423,-0.04657549547054855,0.4230769230769231,-0.08739434762256912,104,104
2014-2017,2019,allon,104,0.1353192176668781,-0.01050198894049155,0.47115384615384615,-0.05550831915196458,104,104
2015-2018,2020,routed,104,0.49928100298175626,0.07737472420000244,0.625,0.13676158877642974,101,102
2015-2018,2020,allon,104,0.18084574758531866,0.0105949078951849,0.5288461538461539,0.06307382537484306,101,102
