budget,structure,members_step1,members_step2,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,calmar,expectancy_pct_per_day,identity_null_mean,identity_p,randomentry_null_mean,randomentry_p
team1,ALLPASS,1094,1008,2.0608713257276725,0.4391789843251765,3.0224450987638445,0.7770097812881082,4.426655491270777,1.2057868489353674,1.659388709222278,4.001286457003138,0.009331534444999448,4.844768416608431,1.0,-0.1948937506679197,0.0
team1,STABLE,823,19,0.9377414152171376,-4.521292725599608,5.480899506727371,0.4383019931364979,5.982688256138664,0.9945248170769148,-0.045065756187998,-0.0455263252705778,-0.00019253488712856474,4.166238182620468,1.0,,
team1,PICKED,14,16,0.0892968562441827,-2.2817345205301045,6.252438423656118,1.5627900769698662,10.037128509510458,1.1125239609569673,0.9194358809578452,1.94891565835218,0.0094023727984153,5.519597776504127,0.96,,
team1,FAMILY_CAP,4,5,-1.0138588625666356,-2.128588155784499,3.9766894286095535,0.6282603904667505,7.266395073133838,0.947871366506688,-0.3029147792401493,-0.5393372383941187,-0.0016549202888714216,0.4739755257853829,0.96,,
team1,SLICE_BALANCED,1094,1008,0.6124875757571531,-1.489245143099431,2.6339004550496217,0.4055590686528498,3.8737140348279584,1.1641656798292366,1.480185713883051,3.1508990160752974,0.006403668481679114,,,,
team1,NO_CUT,4807,4807,5.020837480513013,4.592913202743977,2.012618558133976,0.5552661699483462,3.0895451417262407,1.5088226648055647,3.8993759353594895,14.467784731867503,0.022467694480280808,,,,
team1,NO_CUT_SLICE_BALANCED,4807,4807,5.815629336583578,4.9639161857886,2.2639098740727945,0.6879269705141259,3.4807257963014453,1.5334377593257222,4.0150392416920475,15.53214866676316,0.02713224130574978,,,,
team2,ALLPASS,1094,1008,3.0913069885915094,0.6587684764877649,4.533667648145791,1.1655146719321623,6.639983236906144,1.2057868489353674,1.6593887092222777,4.0012864570031175,0.01399730166749917,7.267152624912649,1.0,-0.2923406260018795,0.0
team2,STABLE,823,19,1.4066121228257065,-6.781939088399413,8.221349260091054,0.6574529897047469,8.974032384207986,0.9945248170769148,-0.0450657561879981,-0.0455263252705779,-0.00028880233069284757,6.249357273930702,1.0,,
team2,PICKED,14,16,0.1339452843662743,-3.4226017807951568,9.378657635484185,2.3441851154547995,15.055692764265697,1.1125239609569673,0.9194358809578452,1.9489156583521787,0.014103559197622954,8.219652428822785,0.96,,
team2,FAMILY_CAP,4,5,-1.5207882938499535,-3.1928822336767477,5.96503414291433,0.9423905857001258,10.89959260970075,0.9478713665066878,-0.3029147792401495,-0.539337238394119,-0.002482380433307134,0.7109632886780747,0.96,,
team2,SLICE_BALANCED,1094,1008,0.9187313636357292,-2.233867714649146,3.950850682574433,0.6083386029792747,5.810571052241939,1.1641656798292366,1.480185713883051,3.150899016075297,0.00960550272251867,,,,
team2,NO_CUT,4807,4807,7.531256220769518,6.889369804115966,3.0189278372009483,0.8328992549225194,4.634317712589337,1.5088226648055645,3.899375935359489,14.46778473186758,0.03370154172042121,,,,
team2,NO_CUT_SLICE_BALANCED,4807,4807,8.723444004875368,7.4458742786829,3.3958648111091847,1.0318904557711888,5.221088694452167,1.533437759325722,4.015039241692048,15.532148666763195,0.04069836195862467,,,,
