thresh,pairs_required,real,null_med,null_p90,null_max,null_mean,ratio,p_emp,carry_corr_real_vs_null
0.6,17,140,4.0,14.400000000000006,41,7.28,19.23076923076923,0.0196078431372549,-0.1414874687973696
0.65,19,139,4.0,12.400000000000006,40,6.9,20.144927536231883,0.0196078431372549,-0.14649859544428145
0.7,20,135,4.0,11.400000000000006,40,6.22,21.704180064308684,0.0196078431372549,-0.12054794972970356
0.75,21,120,3.0,11.200000000000003,35,5.64,21.27659574468085,0.0196078431372549,-0.15492199917506785
0.786,23,106,1.0,9.0,17,2.7,39.25925925925926,0.0196078431372549,-0.17209626057705527
0.821,23,83,1.0,9.0,17,2.7,30.74074074074074,0.0196078431372549,-0.14432993099513422
0.857,24,61,1.0,5.100000000000001,11,1.66,36.74698795180723,0.0196078431372549,-0.029456820727419817
0.893,26,29,0.0,1.0,3,0.32,90.625,0.0196078431372549,-0.013452343420532814
