tier,n,mfe,mae,bars,eff,ratio
all agree,1532,0.013734934372345457,-0.01634977997222062,9.913185378590079,0.2247859293722401,0.8400684532563765
fast apart,2529,0.013698346374297649,-0.015373835341054338,10.12850929221036,0.21939517106040096,0.891016852360682
medium apart,2182,0.014608540234915172,-0.015229753324913275,10.071952337305225,0.21718146689150927,0.9592105612779752
slow apart,2722,0.014513530340227296,-0.014872018078447208,10.039676708302718,0.2138076381338756,0.9758951517992411
all differ,2258,0.013626353899548357,-0.014991705423577847,10.074844995571302,0.2153326534941021,0.9089262038272066
