# SUPERSEDED 2026-09-10 -- CONFOUNDED. Kept as record, do not quote.
#
# This is the YEAR-SHUFFLED null for the walk-forward structures. It permutes
# calendar years and re-runs the whole walk. In a walk-forward that does destroy
# the persistence claim -- unlike the static-team version in l2teamcheck, which
# is a pure no-op -- but it ALSO changes WHICH YEARS GET TRADED, and the two
# halves of this decade are not comparable: 2011-2015 is far richer than
# 2016-2020 for this field.
#
# Measured on these 25 draws (team1 ALLPASS), null score against the number of
# 2011-2015 years the draw happened to trade:
#     1 rich year   3 draws   mean 3.357%
#     2 rich years 12 draws   mean 5.290%
#     3 rich years  7 draws   mean 6.837%
#     4 rich years  3 draws   mean 7.663%
# correlation 0.377, monotone. NONE of the 25 draws traded the real walk's
# composition of ZERO rich years, so the comparison is not like-for-like.
#
# Fitting null score on rich-years-traded and reading it at zero:
#     team1  null = 2.308 + 1.445 x (rich years)  ->  2.308% vs real 2.274%
#     team2  null = 3.465 + 2.164 x (rich years)  ->  3.465% vs real 3.412%
# raw p = 0.80 in both cases; confound-adjusted p = 0.52. The real walk sits ON
# the null once the years are matched, not far below it.
#
# REPLACED BY: walkforward_null_identity_3slice.csv, which holds the traded
# years fixed at 2016-2020 and permutes only the link between a strategy and its
# build-year metrics.
budget,structure,draw,score
team2,STABLE,1,0.5797889760029631
team2,PICKED,1,11.09202038736342
team2,FAMILY_CAP,1,4.381787902201949
team2,ALLPASS,2,11.41389349890703
team2,STABLE,2,2.319890490226119
team2,PICKED,2,6.256575870848225
team2,FAMILY_CAP,2,10.854283087884808
team2,ALLPASS,3,0.9426656437529536
team2,STABLE,3,0.664327513797782
team2,PICKED,3,4.776265669577496
team2,FAMILY_CAP,3,2.1460914160012425
team2,ALLPASS,4,6.052293052015954
team2,STABLE,4,-1.1819504777652665
team2,PICKED,4,2.454891555220967
team2,FAMILY_CAP,4,-0.38614499490765514
team2,ALLPASS,5,9.980534940292772
team2,STABLE,5,-0.17124481768823796
team2,PICKED,5,-0.42144927886596
team2,FAMILY_CAP,5,-0.4915432809296294
team2,ALLPASS,6,16.327507364644593
team2,STABLE,6,5.021080307526292
team2,PICKED,6,8.395851615404542
team2,FAMILY_CAP,6,6.111341550266585
team2,ALLPASS,7,15.551952129738874
team2,STABLE,7,4.0056346920617
team2,PICKED,7,12.124597342150114
team2,FAMILY_CAP,7,11.81284932151116
team2,ALLPASS,8,5.676860485202513
team2,STABLE,8,0.7038415647825039
team2,PICKED,8,0.5053952620241209
team2,FAMILY_CAP,8,-1.331573053381784
team2,ALLPASS,9,9.170833638129935
team2,STABLE,9,0.748517973524788
team2,PICKED,9,-1.8408252761791766
team2,FAMILY_CAP,9,5.707605194028098
team2,ALLPASS,10,4.9950589224336905
team2,STABLE,10,0.1980201175212781
team2,PICKED,10,-0.9669471663028948
team2,FAMILY_CAP,10,2.590753572870882
team2,ALLPASS,11,15.586108739898906
team2,STABLE,11,5.737112105898568
team2,PICKED,11,3.1234670783146123
team2,FAMILY_CAP,11,4.714487597558075
team2,ALLPASS,12,8.283112622854935
team2,STABLE,12,1.0117689917146822
team2,PICKED,12,3.1825359030722273
team2,FAMILY_CAP,12,-0.2642744052770054
team2,ALLPASS,13,5.954409056630712
team2,STABLE,13,0.4707237253743476
team2,PICKED,13,3.912981820354956
team2,FAMILY_CAP,13,-2.608314086484008
team2,ALLPASS,14,8.11507884671039
team2,STABLE,14,0.8093804791696563
team2,PICKED,14,6.32697465649583
team2,FAMILY_CAP,14,3.189975972086703
team2,ALLPASS,15,3.343882526090409
team2,STABLE,15,-0.5132726998410078
team2,PICKED,15,0.6060831120426076
team2,FAMILY_CAP,15,-1.2993473930712764
team2,ALLPASS,16,5.780460316870956
team2,STABLE,16,-1.7213628600332034
team2,PICKED,16,-2.3009922793463673
team2,FAMILY_CAP,16,0.1108246168296132
team2,ALLPASS,17,2.542058099673596
team2,STABLE,17,2.097144384726029
team2,PICKED,17,4.940113202716757
team2,FAMILY_CAP,17,0.9317830333722429
team2,ALLPASS,18,12.449817929907196
team2,STABLE,18,3.3548423899756172
team2,PICKED,18,12.105035113343401
team2,FAMILY_CAP,18,3.419019328315479
team2,ALLPASS,19,6.78200652185372
team2,STABLE,19,-0.031546464293941756
team2,PICKED,19,3.247270268728431
team2,FAMILY_CAP,19,0.2576280796675404
team2,ALLPASS,20,11.743101133080591
team2,STABLE,20,0.847947122980687
team2,PICKED,20,19.225795886372577
team2,FAMILY_CAP,20,7.208920560939614
team2,ALLPASS,21,5.288161844346084
team2,STABLE,21,-1.4146069060374769
team2,PICKED,21,3.696055490507049
team2,FAMILY_CAP,21,0.5998586260281119
team2,ALLPASS,22,15.144167211130576
team2,STABLE,22,2.599867397074829
team2,PICKED,22,3.5726328847093956
team2,FAMILY_CAP,22,4.963426406076734
team2,ALLPASS,23,1.9816512750216682
team2,STABLE,23,-0.7942378266698937
team2,PICKED,23,0.7244909533814159
team2,FAMILY_CAP,23,1.518990366784549
team2,ALLPASS,24,2.4190658909390503
team2,STABLE,24,1.7038060367550896
team2,PICKED,24,1.8275129635830654
team2,FAMILY_CAP,24,2.4303093534880524
