config_id,family,param_n_short,param_n_long,param_n,param_entry,n_tickers,mean_oos_sharpe,median_oos_sharpe,pct_positive,mean_trades,mean_is_sharpe,sharpe_decay,worst_sharpe,mean_retdd,mean_pf,mean_win,mean_expo,t_across
momentum_0,momentum,5.0,60.0,,,28,-0.292663873577817,-0.32095423218063857,0.10714285714285714,94.28571428571429,-0.11715826192960913,2.498021639768392,-0.9884959722387003,-0.5197564422562936,0.9522771124740251,0.49298445202882063,1.0,-5.622481468460235
momentum_1,momentum,5.0,90.0,,,28,-0.2774210920398887,-0.2961408846714041,0.10714285714285714,75.14285714285714,-0.06026986596265976,4.602981732392853,-0.8593724839080508,-0.4826487810881125,0.9548228356860528,0.49352619318489616,1.0,-5.481707346087085
momentum_2,momentum,5.0,120.0,,,28,-0.2516427401412419,-0.2888368220900989,0.21428571428571427,64.46428571428571,-0.029004610428128262,8.675956560933578,-0.8511768141500687,-0.3778207713599225,0.9592279021144741,0.49435234844791165,1.0,-4.525291310621582
momentum_3,momentum,5.0,200.0,,,28,-0.1822355373208299,-0.1598081131616757,0.25,48.464285714285715,-0.05643483040221685,3.22913236421583,-0.8911967238825372,-0.2474185230807445,0.9704792319237158,0.49557126604908175,1.0,-3.550660095805896
momentum_4,momentum,10.0,60.0,,,28,-0.2358612868553732,-0.2879659925562075,0.17857142857142858,68.28571428571429,-0.08271264532031317,2.8515747010868324,-0.7542001745779715,-0.28453970426059605,0.9618264557086442,0.49474511078606637,1.0,-4.036487787935601
momentum_5,momentum,10.0,90.0,,,28,-0.2682695319108605,-0.340310667187309,0.21428571428571427,54.142857142857146,-0.02386165429604428,11.242704658382948,-0.7035714500726077,-0.4264950129594179,0.9563674672362478,0.49311988731783957,1.0,-5.075900050518403
momentum_6,momentum,10.0,120.0,,,28,-0.2534378441304145,-0.2965732461571745,0.14285714285714285,46.57142857142857,-0.029056238187804624,8.72232126169679,-0.6816802155512341,-0.3957330595056273,0.9588481627947268,0.49322823554905465,1.0,-4.975176454638839
momentum_7,momentum,10.0,200.0,,,28,-0.18064729940781749,-0.12278970386237173,0.21428571428571427,35.07142857142857,-0.02579418777202206,7.003411039899403,-0.8149601624957045,-0.29000577111813547,0.9707145743815808,0.49611300720515733,1.0,-3.8367702209884214
momentum_8,momentum,20.0,60.0,,,28,-0.23231075139601048,-0.25389219439873817,0.21428571428571427,55.07142857142857,-0.08728449725465613,2.6615350801441204,-0.6621887293826062,-0.3392153378445286,0.9621910847234572,0.4944742402080286,1.0,-4.1034258827901064
momentum_9,momentum,20.0,90.0,,,28,-0.267802548677324,-0.27628891559844704,0.14285714285714285,41.285714285714285,-0.019132472882781814,13.99727836114336,-0.7340609492072925,-0.47696620231472137,0.9562202052725078,0.493675172002817,1.0,-5.714344520556674
momentum_10,momentum,20.0,120.0,,,28,-0.26412285045195305,-0.2625108226463093,0.25,34.5,0.029245673317403548,-9.031176939762181,-0.7906831247953569,-0.41456624662375713,0.9571920461500338,0.4932688661357604,1.0,-4.991440206629513
momentum_11,momentum,20.0,200.0,,,28,-0.15044223860087394,-0.1231323096438533,0.25,25.321428571428573,-0.024608970561852978,6.1133088937120545,-0.7489148145382075,-0.20597502783733715,0.9759838721419959,0.4966141177745273,1.0,-3.0363747080117007
momentum_12,momentum,30.0,60.0,,,28,-0.19896187291830242,-0.2461346895528449,0.32142857142857145,51.892857142857146,-0.03904953170751185,5.095115465367505,-0.7918615157723641,-0.23704087562693554,0.9680108514710168,0.495909854271629,1.0,-3.381599785384541
momentum_13,momentum,30.0,90.0,,,28,-0.18697505193722502,-0.21982424927476774,0.21428571428571427,35.857142857142854,0.0342046855718144,-5.466357863300974,-0.575998521371765,-0.2735039753284214,0.9697329828956346,0.4958692236849233,1.0,-3.8064567347678016
momentum_14,momentum,30.0,120.0,,,28,-0.24161634792001438,-0.31061770570920955,0.2857142857142857,30.607142857142858,0.03598446832496884,-6.714462076749986,-0.7304417791451808,-0.28814923762727396,0.9610155327560247,0.4939866731675605,1.0,-4.146905713257415
