# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
median_year_pct,mean_year_pct,worst_year_pct,best_year_pct,total_return_pct,max_dd_pct,dip95_pct,worst_day_pct,worst_month_pct,sortino,sharpe,calmar,profit_factor,win_rate_pct,trading_days,n_years,structure,members_step1,members_step2,yardstick,budget
5.124201785166525,5.807680795717351,3.617810389743873,10.55873762481867,29.038403978586757,1.770361711277399,3.3463454584804664,0.6713447529361529,0.6456656364544492,3.615193636490826,2.2732507781307576,16.4025259886773,1.4896800188372323,55.941358024691354,1296,5,ALLPASS,8235,8235,equal,team1
1.947492985340547,2.9701800495361113,0.8649368341704454,7.1912255206859275,14.850900247680556,1.6532564110020953,3.659929192717353,0.7430335180447635,0.7504958773462409,2.1129985187252642,1.402968583363499,8.982817274350635,1.2827273956640235,52.46913580246913,1296,5,WEIGHTED,8235,8235,sortino,team1
1.7672843843522592,2.629961989728418,0.959480106112434,6.434073877378627,13.14980994864209,1.775225962739782,3.7793094111148755,0.6504082661902771,0.9668164695529515,1.9062795575128737,1.2589271250448577,7.4074006490686,1.2543755891458048,51.388888888888886,1296,5,WEIGHTED,8235,8235,expectancy_R,team1
3.074999171228349,3.9684803634598795,2.0302679136747197,7.958634005647662,19.842401817299397,1.6601498892353206,3.4630756026512817,0.6728199042198276,0.8735172451836103,2.813769028764321,1.7712483032733157,11.952174888521048,1.3649886208888184,52.85493827160494,1296,5,WEIGHTED,8235,8235,profit_factor,team1
2.1523323917405213,2.7953384280771374,1.05686302886886,6.832830518685541,13.976692140385687,1.7385524106360357,3.9022822816316896,0.7186852349019275,1.0249473513182608,1.940041267529707,1.3009161342693323,8.039269943707032,1.26183741013023,52.54629629629629,1296,5,WEIGHTED,8235,8235,calmar,team1
5.204845202430741,6.0573063983054,3.7159823302018236,11.127384825702038,30.286531991527,2.091942396592678,3.4544272283527477,0.710084366599312,0.748570901541961,3.637414724898167,2.2753004784249615,14.477708392380789,1.5004485120493938,55.32407407407407,1296,5,WEIGHTED,8235,8235,gate3_composite,team1
7.686302677749787,8.711521193576027,5.42671558461581,15.838106437228006,43.557605967880136,2.6555425669161004,5.019518187720694,1.0070171294042294,0.968498454681674,3.615193636490826,2.2732507781307576,16.40252598867729,1.4896800188372323,55.941358024691354,1296,5,ALLPASS,8235,8235,equal,team2
2.92123947801082,4.455270074304167,1.297405251255668,10.78683828102889,22.276350371520834,2.479884616503142,5.489893789076047,1.1145502770671452,1.1257438160193611,2.1129985187252642,1.402968583363499,8.982817274350639,1.2827273956640235,52.46913580246913,1296,5,WEIGHTED,8235,8235,sortino,team2
2.650926576528389,3.9449429845926267,1.4392201591686509,9.651110816067941,19.724714922963138,2.662838944109664,5.668964116672323,0.9756123992854158,1.4502247043294274,1.9062795575128735,1.2589271250448575,7.407400649068625,1.2543755891458048,51.388888888888886,1296,5,WEIGHTED,8235,8235,expectancy_R,team2
4.612498756842523,5.952720545189818,3.0454018705120793,11.937951008471492,29.76360272594909,2.4902248338529738,5.194613403976924,1.0092298563297413,1.3102758677754154,2.813769028764321,1.7712483032733155,11.95217488852108,1.3649886208888184,52.85493827160494,1296,5,WEIGHTED,8235,8235,profit_factor,team2
3.228498587610782,4.193007642115707,1.5852945433032901,10.249245778028312,20.965038210578534,2.6078286159540376,5.853423422447532,1.0780278523528912,1.5374210269773914,1.9400412675297074,1.300916134269332,8.039269943707083,1.2618374101302303,52.54629629629629,1296,5,WEIGHTED,8235,8235,calmar,team2
7.807267803646113,9.0859595974581,5.573973495302735,16.691077238553056,45.4297979872905,3.137913594889021,5.181640842529131,1.065126549898968,1.1228563523129418,3.637414724898167,2.2753004784249615,14.477708392380773,1.5004485120493936,55.32407407407407,1296,5,WEIGHTED,8235,8235,gate3_composite,team2
