vintage,mt,mc,mt_in_sd,mc_in_sd,sd_trend_score,sd_chop_score,mean_disp,sd_disp,mean_seq,sd_seq,mean_hold,sd_hold,mean_fails,sd_fails,mean_inside,sd_inside,mean_revert,sd_revert,act_cut_lo,act_cut_hi
2009,-0.26203832957772477,-0.004724249038615236,-0.15023447091189285,-0.002185300056833499,1.744195776024005,2.1618308313507644,0.09614214650531565,0.06836995366704002,4.438099242445856,3.769113766550094,3.751682876562064,7.544535974292921,0.6970716624226992,0.9188465209678692,0.5683600412157013,0.21225587768666648,0.05406486310860722,0.041209444952949516,3.8377517301441406,4.349682614497846
2012,-0.27555551441185744,0.002800105142596876,-0.15903596400351874,0.0012854654371575638,1.7326616412735465,2.178281159226265,0.09337811652838536,0.06783763573331218,4.385890740265386,3.7695787946641377,3.624312020548828,7.587018930779322,0.7018504916962502,0.9207822504829647,0.5706642448686428,0.21002630251585191,0.05479265409857415,0.041139426737123966,3.833095387455661,4.349999479846094
2015,-0.270240530344782,-0.002847341083059063,-0.15636138602522479,-0.0013117774525333607,1.7283073347865172,2.170597670786425,0.09606433325757395,0.07022777269824772,4.409962284068503,3.8347805665093575,3.7996800200670475,7.712482661661613,0.7010513587047799,0.919844223009352,0.5650216176775938,0.21378078625491384,0.05428061711936361,0.04141430314572645,3.8325760327432623,4.354307000358947
2018,-0.2678544305836117,-0.004150946815092704,-0.15511658645019624,-0.0019152394050374164,1.7267942565872059,2.1673252984326576,0.09436538843332308,0.0690485267310879,4.352781166040709,3.75438641360778,3.7955289085532984,7.666931920027452,0.708252413320386,0.9229985502765609,0.5719892029765834,0.21056128028242774,0.05478734107671961,0.04137227391048121,3.835709443234979,4.353717221454297
2021,-0.2776806244358706,0.0031648062795018306,-0.16103053198568024,0.0014511643303520047,1.724397361244286,2.180873808229667,0.09307227514393597,0.06837272265548282,4.318999823847404,3.7364117762303413,3.702447571060819,7.604525728947533,0.7057888198757764,0.9188130233373463,0.57437133091964,0.21113945384330007,0.05551500611037507,0.04196308120397097,3.832839608202299,4.35064888903261
2024,-0.2798650515209496,0.002294631988704863,-0.16238939274176356,0.0010570470486429531,1.7234195337253297,2.170794565531149,0.09196210147019067,0.06761642224089308,4.252708530787366,3.6773505804080746,3.6065832166417033,7.5202067198986935,0.7153461538461537,0.9215812155418796,0.5723387056783636,0.21044514145836943,0.05638708746113832,0.04220022604740715,3.8359919052289397,4.350503684787523
