budget,structure,draw,median_year_pct,total_return_pct
team1,ALLPASS,0,-0.1425584633842138,-1.0632746587851136
team1,ALLPASS,1,0.37143602557215744,-1.657343702767592
team1,ALLPASS,2,-0.8399075782744891,-2.420704475131539
team1,ALLPASS,3,0.22784455933056796,-0.07178343722737524
team1,ALLPASS,4,-0.2914048665681924,-1.3285828601671268
team1,ALLPASS,5,0.15484826652524242,0.08762075143816217
team1,ALLPASS,6,0.06890578145096855,-0.3219067978837348
team1,ALLPASS,7,-0.10511699264987634,-1.8240777720959738
team1,ALLPASS,8,-0.2821439041452508,-0.09010501558917017
team1,ALLPASS,9,-0.10924266484829304,-1.7521439942667096
team1,ALLPASS,10,-0.18239850662696522,0.3940197440528939
team1,ALLPASS,11,-0.3314697124592264,-2.0575081319791835
team1,ALLPASS,12,0.24324589214921868,1.5051972442867374
team1,ALLPASS,13,-0.45443308434220564,-0.05400378726155919
team1,ALLPASS,14,-0.479174045770453,-2.457419033260357
team1,ALLPASS,15,-0.4196045696314605,-3.3779599142785512
team1,ALLPASS,16,-0.28096816596825275,-1.6923506962013386
team1,ALLPASS,17,-0.40968820821015633,-1.0360408636019869
team1,ALLPASS,18,-0.28892548882981994,-0.20649369437724108
team1,ALLPASS,19,0.3759899396498315,0.4114287596396229
team1,ALLPASS,20,-0.7540418334120607,-2.7226186341816287
team1,ALLPASS,21,0.12372688862547096,-1.1418621534161375
team1,ALLPASS,22,-0.40865447539889055,-2.423170876180759
team1,ALLPASS,23,-0.33636993577084706,-1.9715816548429275
team1,ALLPASS,24,-0.32223862371079676,-1.6277033101964347
team2,ALLPASS,0,-0.21383769507632078,-1.5949119881776697
team2,ALLPASS,1,0.5571540383582363,-2.486015554151389
team2,ALLPASS,2,-1.2598613674117338,-3.631056712697308
team2,ALLPASS,3,0.34176683899585186,-0.10767515584106269
team2,ALLPASS,4,-0.4371072998522885,-1.9928742902506906
team2,ALLPASS,5,0.23227239978786382,0.13143112715724348
team2,ALLPASS,6,0.10335867217645281,-0.482860196825602
team2,ALLPASS,7,-0.1576754889748146,-2.7361166581439615
team2,ALLPASS,8,-0.4232158562178762,-0.13515752338375608
team2,ALLPASS,9,-0.16386399727243955,-2.628215991400062
team2,ALLPASS,10,-0.27359775994044777,0.5910296160793417
team2,ALLPASS,11,-0.4972045686888397,-3.086262197968775
team2,ALLPASS,12,0.36486883822382804,2.2577958664301043
team2,ALLPASS,13,-0.6816496265133085,-0.0810056808923395
team2,ALLPASS,14,-0.7187610686556792,-3.6861285498905367
team2,ALLPASS,15,-0.6294068544471909,-5.066939871417826
team2,ALLPASS,16,-0.4214522489523792,-2.5385260443020083
team2,ALLPASS,17,-0.6145323123152345,-1.5540612954029802
team2,ALLPASS,18,-0.4333882332447294,-0.3097405415658603
team2,ALLPASS,19,0.5639849094747477,0.617143139459434
team2,ALLPASS,20,-1.131062750118091,-4.083927951272442
team2,ALLPASS,21,0.18559033293820676,-1.7127932301242068
team2,ALLPASS,22,-0.6129817130983357,-3.634756314271137
team2,ALLPASS,23,-0.5045549036562706,-2.957372482264391
team2,ALLPASS,24,-0.4833579355661951,-2.441554965294653
