X,Y,is_sep
0.7,0.5,0.6600362088846408
0.7,0.75,0.7092762007344513
0.7,1.0,0.6860025980892843
0.7,1.5,0.6769495402166413
0.7,2.0,0.6457235016084435
0.7,3.0,0.679433098870315
0.7,4.0,0.48753586037621427
0.75,0.5,0.6133229195557621
0.75,0.75,0.6653847183101856
0.75,1.0,0.6513300724758105
0.75,1.5,0.6373591420783059
0.75,2.0,0.6386329054827463
0.75,3.0,0.6499742698717694
0.75,4.0,0.45358482530744537
0.8,0.5,0.5811581156978777
0.8,0.75,0.6212100308076517
0.8,1.0,0.5926772256947023
0.8,1.5,0.5478500367214705
0.8,2.0,0.5414090005173238
0.8,3.0,0.5582162711764695
0.8,4.0,0.37583862578040494
0.85,0.5,0.43884800286055864
0.85,0.75,0.48525218646515217
0.85,1.0,0.4627883145086081
0.85,1.5,0.4451542057634917
0.85,2.0,0.44379990430642696
0.85,3.0,0.48708530295459224
0.85,4.0,0.35906830198559914
0.9,0.5,0.28820505924140033
0.9,0.75,0.3218924622964599
0.9,1.0,0.32246846089385195
0.9,1.5,0.2952428690066778
0.9,2.0,0.30098398508534996
0.9,3.0,0.32100489997122805
0.9,4.0,0.24058294982499942
0.93,0.5,0.22793696876281386
0.93,0.75,0.23631549922685904
0.93,1.0,0.21486137574407882
0.93,1.5,0.20326800617663607
0.93,2.0,0.18751382483336984
0.93,3.0,0.25443215686670995
0.93,4.0,0.2041834005898534
0.95,0.5,0.15474121931242488
0.95,0.75,0.15763233635028231
0.95,1.0,0.13105329139617686
0.95,1.5,0.1263346867554857
0.95,2.0,0.1366668863242886
0.95,3.0,0.21010314604134636
0.95,4.0,0.17067407370115437
0.97,0.5,0.16035793223768566
0.97,0.75,0.16290584494475288
0.97,1.0,0.15299305716804906
0.97,1.5,0.15306548918499266
0.97,2.0,0.1550910363422542
0.97,3.0,0.18958331494079841
0.97,4.0,0.1545268069771116
0.98,0.5,0.09646301413861472
0.98,0.75,0.09193896127580098
0.98,1.0,0.08952070729559022
0.98,1.5,0.13223971424484596
0.98,2.0,0.14093542786887386
0.98,3.0,0.18425050992572356
0.98,4.0,0.12642988652275175
0.99,0.5,0.06575516599183039
0.99,0.75,0.05120048504798622
0.99,1.0,0.05669238752833222
0.99,1.5,0.09299973455357509
0.99,2.0,0.0932021252911794
0.99,3.0,0.1151136588432243
0.99,4.0,0.08377719015185311
