sep,residual,median_run,diagonal,trending,drifting,range,run_trending,run_drifting,run_range,N,lookback,surr,corr,pairs_pos,pairs_med
0.3717207370407381,0.033342310241962214,16.0,0.955009571215972,0.2829788373961961,0.38449504420037506,0.3325261184034289,22.0,14.0,16.0,15,84.0,0.42556351043588725,-0.053842773395149146,11.0,-0.013622278522714054
0.36668872869677394,0.03532068279748091,16.0,0.9558488659604895,0.28151910150965276,0.38619623338415615,0.3322846651061911,22.0,14.0,16.0,16,90.0,0.4044294808421401,-0.03774075214536615,11.0,-0.013868673048892999
0.3452796574800775,0.03754764666887633,17.0,0.9575491190828872,0.28257945091961817,0.3851741839666807,0.3322463651137012,24.0,15.0,17.0,17,95.0,0.38649607955323084,-0.04121642207315335,11.0,-0.020549945190144525
0.33235342415224656,0.04054110043089165,17.0,0.9579825923397636,0.28074058080535463,0.38537190974846164,0.33388750944618373,25.0,15.0,17.0,18,101.0,0.37026126835903517,-0.03790784420678861,13.0,-0.014506622900968158
0.3112576345029745,0.050598690752403086,18.0,0.959346695140355,0.27959065667310357,0.38455579921229777,0.33585354411459867,26.0,15.0,18.0,19,106.0,0.35657793833656265,-0.04532030383358815,11.0,-0.015880496525940563
0.29479559038340264,0.05322961551209815,17.0,0.959977860014248,0.2835731086920847,0.3827689951315574,0.333657896176358,26.0,15.0,18.0,20,111.0,0.3414045676875521,-0.04660897730414948,12.0,-0.011558619293044192
0.28975148214667934,0.057559247596950636,18.0,0.9607622827981667,0.2827766604020355,0.3841427896292877,0.33308054996867686,26.0,16.0,18.0,21,116.0,0.327315976925148,-0.03756449477846868,13.0,-0.008625194293291671
0.2716017294078472,0.06079093470334773,18.5,0.9615826482567016,0.28304383788254756,0.385343258891646,0.33161290322580644,26.0,16.0,19.0,22,121.0,0.31567938697852893,-0.044077657570681716,12.0,-0.018458618069827543
0.27275841864953465,0.06378438846536294,18.0,0.9612695586129434,0.28511052596641073,0.3862766357621756,0.3286128382714137,27.0,16.0,18.0,23,126.0,0.3062182538239683,-0.03345983517443363,9.0,-0.03356183246200639
0.2755110405055346,0.06584562479284062,19.0,0.9623511998508965,0.2823466796766718,0.3899009835120361,0.32775233681129207,27.0,17.0,18.0,24,133.0,0.29383577857502585,-0.018324738069491253,13.0,-0.028527028067441368
0.2620601275019138,0.07083816705336432,19.0,0.9624069409529004,0.2838303327573714,0.3874477453876595,0.32872192185496907,26.0,17.0,18.0,25,138.0,0.28344885976454426,-0.02138873226263044,12.0,-0.01732960173570644
0.24214116767313504,0.07415271793172029,19.0,0.9630237763604355,0.2851373272920512,0.3860714885047827,0.32879118420316605,28.0,17.0,18.0,26,144.0,0.2717082323479005,-0.029567064674765442,12.0,-0.008506097541245733
0.22903506920861122,0.07687686443486907,19.0,0.9636820335066314,0.286438814209735,0.38390072036085365,0.32966046542941135,28.0,16.0,19.0,27,149.0,0.262804949501489,-0.03376988029287781,10.0,-0.009134924120417887
0.23166741193323104,0.07824411667219089,19.0,0.9642109900363453,0.28647038993145296,0.38498707719968533,0.32854253286886165,28.0,17.0,19.0,28,154.0,0.2536944147588556,-0.022027002825624586,13.0,-0.014522625220961732
0.22798865511309735,0.07913490222074904,19.0,0.9639574284154124,0.28744488436965715,0.38379600467920455,0.3287591109511383,28.5,17.0,18.0,29,158.0,0.24758436342830378,-0.019595708315206434,12.0,-0.006807294667437541
0.22259485579211025,0.07936277759363608,19.0,0.9650254447910029,0.28884363538174207,0.38320469836412324,0.3279516662541347,31.0,17.0,19.0,30,165.0,0.2393376762661005,-0.016742820473990255,15.0,0.00992481476425619
0.21547957244670451,0.08105112694729866,20.0,0.9657692090402439,0.2872665381710795,0.38655755813298165,0.32617590369593885,32.0,18.0,19.0,31,171.0,0.2322127736531649,-0.01673320120646038,16.0,0.01470105928114368
0.21262641498060655,0.08287412993039445,20.0,0.965734064384803,0.2894751702562597,0.38234530115311205,0.32817952859062827,31.0,17.0,19.0,32,177.0,0.22531636059291169,-0.012689945612305131,15.0,0.006198916514525338
0.20666388779866843,0.08542219091813064,20.0,0.9665586073748687,0.2863064430275094,0.3837163210528104,0.32997723591968015,33.5,18.0,20.0,33,182.0,0.21919356251163213,-0.012529674712963706,16.0,0.012899948462209793
0.20034927266512845,0.08736948955916468,20.0,0.9664764054853611,0.2845906774563325,0.38545438036976926,0.32995494217389826,31.0,18.0,19.0,34,187.0,0.2136170301349995,-0.01326775746987105,16.0,0.007669552485559006
0.1913873374618565,0.08977253894597281,20.0,0.9666588092917087,0.2841585397771886,0.38840652275339393,0.3274349374694175,29.0,18.0,19.0,35,193.0,0.20812846733188603,-0.016741129870029542,12.0,-0.012276349554329796
0.1862657180397902,0.09104656943984091,20.0,0.9672770813097038,0.2840896141486428,0.389133258882786,0.32677712696857125,31.0,18.0,19.0,36,197.0,0.20018160540580165,-0.013915887366011459,12.0,-0.019871748194757927
0.17554459916447174,0.09351176665561811,20.0,0.9675104497716234,0.2836052836052836,0.3897115955939485,0.32668312080076783,31.0,18.0,19.0,37,204.0,0.1961411896413138,-0.020596590476842064,11.0,-0.01776441393674677
0.17120569330381094,0.09492045077891942,20.0,0.9682475369576721,0.28506523231860836,0.38951705195696956,0.3254177157244221,32.0,19.0,19.0,38,211.0,0.19048334442291842,-0.01927765111910748,10.0,-0.022756600741899585
0.1575102427514382,0.09890826980444145,21.0,0.9686527989161237,0.2867061325363527,0.3852060463245014,0.3280878211391459,33.0,19.0,19.0,39,218.0,0.18705619091330047,-0.029545948161862262,9.0,-0.025516316411465026
0.1512513315156127,0.09992335101093797,21.0,0.9689570626170466,0.28694891653336707,0.3859051520765964,0.3271459313900365,34.0,19.0,19.0,40,225.0,0.18460814619009133,-0.033356814674478624,8.0,-0.04028267354123935
