sep,residual,median_run,diagonal,trending,drifting,range,run_trending,run_drifting,run_range,N,lookback,surr,corr,pairs_pos,pairs_med
0.6195994438355719,0.023067202519058694,15.0,0.9485947268750988,0.30941399747659487,0.32090715353541777,0.3696788489879873,17.0,12.0,16.0,2,12.0,0.707716154077645,-0.08811671024207313,5.0,-0.10588614650560696
0.6481376315536462,0.022549303944315535,15.0,0.945706252201323,0.3044178579376265,0.3466677970053091,0.3489143450570644,18.0,12.0,15.0,3,18.0,0.7504140086104298,-0.10227637705678361,4.0,-0.06221747983717596
0.6419857463168941,0.02220749088498508,15.0,0.9462442356026728,0.2976271186440678,0.3600529661016949,0.3423199152542373,19.0,12.0,15.0,4,24.0,0.7369110572619555,-0.0949253109450614,6.0,-0.06827045461484471
0.6208828704236615,0.02209355319854156,13.0,0.9452545222035333,0.2947749732552351,0.363569922996261,0.3416551037485039,18.0,11.0,14.0,5,29.0,0.7060962448679245,-0.08521337444426302,5.0,-0.06511852839126031
0.580431980708557,0.022083195227046715,14.0,0.9459015682601449,0.28994195653094945,0.3758844214718468,0.33417362199720374,18.0,12.0,14.0,6,35.0,0.6726725353076675,-0.09224055459911051,2.0,-0.07762162360527586
0.554089011466695,0.02246644017235666,14.0,0.9466654834136904,0.28666490066225164,0.3801112582781457,0.3332238410596027,18.0,12.0,14.0,7,41.0,0.6314419444199915,-0.07735293295329648,4.0,-0.06943862867412387
0.5200795874345464,0.023605817036791543,14.0,0.9491386448408733,0.2861507452394844,0.3802896090807829,0.3335596456797327,19.0,12.0,14.0,8,47.0,0.5949148926649495,-0.07483530523040305,5.0,-0.056760623135518995
0.4821734267615189,0.02534595624792846,14.0,0.9497050216836511,0.2897329351626513,0.3790981646598723,0.3311689001774764,19.0,12.0,15.0,9,52.0,0.559220215662827,-0.07704678890130806,5.0,-0.06910410048346882
0.4575051392516911,0.02657855485581706,15.0,0.9508522392725032,0.28866330417757347,0.37704569154482964,0.3342910042775969,20.0,13.0,15.0,10,58.0,0.5360758217648058,-0.07857068251311472,6.0,-0.05406538260883681
0.42223870109299755,0.02802867086509775,15.0,0.9519458308917843,0.28738890428184743,0.38071996419361026,0.3318911315245423,20.0,13.0,15.0,11,63.0,0.5098008528355931,-0.08756215174259552,8.0,-0.04514952051225701
0.41565417230483087,0.029810241962214157,15.0,0.951973829657566,0.28297354429568894,0.38662908632801657,0.3303973693762945,20.0,14.0,15.0,12,68.0,0.4857260069628528,-0.07007183465802191,12.0,-0.03054825626945884
0.3925756866631176,0.032006131919124936,15.0,0.9535002806716992,0.284043486635136,0.3852697583838038,0.3306867549810602,21.0,14.0,16.0,13,73.0,0.46483710952277046,-0.07226142285965287,11.0,-0.03143692918905491
0.37850940894439816,0.03284512761020886,16.0,0.9539421009360657,0.2824049778843991,0.38557184625105756,0.3320231758645433,21.0,14.0,16.0,14,79.0,0.44519149066535785,-0.06668208172095969,11.0,-0.03015607309689755
