budget,structure,step,passers,members,scale,build_dip95_pct,build_max_dd_pct,build_worst_day_pct
team1,ALLPASS,1,1094,1094,0.99367177880655,3.6,2.089995066583312,0.8540725527441541
team1,ALLPASS,2,1008,1008,1.0593610766333812,3.6,2.2307769803766413,1.0243388890043121
team1,SLICE_BALANCED,1,1094,1094,0.7185278076088726,3.6,1.8602535723726983,0.49577007326136047
team1,SLICE_BALANCED,2,1008,1008,0.5815488764323621,3.6000000000000005,1.9866001541379321,0.3751071220427261
team2,ALLPASS,1,1094,1094,1.490507668209825,5.4,3.1349925998749675,1.2811088291162311
team2,ALLPASS,2,1008,1008,1.589041614950072,5.4,3.3461654705649626,1.5365083335064684
team2,SLICE_BALANCED,1,1094,1094,1.0777917114133089,5.4,2.7903803585590476,0.7436551098920406
team2,SLICE_BALANCED,2,1008,1008,0.8723233146485431,5.4,2.9799002312068983,0.5626606830640891
team1,NO_CUT,1,4807,4807,1.0271244073535026,3.6000000000000005,2.187521111161715,0.7804403341025576
team1,NO_CUT,2,4807,4807,1.0476422677340869,3.6,2.2830679094885586,0.8956214967579053
team1,NO_CUT_SLICE_BALANCED,1,4807,4807,0.9546310114521467,3.6,2.2456077513889214,0.8520776551412419
team1,NO_CUT_SLICE_BALANCED,2,4807,4807,0.8961168586324969,3.6,2.201708093938928,0.8185555741590703
team2,NO_CUT,1,4807,4807,1.540686611030254,5.4,3.281281666742573,1.1706605011538365
team2,NO_CUT,2,4807,4807,1.5714634016011304,5.4,3.424601864232838,1.3434322451368579
team2,NO_CUT_SLICE_BALANCED,1,4807,4807,1.43194651717822,5.4,3.368411627083382,1.2781164827118627
team2,NO_CUT_SLICE_BALANCED,2,4807,4807,1.3441752879487454,5.4,3.3025621409083925,1.2278333612386056
