vintage,disagreeing_bars,disagreement_runs,median_run,share_of_bars_in_runs_ge5,share_of_bars_in_runs_ge20,episodes,episodes_untouched,episodes_partly_relabelled,episodes_fully_relabelled,share_fully_relabelled
2009,11402,1681,5.0,0.8706367303981758,0.20706893527451325,4064,2523,1235,306,0.07529527559055119
2012,6104,1122,4.0,0.8224115334207077,0.11598951507208388,3341,2313,872,156,0.04669260700389105
2015,0,0,,,,2582,2582,0,0,0.0
2018,2527,498,3.0,0.8076770874554808,0.05738029283735655,1853,1381,400,72,0.038855909336211546
2021,2257,373,5.0,0.8435976960567124,0.08285334514842711,1130,796,281,53,0.046902654867256637
2024,965,146,5.0,0.8642487046632125,0.16580310880829016,402,260,116,26,0.06467661691542288
